id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy4-1,Venonat,https://images.pokemontcg.io/xy4/1_hires.png,Common,0.100000,0.170000,Pokémon
xy4-2,Venomoth,https://images.pokemontcg.io/xy4/2_hires.png,Rare,0.320000,0.570000,Pokémon
xy4-3,Yanma,https://images.pokemontcg.io/xy4/3_hires.png,Common,0.110000,0.090000,Pokémon
xy4-4,Yanmega,https://images.pokemontcg.io/xy4/4_hires.png,Rare,0.310000,0.290000,Pokémon
xy4-5,Sewaddle,https://images.pokemontcg.io/xy4/5_hires.png,Common,0.100000,0.250000,Pokémon
xy4-6,Swadloon,https://images.pokemontcg.io/xy4/6_hires.png,Uncommon,0.220000,0.290000,Pokémon
xy4-7,Leavanny,https://images.pokemontcg.io/xy4/7_hires.png,Rare,0.600000,0.500000,Pokémon
xy4-8,Karrablast,https://images.pokemontcg.io/xy4/8_hires.png,Common,0.080000,0.130000,Pokémon
xy4-9,Fletchinder,https://images.pokemontcg.io/xy4/9_hires.png,Uncommon,0.130000,0.170000,Pokémon
xy4-10,Talonflame,https://images.pokemontcg.io/xy4/10_hires.png,Rare,1,0.460000,Pokémon
xy4-11,Litleo,https://images.pokemontcg.io/xy4/11_hires.png,Common,0.080000,0.290000,Pokémon
xy4-12,Pyroar,https://images.pokemontcg.io/xy4/12_hires.png,Rare Holo,0.560000,0.730000,Pokémon
xy4-13,Krabby,https://images.pokemontcg.io/xy4/13_hires.png,Common,0.130000,0.190000,Pokémon
xy4-14,Kingler,https://images.pokemontcg.io/xy4/14_hires.png,Uncommon,0.240000,0.360000,Pokémon
xy4-15,Totodile,https://images.pokemontcg.io/xy4/15_hires.png,Common,0.170000,0.260000,Pokémon
xy4-16,Croconaw,https://images.pokemontcg.io/xy4/16_hires.png,Uncommon,0.210000,0.300000,Pokémon
xy4-17,Feraligatr,https://images.pokemontcg.io/xy4/17_hires.png,Rare Holo,1.230000,1.310000,Pokémon
xy4-18,Finneon,https://images.pokemontcg.io/xy4/18_hires.png,Common,0.110000,0.260000,Pokémon
xy4-19,Lumineon,https://images.pokemontcg.io/xy4/19_hires.png,Uncommon,0.260000,0.340000,Pokémon
xy4-20,Frillish,https://images.pokemontcg.io/xy4/20_hires.png,Common,0.110000,0.210000,Pokémon
xy4-21,Jellicent,https://images.pokemontcg.io/xy4/21_hires.png,Rare,0.730000,0.620000,Pokémon
xy4-22,Alomomola,https://images.pokemontcg.io/xy4/22_hires.png,Common,0.090000,0.190000,Pokémon
xy4-23,Manectric-EX,https://images.pokemontcg.io/xy4/23_hires.png,Rare Holo EX,3.210000,2.180000,Pokémon
xy4-24,M Manectric-EX,https://images.pokemontcg.io/xy4/24_hires.png,Rare Holo EX,10.240000,21.010000,Pokémon
xy4-24a,M Manectric-EX,https://images.pokemontcg.io/xy4/24a_hires.png,Rare Ultra,81.990000,0,Pokémon
xy4-25,Pachirisu,https://images.pokemontcg.io/xy4/25_hires.png,Rare,0.740000,0.410000,Pokémon
xy4-26,Joltik,https://images.pokemontcg.io/xy4/26_hires.png,Common,0.130000,0.290000,Pokémon
xy4-27,Galvantula,https://images.pokemontcg.io/xy4/27_hires.png,Rare,0.410000,0.500000,Pokémon
xy4-28,Helioptile,https://images.pokemontcg.io/xy4/28_hires.png,Common,0.120000,0.150000,Pokémon
xy4-29,Helioptile,https://images.pokemontcg.io/xy4/29_hires.png,Common,0.140000,0.180000,Pokémon
xy4-30,Heliolisk,https://images.pokemontcg.io/xy4/30_hires.png,Rare Holo,1.170000,0.510000,Pokémon
xy4-31,Zubat,https://images.pokemontcg.io/xy4/31_hires.png,Common,0.120000,0.190000,Pokémon
xy4-32,Golbat,https://images.pokemontcg.io/xy4/32_hires.png,Uncommon,0.280000,0.240000,Pokémon
xy4-33,Crobat,https://images.pokemontcg.io/xy4/33_hires.png,Rare,0.630000,0.470000,Pokémon
xy4-34,Gengar-EX,https://images.pokemontcg.io/xy4/34_hires.png,Rare Holo EX,9,53.810000,Pokémon
xy4-35,M Gengar-EX,https://images.pokemontcg.io/xy4/35_hires.png,Rare Holo EX,91.840000,111.930000,Pokémon
