id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw10-1,Surskit,https://images.pokemontcg.io/bw10/1_hires.png,Common,0.120000,0.160000,Pokémon
bw10-2,Masquerain,https://images.pokemontcg.io/bw10/2_hires.png,Rare,0.550000,0.420000,Pokémon
bw10-3,Lileep,https://images.pokemontcg.io/bw10/3_hires.png,Uncommon,0.260000,0.480000,Pokémon
bw10-4,Cradily,https://images.pokemontcg.io/bw10/4_hires.png,Rare,0.450000,1.520000,Pokémon
bw10-5,Tropius,https://images.pokemontcg.io/bw10/5_hires.png,Uncommon,0.230000,0.250000,Pokémon
bw10-6,Karrablast,https://images.pokemontcg.io/bw10/6_hires.png,Common,0.130000,0.150000,Pokémon
bw10-7,Shelmet,https://images.pokemontcg.io/bw10/7_hires.png,Common,0.120000,0.230000,Pokémon
bw10-8,Accelgor,https://images.pokemontcg.io/bw10/8_hires.png,Rare,0.350000,0.400000,Pokémon
bw10-9,Virizion-EX,https://images.pokemontcg.io/bw10/9_hires.png,Rare Holo EX,8.200000,7.290000,Pokémon
bw10-10,Genesect,https://images.pokemontcg.io/bw10/10_hires.png,Rare,1.040000,0.490000,Pokémon
bw10-11,Genesect-EX,https://images.pokemontcg.io/bw10/11_hires.png,Rare Holo EX,7.660000,14.940000,Pokémon
bw10-12,Larvesta,https://images.pokemontcg.io/bw10/12_hires.png,Common,0.120000,0.210000,Pokémon
bw10-13,Volcarona,https://images.pokemontcg.io/bw10/13_hires.png,Rare,0.580000,0.570000,Pokémon
bw10-14,Squirtle,https://images.pokemontcg.io/bw10/14_hires.png,Common,0.730000,1.230000,Pokémon
bw10-15,Wartortle,https://images.pokemontcg.io/bw10/15_hires.png,Uncommon,1.300000,1.670000,Pokémon
bw10-16,Blastoise,https://images.pokemontcg.io/bw10/16_hires.png,Rare Holo,5.890000,8.250000,Pokémon
bw10-17,Lapras,https://images.pokemontcg.io/bw10/17_hires.png,Common,0.160000,0.370000,Pokémon
bw10-18,Remoraid,https://images.pokemontcg.io/bw10/18_hires.png,Common,0.100000,0.120000,Pokémon
bw10-19,Octillery,https://images.pokemontcg.io/bw10/19_hires.png,Uncommon,0.230000,0.290000,Pokémon
