id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw9-1,Weedle,https://images.pokemontcg.io/bw9/1_hires.png,Common,0.130000,0.250000,Pokémon
bw9-2,Kakuna,https://images.pokemontcg.io/bw9/2_hires.png,Uncommon,0.310000,0.250000,Pokémon
bw9-3,Beedrill,https://images.pokemontcg.io/bw9/3_hires.png,Rare,0.310000,1.140000,Pokémon
bw9-4,Exeggcute,https://images.pokemontcg.io/bw9/4_hires.png,Uncommon,2.350000,2.970000,Pokémon
bw9-5,Exeggutor,https://images.pokemontcg.io/bw9/5_hires.png,Rare,0.660000,0.940000,Pokémon
bw9-6,Treecko,https://images.pokemontcg.io/bw9/6_hires.png,Common,0.170000,0.400000,Pokémon
bw9-7,Grovyle,https://images.pokemontcg.io/bw9/7_hires.png,Uncommon,0.220000,0.350000,Pokémon
bw9-8,Sceptile,https://images.pokemontcg.io/bw9/8_hires.png,Rare Holo,2.130000,2.900000,Pokémon
bw9-9,Cacnea,https://images.pokemontcg.io/bw9/9_hires.png,Common,0.090000,0.250000,Pokémon
bw9-10,Cacturne,https://images.pokemontcg.io/bw9/10_hires.png,Rare,0.350000,0.560000,Pokémon
bw9-11,Leafeon,https://images.pokemontcg.io/bw9/11_hires.png,Rare,3.650000,7.210000,Pokémon
bw9-12,Flareon,https://images.pokemontcg.io/bw9/12_hires.png,Uncommon,3.400000,2.890000,Pokémon
bw9-13,Heatran-EX,https://images.pokemontcg.io/bw9/13_hires.png,Rare Holo EX,9,8.290000,Pokémon
bw9-14,Litwick,https://images.pokemontcg.io/bw9/14_hires.png,Common,0.100000,0.170000,Pokémon
bw9-15,Lampent,https://images.pokemontcg.io/bw9/15_hires.png,Uncommon,0.230000,0.290000,Pokémon
bw9-16,Chandelure,https://images.pokemontcg.io/bw9/16_hires.png,Rare Holo,1.990000,3.220000,Pokémon
bw9-17,Reshiram,https://images.pokemontcg.io/bw9/17_hires.png,Rare Holo,1.860000,2.730000,Pokémon
bw9-18,Horsea,https://images.pokemontcg.io/bw9/18_hires.png,Common,0.110000,0.250000,Pokémon
bw9-19,Seadra,https://images.pokemontcg.io/bw9/19_hires.png,Uncommon,0.140000,0.290000,Pokémon
bw9-20,Vaporeon,https://images.pokemontcg.io/bw9/20_hires.png,Uncommon,2.140000,2.570000,Pokémon
bw9-21,Wooper,https://images.pokemontcg.io/bw9/21_hires.png,Common,0.200000,0.660000,Pokémon
bw9-22,Quagsire,https://images.pokemontcg.io/bw9/22_hires.png,Rare,0.670000,1.060000,Pokémon
bw9-23,Glaceon,https://images.pokemontcg.io/bw9/23_hires.png,Rare,29.360000,2.920000,Pokémon
bw9-24,Tympole,https://images.pokemontcg.io/bw9/24_hires.png,Common,0.110000,0.190000,Pokémon
bw9-25,Palpitoad,https://images.pokemontcg.io/bw9/25_hires.png,Uncommon,0.140000,0.240000,Pokémon
bw9-26,Seismitoad,https://images.pokemontcg.io/bw9/26_hires.png,Rare,0.590000,0.500000,Pokémon
bw9-27,Vanillite,https://images.pokemontcg.io/bw9/27_hires.png,Common,0.120000,0.210000,Pokémon
bw9-28,Vanillish,https://images.pokemontcg.io/bw9/28_hires.png,Uncommon,0.120000,0.200000,Pokémon
bw9-29,Vanilluxe,https://images.pokemontcg.io/bw9/29_hires.png,Rare,0.740000,0.570000,Pokémon
bw9-30,Cryogonal,https://images.pokemontcg.io/bw9/30_hires.png,Uncommon,0.170000,0.410000,Pokémon
bw9-31,Kyurem,https://images.pokemontcg.io/bw9/31_hires.png,Rare Holo,4.920000,4.370000,Pokémon
bw9-32,Voltorb,https://images.pokemontcg.io/bw9/32_hires.png,Common,0.100000,0.260000,Pokémon
