id,name,image,rarity,card_market_price,tcg_market_price,supertype
bw8-1,Turtwig,https://images.pokemontcg.io/bw8/1_hires.png,Common,0.180000,0.480000,Pokémon
bw8-2,Grotle,https://images.pokemontcg.io/bw8/2_hires.png,Uncommon,0.170000,0.480000,Pokémon
bw8-3,Torterra,https://images.pokemontcg.io/bw8/3_hires.png,Rare,1.480000,3.920000,Pokémon
bw8-4,Combee,https://images.pokemontcg.io/bw8/4_hires.png,Common,0.160000,0.280000,Pokémon
bw8-5,Vespiquen,https://images.pokemontcg.io/bw8/5_hires.png,Rare,0.540000,0.620000,Pokémon
bw8-6,Cherubi,https://images.pokemontcg.io/bw8/6_hires.png,Common,0.150000,0.260000,Pokémon
bw8-7,Cherrim,https://images.pokemontcg.io/bw8/7_hires.png,Rare,0.700000,1.350000,Pokémon
bw8-8,Sewaddle,https://images.pokemontcg.io/bw8/8_hires.png,Common,0.130000,0.280000,Pokémon
bw8-9,Swadloon,https://images.pokemontcg.io/bw8/9_hires.png,Uncommon,0.500000,0.320000,Pokémon
bw8-10,Leavanny,https://images.pokemontcg.io/bw8/10_hires.png,Rare,0.750000,0.560000,Pokémon
bw8-11,Maractus,https://images.pokemontcg.io/bw8/11_hires.png,Uncommon,0.280000,0.250000,Pokémon
bw8-12,Foongus,https://images.pokemontcg.io/bw8/12_hires.png,Common,0.160000,0.160000,Pokémon
bw8-13,Amoonguss,https://images.pokemontcg.io/bw8/13_hires.png,Uncommon,0.170000,0.260000,Pokémon
bw8-14,Moltres-EX,https://images.pokemontcg.io/bw8/14_hires.png,Rare Holo EX,9.880000,8.980000,Pokémon
bw8-15,Chimchar,https://images.pokemontcg.io/bw8/15_hires.png,Common,0.160000,0.210000,Pokémon
bw8-16,Monferno,https://images.pokemontcg.io/bw8/16_hires.png,Uncommon,0.300000,0.310000,Pokémon
bw8-17,Infernape,https://images.pokemontcg.io/bw8/17_hires.png,Rare Holo,2.370000,3.400000,Pokémon
bw8-18,Victini-EX,https://images.pokemontcg.io/bw8/18_hires.png,Rare Holo EX,5.850000,6.580000,Pokémon
bw8-19,Pansear,https://images.pokemontcg.io/bw8/19_hires.png,Common,0.120000,0.240000,Pokémon
bw8-20,Simisear,https://images.pokemontcg.io/bw8/20_hires.png,Uncommon,0.140000,0.300000,Pokémon
bw8-21,Litwick,https://images.pokemontcg.io/bw8/21_hires.png,Common,0.110000,0.250000,Pokémon
bw8-22,Lampent,https://images.pokemontcg.io/bw8/22_hires.png,Uncommon,0.280000,0.230000,Pokémon
bw8-23,Heatmor,https://images.pokemontcg.io/bw8/23_hires.png,Uncommon,0.310000,0.290000,Pokémon
bw8-24,Squirtle,https://images.pokemontcg.io/bw8/24_hires.png,Common,0.960000,1.650000,Pokémon
bw8-25,Articuno-EX,https://images.pokemontcg.io/bw8/25_hires.png,Rare Holo EX,9.960000,11.660000,Pokémon
bw8-26,Swinub,https://images.pokemontcg.io/bw8/26_hires.png,Common,0.130000,0.290000,Pokémon
bw8-27,Piloswine,https://images.pokemontcg.io/bw8/27_hires.png,Uncommon,0.550000,0.330000,Pokémon
bw8-28,Mamoswine,https://images.pokemontcg.io/bw8/28_hires.png,Rare,0.940000,0.870000,Pokémon
bw8-29,Lotad,https://images.pokemontcg.io/bw8/29_hires.png,Common,0.080000,0.360000,Pokémon
bw8-30,Lombre,https://images.pokemontcg.io/bw8/30_hires.png,Uncommon,0.380000,0.310000,Pokémon
bw8-31,Ludicolo,https://images.pokemontcg.io/bw8/31_hires.png,Rare,0.950000,0.720000,Pokémon
bw8-32,Carvanha,https://images.pokemontcg.io/bw8/32_hires.png,Common,0.100000,0.190000,Pokémon
bw8-33,Sharpedo,https://images.pokemontcg.io/bw8/33_hires.png,Rare,1.090000,1.200000,Pokémon
bw8-34,Manaphy,https://images.pokemontcg.io/bw8/34_hires.png,Rare Holo,0.660000,0.820000,Pokémon
bw8-35,Vanillite,https://images.pokemontcg.io/bw8/35_hires.png,Common,0.120000,0.220000,Pokémon
bw8-36,Vanillish,https://images.pokemontcg.io/bw8/36_hires.png,Uncommon,0.260000,0.220000,Pokémon
bw8-37,Vanilluxe,https://images.pokemontcg.io/bw8/37_hires.png,Rare,0.380000,1.280000,Pokémon
bw8-38,Frillish,https://images.pokemontcg.io/bw8/38_hires.png,Common,0.150000,0.240000,Pokémon
bw8-39,Jellicent,https://images.pokemontcg.io/bw8/39_hires.png,Rare,0.650000,0.830000,Pokémon
bw8-40,Cubchoo,https://images.pokemontcg.io/bw8/40_hires.png,Common,0.100000,0.270000,Pokémon
