id,name,image,rarity,card_market_price,tcg_market_price,supertype
pl1-1,Ampharos,https://images.pokemontcg.io/pl1/1_hires.png,Rare Holo,6.210000,9.180000,Pokémon
pl1-2,Blastoise,https://images.pokemontcg.io/pl1/2_hires.png,Rare Holo,4.190000,13.700000,Pokémon
pl1-3,Blaziken,https://images.pokemontcg.io/pl1/3_hires.png,Rare Holo,5.430000,8.730000,Pokémon
pl1-4,Delcatty,https://images.pokemontcg.io/pl1/4_hires.png,Rare Holo,3.600000,3.800000,Pokémon
pl1-5,Dialga,https://images.pokemontcg.io/pl1/5_hires.png,Rare Holo,4.270000,6.290000,Pokémon
pl1-6,Dialga,https://images.pokemontcg.io/pl1/6_hires.png,Rare Holo,4.180000,6.520000,Pokémon
pl1-7,Dialga G,https://images.pokemontcg.io/pl1/7_hires.png,Rare Holo,8.670000,8.870000,Pokémon
pl1-8,Gardevoir,https://images.pokemontcg.io/pl1/8_hires.png,Rare Holo,2.130000,11.100000,Pokémon
pl1-9,Giratina,https://images.pokemontcg.io/pl1/9_hires.png,Rare Holo,7.370000,18.310000,Pokémon
pl1-10,Giratina,https://images.pokemontcg.io/pl1/10_hires.png,Rare Holo,11.790000,39.270000,Pokémon
pl1-11,Manectric,https://images.pokemontcg.io/pl1/11_hires.png,Rare Holo,2.050000,2.660000,Pokémon
pl1-12,Palkia G,https://images.pokemontcg.io/pl1/12_hires.png,Rare Holo,6.460000,7.850000,Pokémon
pl1-13,Rampardos,https://images.pokemontcg.io/pl1/13_hires.png,Rare Holo,3.350000,6.090000,Pokémon
pl1-14,Shaymin,https://images.pokemontcg.io/pl1/14_hires.png,Rare Holo,2.950000,7.980000,Pokémon
pl1-15,Shaymin,https://images.pokemontcg.io/pl1/15_hires.png,Rare Holo,2.210000,5.450000,Pokémon
pl1-16,Slaking,https://images.pokemontcg.io/pl1/16_hires.png,Rare Holo,2.090000,2.710000,Pokémon
pl1-17,Weavile G,https://images.pokemontcg.io/pl1/17_hires.png,Rare Holo,2.800000,3.980000,Pokémon
pl1-18,Altaria,https://images.pokemontcg.io/pl1/18_hires.png,Rare,0.860000,1.630000,Pokémon
pl1-19,Banette,https://images.pokemontcg.io/pl1/19_hires.png,Rare,1.530000,3.650000,Pokémon
pl1-20,Bastiodon,https://images.pokemontcg.io/pl1/20_hires.png,Rare,0.810000,1.140000,Pokémon
pl1-21,Beautifly,https://images.pokemontcg.io/pl1/21_hires.png,Rare,0.480000,0.890000,Pokémon
pl1-22,Blissey,https://images.pokemontcg.io/pl1/22_hires.png,Rare,1.500000,2.550000,Pokémon
pl1-23,Dialga,https://images.pokemontcg.io/pl1/23_hires.png,Rare,0.880000,1.160000,Pokémon
