id,name,image,rarity,card_market_price,tcg_market_price,supertype
pgo-1,Bulbasaur,https://images.pokemontcg.io/pgo/1_hires.png,Common,0.070000,0.160000,Pokémon
pgo-2,Ivysaur,https://images.pokemontcg.io/pgo/2_hires.png,Uncommon,0.070000,0.200000,Pokémon
pgo-3,Venusaur,https://images.pokemontcg.io/pgo/3_hires.png,Rare Holo,0.600000,0.570000,Pokémon
pgo-4,Radiant Venusaur,https://images.pokemontcg.io/pgo/4_hires.png,Radiant Rare,4.730000,4.490000,Pokémon
pgo-5,Alolan Exeggutor V,https://images.pokemontcg.io/pgo/5_hires.png,Rare Holo V,0.770000,0.650000,Pokémon
pgo-6,Spinarak,https://images.pokemontcg.io/pgo/6_hires.png,Common,0.080000,0.090000,Pokémon
pgo-7,Ariados,https://images.pokemontcg.io/pgo/7_hires.png,Uncommon,0.050000,0.100000,Pokémon
pgo-8,Charmander,https://images.pokemontcg.io/pgo/8_hires.png,Common,0.070000,0.130000,Pokémon
pgo-9,Charmeleon,https://images.pokemontcg.io/pgo/9_hires.png,Uncommon,0.070000,0.180000,Pokémon
pgo-10,Charizard,https://images.pokemontcg.io/pgo/10_hires.png,Rare Holo,1.600000,1.470000,Pokémon
pgo-11,Radiant Charizard,https://images.pokemontcg.io/pgo/11_hires.png,Radiant Rare,9.890000,9.660000,Pokémon
pgo-12,Moltres,https://images.pokemontcg.io/pgo/12_hires.png,Rare Holo,0.240000,0.320000,Pokémon
pgo-13,Numel,https://images.pokemontcg.io/pgo/13_hires.png,Common,0.120000,0.070000,Pokémon
pgo-14,Camerupt,https://images.pokemontcg.io/pgo/14_hires.png,Uncommon,0.040000,0.090000,Pokémon
pgo-15,Squirtle,https://images.pokemontcg.io/pgo/15_hires.png,Common,0.060000,0.220000,Pokémon
pgo-16,Wartortle,https://images.pokemontcg.io/pgo/16_hires.png,Uncommon,0.070000,0.180000,Pokémon
pgo-17,Blastoise,https://images.pokemontcg.io/pgo/17_hires.png,Rare Holo,0.700000,0.700000,Pokémon
pgo-18,Radiant Blastoise,https://images.pokemontcg.io/pgo/18_hires.png,Radiant Rare,4.860000,5.140000,Pokémon
pgo-19,Slowpoke,https://images.pokemontcg.io/pgo/19_hires.png,Common,0.040000,0.120000,Pokémon
pgo-20,Slowbro,https://images.pokemontcg.io/pgo/20_hires.png,Uncommon,0.050000,0.120000,Pokémon
pgo-21,Magikarp,https://images.pokemontcg.io/pgo/21_hires.png,Common,0.040000,0.100000,Pokémon
pgo-22,Gyarados,https://images.pokemontcg.io/pgo/22_hires.png,Rare Holo,0.190000,0.320000,Pokémon
pgo-23,Lapras,https://images.pokemontcg.io/pgo/23_hires.png,Rare Holo,0.160000,0.320000,Pokémon
pgo-24,Articuno,https://images.pokemontcg.io/pgo/24_hires.png,Rare Holo,0.240000,0.270000,Pokémon
pgo-25,Wimpod,https://images.pokemontcg.io/pgo/25_hires.png,Common,0.030000,0.070000,Pokémon
pgo-26,Golisopod,https://images.pokemontcg.io/pgo/26_hires.png,Rare Holo,0.140000,0.250000,Pokémon
pgo-27,Pikachu,https://images.pokemontcg.io/pgo/27_hires.png,Common,0.050000,0.180000,Pokémon
pgo-28,Pikachu,https://images.pokemontcg.io/pgo/28_hires.png,Rare Holo,0.370000,0.510000,Pokémon
pgo-29,Zapdos,https://images.pokemontcg.io/pgo/29_hires.png,Rare Holo,0.290000,0.390000,Pokémon
pgo-30,Mewtwo V,https://images.pokemontcg.io/pgo/30_hires.png,Rare Holo V,2.500000,3.180000,Pokémon
pgo-31,Mewtwo VSTAR,https://images.pokemontcg.io/pgo/31_hires.png,Rare Holo VSTAR,3.490000,4.280000,Pokémon
pgo-32,Natu,https://images.pokemontcg.io/pgo/32_hires.png,Common,0.030000,0.080000,Pokémon
pgo-33,Xatu,https://images.pokemontcg.io/pgo/33_hires.png,Uncommon,0.040000,0.100000,Pokémon
pgo-34,Lunatone,https://images.pokemontcg.io/pgo/34_hires.png,Uncommon,0.040000,0.070000,Pokémon
pgo-35,Sylveon,https://images.pokemontcg.io/pgo/35_hires.png,Rare Holo,0.250000,0.420000,Pokémon
pgo-36,Onix,https://images.pokemontcg.io/pgo/36_hires.png,Common,0.030000,0.090000,Pokémon
pgo-37,Larvitar,https://images.pokemontcg.io/pgo/37_hires.png,Common,0.040000,0.070000,Pokémon
pgo-38,Pupitar,https://images.pokemontcg.io/pgo/38_hires.png,Uncommon,0.060000,0.090000,Pokémon
pgo-39,Solrock,https://images.pokemontcg.io/pgo/39_hires.png,Uncommon,0.050000,0.060000,Pokémon
pgo-40,Conkeldurr V,https://images.pokemontcg.io/pgo/40_hires.png,Rare Holo V,0.660000,0.570000,Pokémon
pgo-41,Alolan Rattata,https://images.pokemontcg.io/pgo/41_hires.png,Common,0.040000,0.120000,Pokémon
pgo-42,Alolan Raticate,https://images.pokemontcg.io/pgo/42_hires.png,Common,0.040000,0.110000,Pokémon
pgo-43,Tyranitar,https://images.pokemontcg.io/pgo/43_hires.png,Rare Holo,0.270000,0.350000,Pokémon
pgo-44,Steelix,https://images.pokemontcg.io/pgo/44_hires.png,Uncommon,0.040000,0.150000,Pokémon
pgo-45,Meltan,https://images.pokemontcg.io/pgo/45_hires.png,Common,0.030000,0.080000,Pokémon
pgo-46,Melmetal,https://images.pokemontcg.io/pgo/46_hires.png,Rare Holo,0.110000,0.180000,Pokémon
pgo-47,Melmetal V,https://images.pokemontcg.io/pgo/47_hires.png,Rare Holo V,0.610000,0.560000,Pokémon
pgo-48,Melmetal VMAX,https://images.pokemontcg.io/pgo/48_hires.png,Rare Holo VMAX,1.380000,1.330000,Pokémon
pgo-49,Dragonite V,https://images.pokemontcg.io/pgo/49_hires.png,Rare Holo V,1.530000,1.760000,Pokémon
pgo-50,Dragonite VSTAR,https://images.pokemontcg.io/pgo/50_hires.png,Rare Holo VSTAR,1.920000,1.900000,Pokémon
pgo-51,Chansey,https://images.pokemontcg.io/pgo/51_hires.png,Uncommon,0.050000,0.170000,Pokémon
pgo-52,Blissey,https://images.pokemontcg.io/pgo/52_hires.png,Rare Holo,0.120000,0.210000,Pokémon
pgo-53,Ditto,https://images.pokemontcg.io/pgo/53_hires.png,Rare Holo,2.020000,1.460000,Pokémon
pgo-54,Eevee,https://images.pokemontcg.io/pgo/54_hires.png,Common,0.080000,0.140000,Pokémon
pgo-55,Snorlax,https://images.pokemontcg.io/pgo/55_hires.png,Rare Holo,0.950000,0.450000,Pokémon
pgo-56,Aipom,https://images.pokemontcg.io/pgo/56_hires.png,Common,0.030000,0.060000,Pokémon
pgo-57,Ambipom,https://images.pokemontcg.io/pgo/57_hires.png,Common,0.040000,0.070000,Pokémon
pgo-58,Slaking V,https://images.pokemontcg.io/pgo/58_hires.png,Rare Holo V,0.680000,0.600000,Pokémon
pgo-59,Bidoof,https://images.pokemontcg.io/pgo/59_hires.png,Common,0.170000,0.100000,Pokémon
pgo-60,Bibarel,https://images.pokemontcg.io/pgo/60_hires.png,Common,0.030000,0.140000,Pokémon
pgo-61,Pidove,https://images.pokemontcg.io/pgo/61_hires.png,Common,0.040000,0.080000,Pokémon
pgo-62,Tranquill,https://images.pokemontcg.io/pgo/62_hires.png,Common,0.030000,0.070000,Pokémon
pgo-63,Unfezant,https://images.pokemontcg.io/pgo/63_hires.png,Uncommon,0.050000,0.110000,Pokémon
pgo-64,Blanche,https://images.pokemontcg.io/pgo/64_hires.png,Uncommon,0.050000,0.080000,Trainer
pgo-65,Candela,https://images.pokemontcg.io/pgo/65_hires.png,Uncommon,0.040000,0.090000,Trainer
pgo-66,Egg Incubator,https://images.pokemontcg.io/pgo/66_hires.png,Uncommon,0.040000,0.110000,Trainer
pgo-67,Lure Module,https://images.pokemontcg.io/pgo/67_hires.png,Uncommon,0.050000,0.090000,Trainer
pgo-68,PokéStop,https://images.pokemontcg.io/pgo/68_hires.png,Uncommon,0.160000,0.160000,Trainer
pgo-69,Rare Candy,https://images.pokemontcg.io/pgo/69_hires.png,Uncommon,0.100000,0.190000,Trainer
pgo-70,Spark,https://images.pokemontcg.io/pgo/70_hires.png,Uncommon,0.050000,0.090000,Trainer
pgo-71,Alolan Exeggutor V,https://images.pokemontcg.io/pgo/71_hires.png,Rare Ultra,3.410000,1.930000,Pokémon
pgo-72,Mewtwo V,https://images.pokemontcg.io/pgo/72_hires.png,Rare Ultra,42.370000,46.280000,Pokémon
pgo-73,Conkeldurr V,https://images.pokemontcg.io/pgo/73_hires.png,Rare Ultra,2.870000,1.500000,Pokémon
