id,name,image,rarity,card_market_price,tcg_market_price,supertype
ru1-1,Venusaur,https://images.pokemontcg.io/ru1/1_hires.png,,23.820000,77.980000,Pokémon
ru1-2,Cherrim,https://images.pokemontcg.io/ru1/2_hires.png,,9.590000,31.120000,Pokémon
ru1-3,Ninetales,https://images.pokemontcg.io/ru1/3_hires.png,,22.490000,46.590000,Pokémon
ru1-4,Heatran,https://images.pokemontcg.io/ru1/4_hires.png,,13.480000,42.840000,Pokémon
ru1-5,Starmie,https://images.pokemontcg.io/ru1/5_hires.png,,14.180000,41.020000,Pokémon
ru1-6,Gyarados,https://images.pokemontcg.io/ru1/6_hires.png,,41.270000,117.300000,Pokémon
ru1-7,Pikachu,https://images.pokemontcg.io/ru1/7_hires.png,,229.980000,237.500000,Pokémon
ru1-8,Zapdos,https://images.pokemontcg.io/ru1/8_hires.png,,20.980000,96.310000,Pokémon
ru1-9,Mewtwo,https://images.pokemontcg.io/ru1/9_hires.png,,51.660000,60.780000,Pokémon
ru1-10,Mew,https://images.pokemontcg.io/ru1/10_hires.png,,58.740000,230.140000,Pokémon
ru1-11,Diglett,https://images.pokemontcg.io/ru1/11_hires.png,,15.320000,39.540000,Pokémon
ru1-12,Lucario,https://images.pokemontcg.io/ru1/12_hires.png,,41.500000,142.990000,Pokémon
ru1-13,Skuntank,https://images.pokemontcg.io/ru1/13_hires.png,,10.660000,30,Pokémon
ru1-14,Bastiodon,https://images.pokemontcg.io/ru1/14_hires.png,,13.610000,29.990000,Pokémon
ru1-15,Rattata,https://images.pokemontcg.io/ru1/15_hires.png,,13.150000,35.320000,Pokémon
ru1-16,Bibarel,https://images.pokemontcg.io/ru1/16_hires.png,,9,28.950000,Pokémon
",DefaulT,",,,,0,0,
