id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy5-1,Weedle,https://images.pokemontcg.io/xy5/1_hires.png,Common,0.090000,0.130000,Pokémon
xy5-2,Kakuna,https://images.pokemontcg.io/xy5/2_hires.png,Uncommon,0.200000,0.130000,Pokémon
xy5-3,Beedrill,https://images.pokemontcg.io/xy5/3_hires.png,Rare,0.580000,0.290000,Pokémon
xy5-4,Tangela,https://images.pokemontcg.io/xy5/4_hires.png,Common,0.100000,0.110000,Pokémon
xy5-5,Tangrowth,https://images.pokemontcg.io/xy5/5_hires.png,Rare,0.280000,0.290000,Pokémon
xy5-6,Treecko,https://images.pokemontcg.io/xy5/6_hires.png,Common,0.130000,0.240000,Pokémon
xy5-7,Grovyle,https://images.pokemontcg.io/xy5/7_hires.png,Uncommon,0.310000,0.300000,Pokémon
xy5-8,Sceptile,https://images.pokemontcg.io/xy5/8_hires.png,Rare,1.360000,1.790000,Pokémon
xy5-9,Sceptile,https://images.pokemontcg.io/xy5/9_hires.png,Rare Holo,5,2.550000,Pokémon
xy5-10,Lotad,https://images.pokemontcg.io/xy5/10_hires.png,Common,0.110000,0.200000,Pokémon
xy5-11,Lombre,https://images.pokemontcg.io/xy5/11_hires.png,Uncommon,0.160000,0.190000,Pokémon
xy5-12,Ludicolo,https://images.pokemontcg.io/xy5/12_hires.png,Rare Holo,2,0.780000,Pokémon
xy5-13,Surskit,https://images.pokemontcg.io/xy5/13_hires.png,Common,0.140000,0.140000,Pokémon
xy5-14,Masquerain,https://images.pokemontcg.io/xy5/14_hires.png,Uncommon,0.180000,0.180000,Pokémon
xy5-15,Shroomish,https://images.pokemontcg.io/xy5/15_hires.png,Common,0.220000,0.200000,Pokémon
xy5-16,Breloom,https://images.pokemontcg.io/xy5/16_hires.png,Rare,0.400000,0.340000,Pokémon
xy5-17,Volbeat,https://images.pokemontcg.io/xy5/17_hires.png,Common,0.220000,0.280000,Pokémon
xy5-18,Illumise,https://images.pokemontcg.io/xy5/18_hires.png,Common,0.300000,0.250000,Pokémon
xy5-19,Trevenant-EX,https://images.pokemontcg.io/xy5/19_hires.png,Rare Holo EX,3.960000,2.190000,Pokémon
xy5-20,Vulpix,https://images.pokemontcg.io/xy5/20_hires.png,Common,0.150000,0.220000,Pokémon
xy5-21,Ninetales,https://images.pokemontcg.io/xy5/21_hires.png,Rare,0.970000,0.740000,Pokémon
xy5-22,Slugma,https://images.pokemontcg.io/xy5/22_hires.png,Common,0.100000,0.200000,Pokémon
xy5-23,Magcargo,https://images.pokemontcg.io/xy5/23_hires.png,Uncommon,0.260000,0.210000,Pokémon
xy5-24,Magcargo,https://images.pokemontcg.io/xy5/24_hires.png,Rare,1.250000,0.530000,Pokémon
xy5-25,Torchic,https://images.pokemontcg.io/xy5/25_hires.png,Common,0.090000,0.150000,Pokémon
xy5-26,Torchic,https://images.pokemontcg.io/xy5/26_hires.png,Uncommon,2.160000,2.530000,Pokémon
xy5-27,Combusken,https://images.pokemontcg.io/xy5/27_hires.png,Uncommon,0.180000,0.290000,Pokémon
xy5-28,Blaziken,https://images.pokemontcg.io/xy5/28_hires.png,Rare Holo,3.960000,1.220000,Pokémon
xy5-29,Camerupt-EX,https://images.pokemontcg.io/xy5/29_hires.png,Rare Holo EX,4.960000,1.900000,Pokémon
xy5-30,Horsea,https://images.pokemontcg.io/xy5/30_hires.png,Common,0.100000,0.150000,Pokémon
xy5-31,Seadra,https://images.pokemontcg.io/xy5/31_hires.png,Uncommon,0.120000,0.190000,Pokémon
xy5-32,Staryu,https://images.pokemontcg.io/xy5/32_hires.png,Common,0.240000,0.270000,Pokémon
xy5-33,Mudkip,https://images.pokemontcg.io/xy5/33_hires.png,Common,0.260000,0.470000,Pokémon
xy5-34,Marshtomp,https://images.pokemontcg.io/xy5/34_hires.png,Uncommon,0.260000,0.410000,Pokémon
xy5-35,Swampert,https://images.pokemontcg.io/xy5/35_hires.png,Rare,1.250000,0.890000,Pokémon
xy5-36,Swampert,https://images.pokemontcg.io/xy5/36_hires.png,Rare Holo,11.700000,9.320000,Pokémon
xy5-37,Ludicolo,https://images.pokemontcg.io/xy5/37_hires.png,Rare,2.500000,1.630000,Pokémon
xy5-38,Wailord-EX,https://images.pokemontcg.io/xy5/38_hires.png,Rare Holo EX,4.670000,3.260000,Pokémon
xy5-39,Barboach,https://images.pokemontcg.io/xy5/39_hires.png,Common,0.100000,0.120000,Pokémon
xy5-40,Whiscash,https://images.pokemontcg.io/xy5/40_hires.png,Uncommon,0.130000,0.160000,Pokémon
xy5-41,Whiscash,https://images.pokemontcg.io/xy5/41_hires.png,Rare,1.480000,0.670000,Pokémon
xy5-42,Corphish,https://images.pokemontcg.io/xy5/42_hires.png,Common,0.170000,0.130000,Pokémon
xy5-43,Feebas,https://images.pokemontcg.io/xy5/43_hires.png,Common,0.110000,0.150000,Pokémon
xy5-44,Milotic,https://images.pokemontcg.io/xy5/44_hires.png,Rare Holo,1.410000,1.230000,Pokémon
xy5-45,Spheal,https://images.pokemontcg.io/xy5/45_hires.png,Common,0.180000,0.210000,Pokémon
xy5-46,Spheal,https://images.pokemontcg.io/xy5/46_hires.png,Common,0.170000,0.190000,Pokémon
xy5-47,Sealeo,https://images.pokemontcg.io/xy5/47_hires.png,Uncommon,0.140000,0.250000,Pokémon
xy5-48,Walrein,https://images.pokemontcg.io/xy5/48_hires.png,Rare,0.440000,0.270000,Pokémon
xy5-49,Clamperl,https://images.pokemontcg.io/xy5/49_hires.png,Common,0.130000,0.210000,Pokémon
xy5-50,Huntail,https://images.pokemontcg.io/xy5/50_hires.png,Rare Holo,1.870000,0.690000,Pokémon
