id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv8pt5-3,Pinsir,https://images.pokemontcg.io/sv8pt5/3_hires.png,Common,0,0.040000,Pokémon
sv8pt5-2,Exeggutor,https://images.pokemontcg.io/sv8pt5/2_hires.png,Uncommon,0,0.060000,Pokémon
sv8pt5-1,Exeggcute,https://images.pokemontcg.io/sv8pt5/1_hires.png,Common,0,0.020000,Pokémon
sv8pt5-6,Leafeon ex,https://images.pokemontcg.io/sv8pt5/6_hires.png,Double Rare,0,4.630000,Pokémon
sv8pt5-8,Whimsicott,https://images.pokemontcg.io/sv8pt5/8_hires.png,Rare,0,0.060000,Pokémon
sv8pt5-9,Applin,https://images.pokemontcg.io/sv8pt5/9_hires.png,Common,0,0.050000,Pokémon
sv8pt5-4,Budew,https://images.pokemontcg.io/sv8pt5/4_hires.png,Common,0,0.190000,Pokémon
sv8pt5-5,Leafeon,https://images.pokemontcg.io/sv8pt5/5_hires.png,Rare,0,0.240000,Pokémon
sv8pt5-7,Cottonee,https://images.pokemontcg.io/sv8pt5/7_hires.png,Common,0,0.040000,Pokémon
sv8pt5-13,Flareon,https://images.pokemontcg.io/sv8pt5/13_hires.png,Rare,0,0.220000,Pokémon
sv8pt5-11,Hydrapple ex,https://images.pokemontcg.io/sv8pt5/11_hires.png,Double Rare,0,0.650000,Pokémon
sv8pt5-14,Flareon ex,https://images.pokemontcg.io/sv8pt5/14_hires.png,Double Rare,0,8.330000,Pokémon
sv8pt5-10,Dipplin,https://images.pokemontcg.io/sv8pt5/10_hires.png,Uncommon,0,0.050000,Pokémon
sv8pt5-12,Teal Mask Ogerpon ex,https://images.pokemontcg.io/sv8pt5/12_hires.png,Double Rare,0,1.620000,Pokémon
sv8pt5-22,Vaporeon,https://images.pokemontcg.io/sv8pt5/22_hires.png,Rare,0,0.240000,Pokémon
sv8pt5-23,Vaporeon ex,https://images.pokemontcg.io/sv8pt5/23_hires.png,Double Rare,0,2.560000,Pokémon
sv8pt5-25,Glaceon,https://images.pokemontcg.io/sv8pt5/25_hires.png,Rare,0,0.270000,Pokémon
sv8pt5-31,Iron Hands ex,https://images.pokemontcg.io/sv8pt5/31_hires.png,Double Rare,0,0.890000,Pokémon
sv8pt5-32,Iron Thorns ex,https://images.pokemontcg.io/sv8pt5/32_hires.png,Double Rare,0,0.860000,Pokémon
sv8pt5-33,Espeon,https://images.pokemontcg.io/sv8pt5/33_hires.png,Rare,0,0.250000,Pokémon
sv8pt5-35,Duskull,https://images.pokemontcg.io/sv8pt5/35_hires.png,Common,0,0.090000,Pokémon
sv8pt5-15,Litleo,https://images.pokemontcg.io/sv8pt5/15_hires.png,Common,0,0.050000,Pokémon
sv8pt5-21,Seaking,https://images.pokemontcg.io/sv8pt5/21_hires.png,Uncommon,0,0.060000,Pokémon
sv8pt5-30,Jolteon ex,https://images.pokemontcg.io/sv8pt5/30_hires.png,Double Rare,0,2.170000,Pokémon
sv8pt5-18,Slowpoke,https://images.pokemontcg.io/sv8pt5/18_hires.png,Common,0,0.080000,Pokémon
sv8pt5-24,Suicune,https://images.pokemontcg.io/sv8pt5/24_hires.png,Uncommon,0,0.070000,Pokémon
sv8pt5-26,Glaceon ex,https://images.pokemontcg.io/sv8pt5/26_hires.png,Double Rare,0,1.880000,Pokémon
sv8pt5-28,Pikachu ex,https://images.pokemontcg.io/sv8pt5/28_hires.png,Double Rare,0,1.150000,Pokémon
sv8pt5-16,Pyroar,https://images.pokemontcg.io/sv8pt5/16_hires.png,Uncommon,0,0.060000,Pokémon
sv8pt5-17,Hearthflame Mask Ogerpon ex,https://images.pokemontcg.io/sv8pt5/17_hires.png,Double Rare,0,0.590000,Pokémon
sv8pt5-19,Slowking,https://images.pokemontcg.io/sv8pt5/19_hires.png,Uncommon,0,0.090000,Pokémon
sv8pt5-20,Goldeen,https://images.pokemontcg.io/sv8pt5/20_hires.png,Common,0,0.030000,Pokémon
sv8pt5-27,Wellspring Mask Ogerpon ex,https://images.pokemontcg.io/sv8pt5/27_hires.png,Double Rare,0,0.830000,Pokémon
sv8pt5-29,Jolteon,https://images.pokemontcg.io/sv8pt5/29_hires.png,Rare,0,0.190000,Pokémon
sv8pt5-34,Espeon ex,https://images.pokemontcg.io/sv8pt5/34_hires.png,Double Rare,0,2.490000,Pokémon
sv8pt5-36,Dusclops,https://images.pokemontcg.io/sv8pt5/36_hires.png,Common,0,0.070000,Pokémon
sv8pt5-38,Spritzee,https://images.pokemontcg.io/sv8pt5/38_hires.png,Common,0,0.060000,Pokémon
