id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh2-1,Caterpie,https://images.pokemontcg.io/swsh2/1_hires.png,Common,0.050000,0.100000,Pokémon
swsh2-2,Metapod,https://images.pokemontcg.io/swsh2/2_hires.png,Uncommon,0.080000,0.240000,Pokémon
swsh2-3,Butterfree,https://images.pokemontcg.io/swsh2/3_hires.png,Rare,0.250000,0.230000,Pokémon
swsh2-4,Scyther,https://images.pokemontcg.io/swsh2/4_hires.png,Common,0.050000,0.110000,Pokémon
swsh2-5,Shuckle,https://images.pokemontcg.io/swsh2/5_hires.png,Uncommon,0.100000,0.130000,Pokémon
swsh2-6,Heracross,https://images.pokemontcg.io/swsh2/6_hires.png,Uncommon,0.090000,0.100000,Pokémon
swsh2-7,Lotad,https://images.pokemontcg.io/swsh2/7_hires.png,Common,0.050000,0.090000,Pokémon
swsh2-8,Lombre,https://images.pokemontcg.io/swsh2/8_hires.png,Uncommon,0.070000,0.090000,Pokémon
swsh2-9,Ludicolo,https://images.pokemontcg.io/swsh2/9_hires.png,Rare,0.300000,0.260000,Pokémon
swsh2-10,Surskit,https://images.pokemontcg.io/swsh2/10_hires.png,Common,0.060000,0.070000,Pokémon
swsh2-11,Masquerain,https://images.pokemontcg.io/swsh2/11_hires.png,Uncommon,0.050000,0.100000,Pokémon
swsh2-12,Snover,https://images.pokemontcg.io/swsh2/12_hires.png,Common,0.050000,0.070000,Pokémon
swsh2-13,Abomasnow,https://images.pokemontcg.io/swsh2/13_hires.png,Rare,0.140000,0.180000,Pokémon
swsh2-14,Phantump,https://images.pokemontcg.io/swsh2/14_hires.png,Common,0.030000,0.050000,Pokémon
swsh2-15,Trevenant,https://images.pokemontcg.io/swsh2/15_hires.png,Rare,0.180000,0.190000,Pokémon
swsh2-16,Grubbin,https://images.pokemontcg.io/swsh2/16_hires.png,Common,0.050000,0.100000,Pokémon
swsh2-17,Rillaboom V,https://images.pokemontcg.io/swsh2/17_hires.png,Rare Holo V,1.260000,0.860000,Pokémon
swsh2-18,Rillaboom VMAX,https://images.pokemontcg.io/swsh2/18_hires.png,Rare Holo VMAX,2.050000,1.850000,Pokémon
swsh2-19,Eldegoss V,https://images.pokemontcg.io/swsh2/19_hires.png,Rare Holo V,1.820000,0.700000,Pokémon
swsh2-20,Applin,https://images.pokemontcg.io/swsh2/20_hires.png,Common,0.080000,0.080000,Pokémon
