id,name,image,rarity,card_market_price,tcg_market_price,supertype
pl2-1,Arcanine,https://images.pokemontcg.io/pl2/1_hires.png,Rare Holo,5.500000,23.890000,Pokémon
pl2-2,Bastiodon GL,https://images.pokemontcg.io/pl2/2_hires.png,Rare Holo,2.150000,2.870000,Pokémon
pl2-3,Darkrai G,https://images.pokemontcg.io/pl2/3_hires.png,Rare Holo,6.880000,21.890000,Pokémon
pl2-4,Floatzel GL,https://images.pokemontcg.io/pl2/4_hires.png,Rare Holo,2.200000,3.520000,Pokémon
pl2-5,Flygon,https://images.pokemontcg.io/pl2/5_hires.png,Rare Holo,3.540000,15.480000,Pokémon
pl2-6,Froslass GL,https://images.pokemontcg.io/pl2/6_hires.png,Rare Holo,2.420000,6.590000,Pokémon
pl2-7,Jirachi,https://images.pokemontcg.io/pl2/7_hires.png,Rare Holo,3.700000,15.870000,Pokémon
pl2-8,Lucario GL,https://images.pokemontcg.io/pl2/8_hires.png,Rare Holo,5.040000,13.110000,Pokémon
pl2-9,Luxray GL,https://images.pokemontcg.io/pl2/9_hires.png,Rare Holo,4.650000,18.610000,Pokémon
pl2-10,Mismagius GL,https://images.pokemontcg.io/pl2/10_hires.png,Rare Holo,4.130000,4.750000,Pokémon
pl2-11,Rampardos GL,https://images.pokemontcg.io/pl2/11_hires.png,Rare Holo,2.720000,3.560000,Pokémon
pl2-12,Roserade GL,https://images.pokemontcg.io/pl2/12_hires.png,Rare Holo,3.050000,4.440000,Pokémon
pl2-13,Shiftry,https://images.pokemontcg.io/pl2/13_hires.png,Rare Holo,1.280000,2.510000,Pokémon
pl2-14,Aggron,https://images.pokemontcg.io/pl2/14_hires.png,Rare,1.620000,1.950000,Pokémon
pl2-15,Beedrill,https://images.pokemontcg.io/pl2/15_hires.png,Rare,0.400000,0.830000,Pokémon
pl2-16,Bronzong E4,https://images.pokemontcg.io/pl2/16_hires.png,Rare,0.800000,0.990000,Pokémon
