id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy6-1,Exeggcute,https://images.pokemontcg.io/xy6/1_hires.png,Common,0.100000,0.180000,Pokémon
xy6-2,Exeggutor,https://images.pokemontcg.io/xy6/2_hires.png,Uncommon,0.150000,0.170000,Pokémon
xy6-3,Wurmple,https://images.pokemontcg.io/xy6/3_hires.png,Common,0.110000,0.120000,Pokémon
xy6-4,Silcoon,https://images.pokemontcg.io/xy6/4_hires.png,Uncommon,0.200000,0.200000,Pokémon
xy6-5,Beautifly,https://images.pokemontcg.io/xy6/5_hires.png,Rare Holo,1.280000,0.600000,Pokémon
xy6-6,Cascoon,https://images.pokemontcg.io/xy6/6_hires.png,Common,0.080000,0.170000,Pokémon
xy6-7,Dustox,https://images.pokemontcg.io/xy6/7_hires.png,Uncommon,0.160000,0.210000,Pokémon
xy6-8,Dustox,https://images.pokemontcg.io/xy6/8_hires.png,Rare,1.010000,0.680000,Pokémon
xy6-9,Nincada,https://images.pokemontcg.io/xy6/9_hires.png,Common,0.110000,0.140000,Pokémon
xy6-10,Ninjask,https://images.pokemontcg.io/xy6/10_hires.png,Uncommon,0.200000,0.210000,Pokémon
xy6-11,Shedinja,https://images.pokemontcg.io/xy6/11_hires.png,Rare,0.460000,0.440000,Pokémon
xy6-12,Tropius,https://images.pokemontcg.io/xy6/12_hires.png,Uncommon,0.130000,0.200000,Pokémon
xy6-13,Victini,https://images.pokemontcg.io/xy6/13_hires.png,Rare,0.250000,0.300000,Pokémon
xy6-14,Fletchinder,https://images.pokemontcg.io/xy6/14_hires.png,Uncommon,0.120000,0.130000,Pokémon
xy6-15,Talonflame,https://images.pokemontcg.io/xy6/15_hires.png,Rare,0.240000,0.340000,Pokémon
xy6-16,Articuno,https://images.pokemontcg.io/xy6/16_hires.png,Rare,2.300000,0.900000,Pokémon
xy6-17,Articuno,https://images.pokemontcg.io/xy6/17_hires.png,Rare,2.590000,2.190000,Pokémon
xy6-18,Wingull,https://images.pokemontcg.io/xy6/18_hires.png,Common,0.100000,0.130000,Pokémon
xy6-19,Pelipper,https://images.pokemontcg.io/xy6/19_hires.png,Uncommon,0.140000,0.130000,Pokémon
xy6-20,Pikachu,https://images.pokemontcg.io/xy6/20_hires.png,Common,2,0.600000,Pokémon
xy6-21,Voltorb,https://images.pokemontcg.io/xy6/21_hires.png,Common,0.040000,0.110000,Pokémon
xy6-22,Electrode,https://images.pokemontcg.io/xy6/22_hires.png,Uncommon,0.210000,0.200000,Pokémon
xy6-23,Zapdos,https://images.pokemontcg.io/xy6/23_hires.png,Rare,1.920000,0.700000,Pokémon
xy6-24,Electrike,https://images.pokemontcg.io/xy6/24_hires.png,Common,0.090000,0.100000,Pokémon
xy6-25,Manectric,https://images.pokemontcg.io/xy6/25_hires.png,Uncommon,0.120000,0.200000,Pokémon
xy6-26,Thundurus-EX,https://images.pokemontcg.io/xy6/26_hires.png,Rare Holo EX,2.860000,2.470000,Pokémon
xy6-27,Natu,https://images.pokemontcg.io/xy6/27_hires.png,Common,0.060000,0.140000,Pokémon
xy6-28,Natu,https://images.pokemontcg.io/xy6/28_hires.png,Common,0.150000,0.250000,Pokémon
xy6-29,Xatu,https://images.pokemontcg.io/xy6/29_hires.png,Rare,0.110000,0.270000,Pokémon
xy6-30,Shuppet,https://images.pokemontcg.io/xy6/30_hires.png,Common,0.090000,0.140000,Pokémon
xy6-31,Banette,https://images.pokemontcg.io/xy6/31_hires.png,Rare,0.820000,0.340000,Pokémon
xy6-32,Banette,https://images.pokemontcg.io/xy6/32_hires.png,Rare,1.320000,0.580000,Pokémon
xy6-33,Deoxys,https://images.pokemontcg.io/xy6/33_hires.png,Rare Holo,2.310000,1.450000,Pokémon
xy6-34,Gallade-EX,https://images.pokemontcg.io/xy6/34_hires.png,Rare Holo EX,2.680000,2.190000,Pokémon
xy6-35,M Gallade-EX,https://images.pokemontcg.io/xy6/35_hires.png,Rare Holo EX,13.660000,20.550000,Pokémon
xy6-36,Gligar,https://images.pokemontcg.io/xy6/36_hires.png,Common,0.070000,0.130000,Pokémon
xy6-37,Gliscor,https://images.pokemontcg.io/xy6/37_hires.png,Uncommon,0.100000,0.150000,Pokémon
xy6-38,Binacle,https://images.pokemontcg.io/xy6/38_hires.png,Common,0.070000,0.080000,Pokémon
xy6-39,Hawlucha,https://images.pokemontcg.io/xy6/39_hires.png,Common,0.070000,0.110000,Pokémon
xy6-40,Absol,https://images.pokemontcg.io/xy6/40_hires.png,Rare Holo,1.730000,0.570000,Pokémon
xy6-41,Inkay,https://images.pokemontcg.io/xy6/41_hires.png,Common,0.080000,0.190000,Pokémon
xy6-42,Jirachi,https://images.pokemontcg.io/xy6/42_hires.png,Rare Holo,1.730000,1.820000,Pokémon
xy6-43,Togepi,https://images.pokemontcg.io/xy6/43_hires.png,Common,0.150000,0.200000,Pokémon
xy6-44,Togetic,https://images.pokemontcg.io/xy6/44_hires.png,Uncommon,0.230000,0.260000,Pokémon
xy6-45,Togekiss,https://images.pokemontcg.io/xy6/45_hires.png,Rare,0.440000,0.630000,Pokémon
xy6-46,Togekiss,https://images.pokemontcg.io/xy6/46_hires.png,Rare Holo,3.660000,1.980000,Pokémon
xy6-47,Carbink,https://images.pokemontcg.io/xy6/47_hires.png,Rare,0.260000,0.340000,Pokémon
xy6-48,Klefki,https://images.pokemontcg.io/xy6/48_hires.png,Rare,0.360000,0.310000,Pokémon
xy6-49,Dratini,https://images.pokemontcg.io/xy6/49_hires.png,Common,0.160000,0.180000,Pokémon
xy6-50,Dragonair,https://images.pokemontcg.io/xy6/50_hires.png,Uncommon,0.300000,0.330000,Pokémon
xy6-51,Dragonite,https://images.pokemontcg.io/xy6/51_hires.png,Rare,2.190000,1.320000,Pokémon
xy6-52,Dragonite,https://images.pokemontcg.io/xy6/52_hires.png,Rare Holo,14.370000,5.580000,Pokémon
xy6-53,Altaria,https://images.pokemontcg.io/xy6/53_hires.png,Uncommon,0.160000,0.210000,Pokémon
xy6-54,Bagon,https://images.pokemontcg.io/xy6/54_hires.png,Common,0.090000,0.170000,Pokémon
xy6-55,Bagon,https://images.pokemontcg.io/xy6/55_hires.png,Common,0.070000,0.150000,Pokémon
xy6-56,Shelgon,https://images.pokemontcg.io/xy6/56_hires.png,Uncommon,0.160000,0.180000,Pokémon
xy6-57,Salamence,https://images.pokemontcg.io/xy6/57_hires.png,Rare Holo,1.680000,1.030000,Pokémon
xy6-58,Latios-EX,https://images.pokemontcg.io/xy6/58_hires.png,Rare Holo EX,5.300000,5.320000,Pokémon
