id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex1-1,Aggron,https://images.pokemontcg.io/ex1/1_hires.png,Rare Holo,8.950000,13.680000,Pokémon
ex1-2,Beautifly,https://images.pokemontcg.io/ex1/2_hires.png,Rare Holo,7.110000,9.190000,Pokémon
ex1-3,Blaziken,https://images.pokemontcg.io/ex1/3_hires.png,Rare Holo,11.320000,42.600000,Pokémon
ex1-4,Camerupt,https://images.pokemontcg.io/ex1/4_hires.png,Rare Holo,4.750000,5.700000,Pokémon
ex1-5,Delcatty,https://images.pokemontcg.io/ex1/5_hires.png,Rare Holo,5.700000,12.700000,Pokémon
ex1-6,Dustox,https://images.pokemontcg.io/ex1/6_hires.png,Rare Holo,5.540000,8.890000,Pokémon
ex1-7,Gardevoir,https://images.pokemontcg.io/ex1/7_hires.png,Rare Holo,7.260000,42.180000,Pokémon
ex1-8,Hariyama,https://images.pokemontcg.io/ex1/8_hires.png,Rare Holo,5.330000,6.970000,Pokémon
ex1-9,Manectric,https://images.pokemontcg.io/ex1/9_hires.png,Rare Holo,4.300000,7.380000,Pokémon
ex1-10,Mightyena,https://images.pokemontcg.io/ex1/10_hires.png,Rare Holo,4.600000,10.360000,Pokémon
ex1-11,Sceptile,https://images.pokemontcg.io/ex1/11_hires.png,Rare Holo,21.620000,51.380000,Pokémon
ex1-12,Slaking,https://images.pokemontcg.io/ex1/12_hires.png,Rare Holo,3.570000,14.540000,Pokémon
ex1-13,Swampert,https://images.pokemontcg.io/ex1/13_hires.png,Rare Holo,14.060000,29.970000,Pokémon
ex1-14,Wailord,https://images.pokemontcg.io/ex1/14_hires.png,Rare Holo,8.080000,9.650000,Pokémon
ex1-15,Blaziken,https://images.pokemontcg.io/ex1/15_hires.png,Rare,0.600000,1.620000,Pokémon
ex1-16,Breloom,https://images.pokemontcg.io/ex1/16_hires.png,Rare,0.750000,1.580000,Pokémon
ex1-17,Donphan,https://images.pokemontcg.io/ex1/17_hires.png,Rare,0.660000,1.080000,Pokémon
ex1-18,Nosepass,https://images.pokemontcg.io/ex1/18_hires.png,Rare,0.670000,1.020000,Pokémon
ex1-19,Pelipper,https://images.pokemontcg.io/ex1/19_hires.png,Rare,0.410000,0.730000,Pokémon
ex1-20,Sceptile,https://images.pokemontcg.io/ex1/20_hires.png,Rare,1.400000,4.780000,Pokémon
ex1-21,Seaking,https://images.pokemontcg.io/ex1/21_hires.png,Rare,0.520000,0.690000,Pokémon
ex1-22,Sharpedo,https://images.pokemontcg.io/ex1/22_hires.png,Rare,0.850000,1.900000,Pokémon
ex1-23,Swampert,https://images.pokemontcg.io/ex1/23_hires.png,Rare,0.760000,2.530000,Pokémon
ex1-24,Weezing,https://images.pokemontcg.io/ex1/24_hires.png,Rare,0.550000,1.270000,Pokémon
ex1-25,Aron,https://images.pokemontcg.io/ex1/25_hires.png,Uncommon,1.570000,1.850000,Pokémon
ex1-26,Cascoon,https://images.pokemontcg.io/ex1/26_hires.png,Uncommon,0.570000,2.180000,Pokémon
ex1-27,Combusken,https://images.pokemontcg.io/ex1/27_hires.png,Uncommon,0.720000,1.080000,Pokémon
ex1-28,Combusken,https://images.pokemontcg.io/ex1/28_hires.png,Uncommon,0.710000,2.140000,Pokémon
ex1-29,Delcatty,https://images.pokemontcg.io/ex1/29_hires.png,Uncommon,0.350000,0.510000,Pokémon
ex1-30,Electrike,https://images.pokemontcg.io/ex1/30_hires.png,Uncommon,0.490000,1.030000,Pokémon
ex1-31,Grovyle,https://images.pokemontcg.io/ex1/31_hires.png,Uncommon,0.710000,1.200000,Pokémon
ex1-32,Grovyle,https://images.pokemontcg.io/ex1/32_hires.png,Uncommon,1.340000,2.410000,Pokémon
ex1-33,Hariyama,https://images.pokemontcg.io/ex1/33_hires.png,Uncommon,0.420000,0.520000,Pokémon
ex1-34,Kirlia,https://images.pokemontcg.io/ex1/34_hires.png,Uncommon,0.670000,1.810000,Pokémon
ex1-35,Kirlia,https://images.pokemontcg.io/ex1/35_hires.png,Uncommon,1.220000,1.220000,Pokémon
ex1-36,Lairon,https://images.pokemontcg.io/ex1/36_hires.png,Uncommon,0.790000,1.970000,Pokémon
ex1-37,Lairon,https://images.pokemontcg.io/ex1/37_hires.png,Uncommon,1.180000,1.440000,Pokémon
ex1-38,Linoone,https://images.pokemontcg.io/ex1/38_hires.png,Uncommon,1.180000,1.650000,Pokémon
ex1-39,Manectric,https://images.pokemontcg.io/ex1/39_hires.png,Uncommon,0.510000,1.130000,Pokémon
ex1-40,Marshtomp,https://images.pokemontcg.io/ex1/40_hires.png,Uncommon,0,1.040000,Pokémon
ex1-41,Marshtomp,https://images.pokemontcg.io/ex1/41_hires.png,Uncommon,0.940000,2.310000,Pokémon
ex1-42,Mightyena,https://images.pokemontcg.io/ex1/42_hires.png,Uncommon,0.590000,1.370000,Pokémon
ex1-43,Silcoon,https://images.pokemontcg.io/ex1/43_hires.png,Uncommon,1.370000,1.730000,Pokémon
ex1-44,Skitty,https://images.pokemontcg.io/ex1/44_hires.png,Uncommon,1.740000,4.660000,Pokémon
ex1-45,Slakoth,https://images.pokemontcg.io/ex1/45_hires.png,Uncommon,1.400000,1.370000,Pokémon
ex1-46,Swellow,https://images.pokemontcg.io/ex1/46_hires.png,Uncommon,0.620000,1.150000,Pokémon
ex1-47,Vigoroth,https://images.pokemontcg.io/ex1/47_hires.png,Uncommon,0.550000,1.190000,Pokémon
ex1-48,Wailmer,https://images.pokemontcg.io/ex1/48_hires.png,Uncommon,0.420000,0.930000,Pokémon
ex1-49,Aron,https://images.pokemontcg.io/ex1/49_hires.png,Common,0.600000,0.840000,Pokémon
ex1-50,Aron,https://images.pokemontcg.io/ex1/50_hires.png,Common,0.280000,0.560000,Pokémon
ex1-51,Carvanha,https://images.pokemontcg.io/ex1/51_hires.png,Common,0.330000,0.490000,Pokémon
ex1-52,Electrike,https://images.pokemontcg.io/ex1/52_hires.png,Common,0.310000,0.520000,Pokémon
ex1-53,Electrike,https://images.pokemontcg.io/ex1/53_hires.png,Common,0.290000,0.520000,Pokémon
ex1-54,Koffing,https://images.pokemontcg.io/ex1/54_hires.png,Common,0.200000,0.360000,Pokémon
ex1-55,Goldeen,https://images.pokemontcg.io/ex1/55_hires.png,Common,0.390000,0.420000,Pokémon
ex1-56,Makuhita,https://images.pokemontcg.io/ex1/56_hires.png,Common,0.160000,0.280000,Pokémon
ex1-57,Makuhita,https://images.pokemontcg.io/ex1/57_hires.png,Common,0.310000,0.470000,Pokémon
ex1-58,Makuhita,https://images.pokemontcg.io/ex1/58_hires.png,Common,0.590000,0.600000,Pokémon
ex1-59,Mudkip,https://images.pokemontcg.io/ex1/59_hires.png,Common,0.760000,1.700000,Pokémon
ex1-60,Mudkip,https://images.pokemontcg.io/ex1/60_hires.png,Common,0.290000,1.110000,Pokémon
ex1-61,Numel,https://images.pokemontcg.io/ex1/61_hires.png,Common,0.250000,0.420000,Pokémon
ex1-62,Phanpy,https://images.pokemontcg.io/ex1/62_hires.png,Common,0.390000,0.960000,Pokémon
