id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex2-1,Armaldo,https://images.pokemontcg.io/ex2/1_hires.png,Rare Holo,5.200000,8.730000,Pokémon
ex2-2,Cacturne,https://images.pokemontcg.io/ex2/2_hires.png,Rare Holo,12,11.260000,Pokémon
ex2-3,Cradily,https://images.pokemontcg.io/ex2/3_hires.png,Rare Holo,2.710000,6.550000,Pokémon
ex2-4,Dusclops,https://images.pokemontcg.io/ex2/4_hires.png,Rare Holo,5.650000,9.200000,Pokémon
ex2-5,Flareon,https://images.pokemontcg.io/ex2/5_hires.png,Rare Holo,26.600000,40.810000,Pokémon
ex2-6,Jolteon,https://images.pokemontcg.io/ex2/6_hires.png,Rare Holo,26.660000,48.250000,Pokémon
ex2-7,Ludicolo,https://images.pokemontcg.io/ex2/7_hires.png,Rare Holo,5.750000,23.530000,Pokémon
ex2-8,Lunatone,https://images.pokemontcg.io/ex2/8_hires.png,Rare Holo,9.300000,11.290000,Pokémon
ex2-9,Mawile,https://images.pokemontcg.io/ex2/9_hires.png,Rare Holo,7.990000,14.350000,Pokémon
ex2-10,Sableye,https://images.pokemontcg.io/ex2/10_hires.png,Rare Holo,25.140000,18.630000,Pokémon
ex2-11,Seviper,https://images.pokemontcg.io/ex2/11_hires.png,Rare Holo,9.890000,7.530000,Pokémon
ex2-12,Shiftry,https://images.pokemontcg.io/ex2/12_hires.png,Rare Holo,5.980000,9.230000,Pokémon
ex2-13,Solrock,https://images.pokemontcg.io/ex2/13_hires.png,Rare Holo,6.820000,11.520000,Pokémon
ex2-14,Zangoose,https://images.pokemontcg.io/ex2/14_hires.png,Rare Holo,17.250000,14.640000,Pokémon
ex2-15,Arcanine,https://images.pokemontcg.io/ex2/15_hires.png,Rare,2.040000,3.390000,Pokémon
ex2-16,Espeon,https://images.pokemontcg.io/ex2/16_hires.png,Rare,4.200000,8.520000,Pokémon
ex2-17,Golduck,https://images.pokemontcg.io/ex2/17_hires.png,Rare,0.770000,1.520000,Pokémon
ex2-18,Kecleon,https://images.pokemontcg.io/ex2/18_hires.png,Rare,0.820000,0.990000,Pokémon
ex2-19,Omastar,https://images.pokemontcg.io/ex2/19_hires.png,Rare,0.740000,0.880000,Pokémon
ex2-20,Pichu,https://images.pokemontcg.io/ex2/20_hires.png,Rare,2.610000,5.220000,Pokémon
ex2-21,Sandslash,https://images.pokemontcg.io/ex2/21_hires.png,Rare,0.640000,0.870000,Pokémon
ex2-22,Shiftry,https://images.pokemontcg.io/ex2/22_hires.png,Rare,0.710000,0.950000,Pokémon
ex2-23,Steelix,https://images.pokemontcg.io/ex2/23_hires.png,Rare,1.030000,2.200000,Pokémon
ex2-24,Umbreon,https://images.pokemontcg.io/ex2/24_hires.png,Rare,9.170000,23.570000,Pokémon
ex2-25,Vaporeon,https://images.pokemontcg.io/ex2/25_hires.png,Rare,4.380000,9.750000,Pokémon
ex2-26,Wobbuffet,https://images.pokemontcg.io/ex2/26_hires.png,Rare,1.060000,0.910000,Pokémon
ex2-27,Anorith,https://images.pokemontcg.io/ex2/27_hires.png,Uncommon,0.670000,0.950000,Pokémon
ex2-28,Anorith,https://images.pokemontcg.io/ex2/28_hires.png,Uncommon,0.990000,1.290000,Pokémon
ex2-29,Arbok,https://images.pokemontcg.io/ex2/29_hires.png,Uncommon,1.290000,1.460000,Pokémon
ex2-30,Azumarill,https://images.pokemontcg.io/ex2/30_hires.png,Uncommon,0.680000,1.060000,Pokémon
ex2-31,Azurill,https://images.pokemontcg.io/ex2/31_hires.png,Uncommon,0.760000,3.750000,Pokémon
ex2-32,Baltoy,https://images.pokemontcg.io/ex2/32_hires.png,Uncommon,0.550000,1.150000,Pokémon
ex2-33,Breloom,https://images.pokemontcg.io/ex2/33_hires.png,Uncommon,1.750000,1.630000,Pokémon
