id,name,image,rarity,card_market_price,tcg_market_price,supertype
svp-1,Sprigatito,https://images.pokemontcg.io/svp/1_hires.png,Promo,3.190000,4.840000,Pokémon
svp-2,Fuecoco,https://images.pokemontcg.io/svp/2_hires.png,Promo,2.400000,3.630000,Pokémon
svp-6,Pawmot,https://images.pokemontcg.io/svp/6_hires.png,Promo,3.580000,1.620000,Pokémon
svp-10,Espathra,https://images.pokemontcg.io/svp/10_hires.png,Promo,0.750000,0.190000,Pokémon
svp-7,Hawlucha,https://images.pokemontcg.io/svp/7_hires.png,Promo,3.670000,3.110000,Pokémon
svp-13,Miraidon,https://images.pokemontcg.io/svp/13_hires.png,Promo,109.310000,4.420000,Pokémon
svp-8,Revavroom,https://images.pokemontcg.io/svp/8_hires.png,Promo,3.210000,2.380000,Pokémon
svp-9,Spidops,https://images.pokemontcg.io/svp/9_hires.png,Promo,0.880000,0.280000,Pokémon
svp-11,Arcanine,https://images.pokemontcg.io/svp/11_hires.png,Promo,0.750000,0.590000,Pokémon
svp-3,Quaxly,https://images.pokemontcg.io/svp/3_hires.png,Promo,2.020000,1.960000,Pokémon
svp-5,Quaquaval,https://images.pokemontcg.io/svp/5_hires.png,Promo,2.920000,1.470000,Pokémon
svp-4,Mimikyu ex,https://images.pokemontcg.io/svp/4_hires.png,Promo,1.010000,0.740000,Pokémon
svp-14,Koraidon,https://images.pokemontcg.io/svp/14_hires.png,Promo,6.310000,3.890000,Pokémon
svp-12,Dondozo,https://images.pokemontcg.io/svp/12_hires.png,Promo,0.280000,0.180000,Pokémon
svp-15,Flaaffy,https://images.pokemontcg.io/svp/15_hires.png,Promo,3.080000,1.690000,Pokémon
svp-17,Lucario ex,https://images.pokemontcg.io/svp/17_hires.png,Promo,6.430000,6.040000,Pokémon
svp-16,Ampharos ex,https://images.pokemontcg.io/svp/16_hires.png,Promo,5.630000,4.090000,Pokémon
svp-18,Cyclizar ex,https://images.pokemontcg.io/svp/18_hires.png,Promo,0.520000,0.480000,Pokémon
svp-22,Pelipper,https://images.pokemontcg.io/svp/22_hires.png,Promo,2.650000,1.040000,Pokémon
svp-19,Baxcalibur,https://images.pokemontcg.io/svp/19_hires.png,Promo,2.620000,1.980000,Pokémon
svp-20,Tinkaton,https://images.pokemontcg.io/svp/20_hires.png,Promo,2.340000,1.710000,Pokémon
svp-21,Murkrow,https://images.pokemontcg.io/svp/21_hires.png,Promo,2.100000,1.680000,Pokémon
svp-23,Smoliv,https://images.pokemontcg.io/svp/23_hires.png,Promo,0.440000,0.210000,Pokémon
svp-25,Tinkatink,https://images.pokemontcg.io/svp/25_hires.png,Promo,0.190000,0.290000,Pokémon
svp-27,Pikachu,https://images.pokemontcg.io/svp/27_hires.png,Promo,9.960000,10.180000,Pokémon
svp-29,Koraidon ex,https://images.pokemontcg.io/svp/29_hires.png,Promo,0.860000,0.430000,Pokémon
svp-24,Growlithe,https://images.pokemontcg.io/svp/24_hires.png,Promo,0.740000,0.310000,Pokémon
svp-26,Varoom,https://images.pokemontcg.io/svp/26_hires.png,Promo,0.160000,0.310000,Pokémon
svp-28,Miraidon ex,https://images.pokemontcg.io/svp/28_hires.png,Promo,0.950000,0.620000,Pokémon
svp-30,Chien-Pao ex,https://images.pokemontcg.io/svp/30_hires.png,Promo,3.780000,4.070000,Pokémon
svp-31,Tinkaton ex,https://images.pokemontcg.io/svp/31_hires.png,Promo,5.730000,9.200000,Pokémon
svp-32,Annihilape ex,https://images.pokemontcg.io/svp/32_hires.png,Promo,0.800000,0.600000,Pokémon
svp-36,Palafin,https://images.pokemontcg.io/svp/36_hires.png,Promo,5,3.330000,Pokémon
svp-37,Cleffa,https://images.pokemontcg.io/svp/37_hires.png,Promo,10.510000,6.200000,Pokémon
svp-38,Togekiss,https://images.pokemontcg.io/svp/38_hires.png,Promo,5.220000,1.820000,Pokémon
svp-39,Mawile,https://images.pokemontcg.io/svp/39_hires.png,Promo,4.840000,2.610000,Pokémon
svp-40,Pawmi,https://images.pokemontcg.io/svp/40_hires.png,Promo,0.670000,0.400000,Pokémon
svp-41,Paldean Wooper,https://images.pokemontcg.io/svp/41_hires.png,Promo,0.650000,0.320000,Pokémon
svp-42,Houndstone,https://images.pokemontcg.io/svp/42_hires.png,Promo,0.230000,0.440000,Pokémon
svp-43,Eevee,https://images.pokemontcg.io/svp/43_hires.png,Promo,0.780000,1.130000,Pokémon
svp-44,Charmander,https://images.pokemontcg.io/svp/44_hires.png,Promo,26.370000,24.660000,Pokémon
svp-45,Paradise Resort,https://images.pokemontcg.io/svp/45_hires.png,Promo,78.560000,600,Trainer
svp-33,Meowscarada ex,https://images.pokemontcg.io/svp/33_hires.png,Promo,1.020000,0.490000,Pokémon
svp-34,Skeledirge ex,https://images.pokemontcg.io/svp/34_hires.png,Promo,1.140000,0.590000,Pokémon
svp-46,Bulbasaur,https://images.pokemontcg.io/svp/46_hires.png,Promo,0.440000,0.490000,Pokémon
svp-47,Charmander,https://images.pokemontcg.io/svp/47_hires.png,Promo,0.430000,0.440000,Pokémon
