id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv1-8,Scatterbug,https://images.pokemontcg.io/sv1/8_hires.png,Common,0.030000,0.040000,Pokémon
sv1-1,Pineco,https://images.pokemontcg.io/sv1/1_hires.png,Common,0.030000,0.070000,Pokémon
sv1-6,Cacturne,https://images.pokemontcg.io/sv1/6_hires.png,Uncommon,0.040000,0.050000,Pokémon
sv1-12,Gogoat,https://images.pokemontcg.io/sv1/12_hires.png,Common,0.040000,0.050000,Pokémon
sv1-13,Sprigatito,https://images.pokemontcg.io/sv1/13_hires.png,Common,0.040000,0.080000,Pokémon
sv1-15,Meowscarada,https://images.pokemontcg.io/sv1/15_hires.png,Rare,0.070000,0.140000,Pokémon
sv1-16,Tarountula,https://images.pokemontcg.io/sv1/16_hires.png,Common,0.030000,0.070000,Pokémon
sv1-18,Tarountula,https://images.pokemontcg.io/sv1/18_hires.png,Common,0.050000,0.060000,Pokémon
sv1-20,Smoliv,https://images.pokemontcg.io/sv1/20_hires.png,Common,0.040000,0.080000,Pokémon
sv1-21,Smoliv,https://images.pokemontcg.io/sv1/21_hires.png,Common,0.040000,0.070000,Pokémon
sv1-19,Spidops ex,https://images.pokemontcg.io/sv1/19_hires.png,Double Rare,0.690000,0.540000,Pokémon
sv1-23,Arboliva,https://images.pokemontcg.io/sv1/23_hires.png,Rare,0.070000,0.100000,Pokémon
sv1-24,Toedscool,https://images.pokemontcg.io/sv1/24_hires.png,Common,0.040000,0.070000,Pokémon
sv1-2,Heracross,https://images.pokemontcg.io/sv1/2_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv1-4,Breloom,https://images.pokemontcg.io/sv1/4_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv1-7,Tropius,https://images.pokemontcg.io/sv1/7_hires.png,Common,0.040000,0.060000,Pokémon
sv1-10,Vivillon,https://images.pokemontcg.io/sv1/10_hires.png,Uncommon,0.040000,0.070000,Pokémon
sv1-11,Skiddo,https://images.pokemontcg.io/sv1/11_hires.png,Common,0.030000,0.060000,Pokémon
sv1-14,Floragato,https://images.pokemontcg.io/sv1/14_hires.png,Uncommon,0.040000,0.080000,Pokémon
sv1-26,Toedscruel,https://images.pokemontcg.io/sv1/26_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv1-3,Shroomish,https://images.pokemontcg.io/sv1/3_hires.png,Common,0.040000,0.080000,Pokémon
sv1-5,Cacnea,https://images.pokemontcg.io/sv1/5_hires.png,Common,0.050000,0.070000,Pokémon
sv1-9,Spewpa,https://images.pokemontcg.io/sv1/9_hires.png,Common,0.030000,0.090000,Pokémon
sv1-17,Tarountula,https://images.pokemontcg.io/sv1/17_hires.png,Common,0.050000,0.070000,Pokémon
sv1-22,Dolliv,https://images.pokemontcg.io/sv1/22_hires.png,Common,0.030000,0.040000,Pokémon
sv1-25,Toedscool,https://images.pokemontcg.io/sv1/25_hires.png,Common,0.050000,0.070000,Pokémon
sv1-45,Gyarados ex,https://images.pokemontcg.io/sv1/45_hires.png,Double Rare,1.400000,1.200000,Pokémon
sv1-29,Scovillain,https://images.pokemontcg.io/sv1/29_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv1-51,Bruxish,https://images.pokemontcg.io/sv1/51_hires.png,Common,0.040000,0.060000,Pokémon
sv1-56,Wiglett,https://images.pokemontcg.io/sv1/56_hires.png,Common,0.070000,0.090000,Pokémon
sv1-37,Crocalor,https://images.pokemontcg.io/sv1/37_hires.png,Uncommon,0.040000,0.060000,Pokémon
