id,name,image,rarity,card_market_price,tcg_market_price,supertype
dp3-1,Ampharos,https://images.pokemontcg.io/dp3/1_hires.png,Rare Holo,2.260000,13.950000,Pokémon
dp3-2,Blastoise,https://images.pokemontcg.io/dp3/2_hires.png,Rare Holo,8.780000,46.800000,Pokémon
dp3-3,Charizard,https://images.pokemontcg.io/dp3/3_hires.png,Rare Holo,24.610000,127.020000,Pokémon
dp3-4,Entei,https://images.pokemontcg.io/dp3/4_hires.png,Rare Holo,6.410000,23.170000,Pokémon
dp3-5,Flygon,https://images.pokemontcg.io/dp3/5_hires.png,Rare Holo,3.310000,12.400000,Pokémon
dp3-6,Gallade,https://images.pokemontcg.io/dp3/6_hires.png,Rare Holo,2.660000,7.500000,Pokémon
dp3-7,Gardevoir,https://images.pokemontcg.io/dp3/7_hires.png,Rare Holo,5.130000,20.520000,Pokémon
dp3-8,Gastrodon East Sea,https://images.pokemontcg.io/dp3/8_hires.png,Rare Holo,3.050000,7.500000,Pokémon
dp3-9,Gastrodon West Sea,https://images.pokemontcg.io/dp3/9_hires.png,Rare Holo,2.420000,5.160000,Pokémon
dp3-10,Ho-Oh,https://images.pokemontcg.io/dp3/10_hires.png,Rare Holo,9.080000,16.230000,Pokémon
dp3-11,Jumpluff,https://images.pokemontcg.io/dp3/11_hires.png,Rare Holo,2.370000,3.580000,Pokémon
dp3-12,Lickilicky,https://images.pokemontcg.io/dp3/12_hires.png,Rare Holo,2.170000,4.730000,Pokémon
dp3-13,Ludicolo,https://images.pokemontcg.io/dp3/13_hires.png,Rare Holo,2.800000,5.350000,Pokémon
dp3-14,Lugia,https://images.pokemontcg.io/dp3/14_hires.png,Rare Holo,36.530000,38.210000,Pokémon
dp3-15,Mew,https://images.pokemontcg.io/dp3/15_hires.png,Rare Holo,11.400000,49.660000,Pokémon
dp3-16,Raikou,https://images.pokemontcg.io/dp3/16_hires.png,Rare Holo,4.460000,11.850000,Pokémon
dp3-17,Roserade,https://images.pokemontcg.io/dp3/17_hires.png,Rare Holo,2.840000,2.670000,Pokémon
dp3-18,Salamence,https://images.pokemontcg.io/dp3/18_hires.png,Rare Holo,4.060000,5.630000,Pokémon
dp3-19,Suicune,https://images.pokemontcg.io/dp3/19_hires.png,Rare Holo,8.350000,26.310000,Pokémon
dp3-20,Venusaur,https://images.pokemontcg.io/dp3/20_hires.png,Rare Holo,3.160000,16.710000,Pokémon
dp3-21,Absol,https://images.pokemontcg.io/dp3/21_hires.png,Rare,1.290000,2.580000,Pokémon
dp3-22,Arcanine,https://images.pokemontcg.io/dp3/22_hires.png,Rare,0.550000,3.850000,Pokémon
dp3-23,Banette,https://images.pokemontcg.io/dp3/23_hires.png,Rare,0.400000,1.750000,Pokémon
dp3-24,Dugtrio,https://images.pokemontcg.io/dp3/24_hires.png,Rare,0.590000,0.860000,Pokémon
dp3-25,Electivire,https://images.pokemontcg.io/dp3/25_hires.png,Rare,0.810000,0.700000,Pokémon
dp3-26,Electrode,https://images.pokemontcg.io/dp3/26_hires.png,Rare,0.290000,0.330000,Pokémon
dp3-27,Furret,https://images.pokemontcg.io/dp3/27_hires.png,Rare,1.330000,2.320000,Pokémon
dp3-28,Golduck,https://images.pokemontcg.io/dp3/28_hires.png,Rare,1.150000,1.070000,Pokémon
dp3-29,Golem,https://images.pokemontcg.io/dp3/29_hires.png,Rare,0.870000,1.560000,Pokémon
dp3-30,Jynx,https://images.pokemontcg.io/dp3/30_hires.png,Rare,0.610000,0.930000,Pokémon
dp3-31,Magmortar,https://images.pokemontcg.io/dp3/31_hires.png,Rare,0.870000,0.870000,Pokémon
dp3-32,Minun,https://images.pokemontcg.io/dp3/32_hires.png,Rare,0.750000,1.240000,Pokémon
dp3-33,Mothim,https://images.pokemontcg.io/dp3/33_hires.png,Rare,0.680000,0.900000,Pokémon
dp3-34,Nidoking,https://images.pokemontcg.io/dp3/34_hires.png,Rare,1.720000,2.490000,Pokémon
dp3-35,Pidgeot,https://images.pokemontcg.io/dp3/35_hires.png,Rare,1.930000,1.750000,Pokémon
dp3-36,Plusle,https://images.pokemontcg.io/dp3/36_hires.png,Rare,0.720000,1.150000,Pokémon
dp3-37,Sharpedo,https://images.pokemontcg.io/dp3/37_hires.png,Rare,0.600000,1.240000,Pokémon
dp3-38,Sunflora,https://images.pokemontcg.io/dp3/38_hires.png,Rare,0.520000,0.870000,Pokémon
dp3-39,Unown [S],https://images.pokemontcg.io/dp3/39_hires.png,Rare,1.230000,1.410000,Pokémon
