id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh45sv-SV001,Rowlet,https://images.pokemontcg.io/swsh45sv/SV001_hires.png,Rare Shiny,2.470000,1.660000,Pokémon
swsh45sv-SV002,Dartrix,https://images.pokemontcg.io/swsh45sv/SV002_hires.png,Rare Shiny,2.950000,2.650000,Pokémon
swsh45sv-SV003,Decidueye,https://images.pokemontcg.io/swsh45sv/SV003_hires.png,Rare Shiny,4.920000,3.590000,Pokémon
swsh45sv-SV004,Grookey,https://images.pokemontcg.io/swsh45sv/SV004_hires.png,Rare Shiny,1.530000,1.270000,Pokémon
swsh45sv-SV005,Thwackey,https://images.pokemontcg.io/swsh45sv/SV005_hires.png,Rare Shiny,3.310000,1.740000,Pokémon
swsh45sv-SV006,Rillaboom,https://images.pokemontcg.io/swsh45sv/SV006_hires.png,Rare Shiny,3.050000,2.280000,Pokémon
swsh45sv-SV007,Blipbug,https://images.pokemontcg.io/swsh45sv/SV007_hires.png,Rare Shiny,1.910000,1.310000,Pokémon
swsh45sv-SV008,Dottler,https://images.pokemontcg.io/swsh45sv/SV008_hires.png,Rare Shiny,1.800000,1.070000,Pokémon
swsh45sv-SV009,Orbeetle,https://images.pokemontcg.io/swsh45sv/SV009_hires.png,Rare Shiny,2.510000,1.550000,Pokémon
swsh45sv-SV010,Gossifleur,https://images.pokemontcg.io/swsh45sv/SV010_hires.png,Rare Shiny,2.390000,1.760000,Pokémon
swsh45sv-SV011,Eldegoss,https://images.pokemontcg.io/swsh45sv/SV011_hires.png,Rare Shiny,1.940000,1.160000,Pokémon
swsh45sv-SV012,Applin,https://images.pokemontcg.io/swsh45sv/SV012_hires.png,Rare Shiny,3.860000,4.200000,Pokémon
swsh45sv-SV013,Flapple,https://images.pokemontcg.io/swsh45sv/SV013_hires.png,Rare Shiny,3.540000,2.370000,Pokémon
swsh45sv-SV014,Appletun,https://images.pokemontcg.io/swsh45sv/SV014_hires.png,Rare Shiny,2.980000,3.570000,Pokémon
swsh45sv-SV015,Scorbunny,https://images.pokemontcg.io/swsh45sv/SV015_hires.png,Rare Shiny,1.820000,1.300000,Pokémon
swsh45sv-SV016,Raboot,https://images.pokemontcg.io/swsh45sv/SV016_hires.png,Rare Shiny,3.850000,4.490000,Pokémon
swsh45sv-SV017,Cinderace,https://images.pokemontcg.io/swsh45sv/SV017_hires.png,Rare Shiny,5.030000,4.530000,Pokémon
swsh45sv-SV018,Sizzlipede,https://images.pokemontcg.io/swsh45sv/SV018_hires.png,Rare Shiny,2.900000,1.690000,Pokémon
swsh45sv-SV019,Centiskorch,https://images.pokemontcg.io/swsh45sv/SV019_hires.png,Rare Shiny,2.730000,1.620000,Pokémon
swsh45sv-SV020,Galarian Mr. Mime,https://images.pokemontcg.io/swsh45sv/SV020_hires.png,Rare Shiny,2.390000,1.440000,Pokémon
