id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh45-1,Yanma,https://images.pokemontcg.io/swsh45/1_hires.png,Common,0.020000,0.050000,Pokémon
swsh45-2,Yanmega,https://images.pokemontcg.io/swsh45/2_hires.png,Rare,0.050000,0.110000,Pokémon
swsh45-3,Celebi,https://images.pokemontcg.io/swsh45/3_hires.png,Rare,0.110000,0.180000,Pokémon
swsh45-4,Cacnea,https://images.pokemontcg.io/swsh45/4_hires.png,Common,0.020000,0.040000,Pokémon
swsh45-5,Tropius,https://images.pokemontcg.io/swsh45/5_hires.png,Uncommon,0.040000,0.040000,Pokémon
swsh45-6,Rowlet,https://images.pokemontcg.io/swsh45/6_hires.png,Common,0.030000,0.070000,Pokémon
swsh45-7,Dartrix,https://images.pokemontcg.io/swsh45/7_hires.png,Uncommon,0.030000,0.030000,Pokémon
swsh45-8,Decidueye,https://images.pokemontcg.io/swsh45/8_hires.png,Rare Holo,0.140000,0.170000,Pokémon
swsh45-9,Dhelmise V,https://images.pokemontcg.io/swsh45/9_hires.png,Rare Holo V,0.660000,0.600000,Pokémon
swsh45-10,Dhelmise VMAX,https://images.pokemontcg.io/swsh45/10_hires.png,Rare Holo VMAX,1.440000,1.500000,Pokémon
swsh45-11,Grookey,https://images.pokemontcg.io/swsh45/11_hires.png,Common,0.030000,0.050000,Pokémon
swsh45-12,Thwackey,https://images.pokemontcg.io/swsh45/12_hires.png,Uncommon,0.030000,0.070000,Pokémon
swsh45-13,Rillaboom,https://images.pokemontcg.io/swsh45/13_hires.png,Rare Holo,0.210000,0.180000,Pokémon
swsh45-14,Gossifleur,https://images.pokemontcg.io/swsh45/14_hires.png,Common,0.020000,0.060000,Pokémon
swsh45-15,Eldegoss,https://images.pokemontcg.io/swsh45/15_hires.png,Uncommon,0.020000,0.040000,Pokémon
swsh45-16,Zarude,https://images.pokemontcg.io/swsh45/16_hires.png,Rare,0.050000,0.100000,Pokémon
swsh45-17,Reshiram,https://images.pokemontcg.io/swsh45/17_hires.png,Amazing Rare,1.880000,1.400000,Pokémon
swsh45-18,Cinderace V,https://images.pokemontcg.io/swsh45/18_hires.png,Rare Holo V,0.840000,0.630000,Pokémon
swsh45-19,Cinderace VMAX,https://images.pokemontcg.io/swsh45/19_hires.png,Rare Holo VMAX,1.950000,1.680000,Pokémon
swsh45-20,Horsea,https://images.pokemontcg.io/swsh45/20_hires.png,Common,0.020000,0.050000,Pokémon
swsh45-21,Kyogre,https://images.pokemontcg.io/swsh45/21_hires.png,Amazing Rare,2.130000,1.200000,Pokémon
swsh45-22,Buizel,https://images.pokemontcg.io/swsh45/22_hires.png,Common,0.030000,0.040000,Pokémon
swsh45-23,Floatzel,https://images.pokemontcg.io/swsh45/23_hires.png,Uncommon,0.020000,0.030000,Pokémon
swsh45-24,Manaphy,https://images.pokemontcg.io/swsh45/24_hires.png,Rare,0.080000,0.130000,Pokémon
swsh45-25,Volcanion,https://images.pokemontcg.io/swsh45/25_hires.png,Rare,0.050000,0.090000,Pokémon
swsh45-26,Chewtle,https://images.pokemontcg.io/swsh45/26_hires.png,Common,0.030000,0.050000,Pokémon
swsh45-27,Drednaw,https://images.pokemontcg.io/swsh45/27_hires.png,Rare,0.050000,0.090000,Pokémon
swsh45-28,Cramorant,https://images.pokemontcg.io/swsh45/28_hires.png,Uncommon,0.030000,0.040000,Pokémon
swsh45-29,Snom,https://images.pokemontcg.io/swsh45/29_hires.png,Common,0.030000,0.080000,Pokémon
swsh45-30,Frosmoth,https://images.pokemontcg.io/swsh45/30_hires.png,Rare Holo,0.330000,0.160000,Pokémon
swsh45-31,Shinx,https://images.pokemontcg.io/swsh45/31_hires.png,Common,0.030000,0.050000,Pokémon
swsh45-32,Luxio,https://images.pokemontcg.io/swsh45/32_hires.png,Uncommon,0.030000,0.060000,Pokémon
swsh45-33,Luxray,https://images.pokemontcg.io/swsh45/33_hires.png,Rare Holo,0.210000,0.180000,Pokémon
swsh45-34,Rotom,https://images.pokemontcg.io/swsh45/34_hires.png,Uncommon,0.020000,0.060000,Pokémon
swsh45-35,Morpeko,https://images.pokemontcg.io/swsh45/35_hires.png,Common,0.030000,0.110000,Pokémon
swsh45-36,Morpeko,https://images.pokemontcg.io/swsh45/36_hires.png,Common,0.030000,0.090000,Pokémon
swsh45-37,Morpeko V,https://images.pokemontcg.io/swsh45/37_hires.png,Rare Holo V,0.970000,0.760000,Pokémon
swsh45-38,Morpeko VMAX,https://images.pokemontcg.io/swsh45/38_hires.png,Rare Holo VMAX,2.140000,1.880000,Pokémon
swsh45-39,Indeedee V,https://images.pokemontcg.io/swsh45/39_hires.png,Rare Holo V,0.720000,0.670000,Pokémon
swsh45-40,Trapinch,https://images.pokemontcg.io/swsh45/40_hires.png,Common,0.020000,0.050000,Pokémon
swsh45-41,Koffing,https://images.pokemontcg.io/swsh45/41_hires.png,Common,0.030000,0.070000,Pokémon
swsh45-42,Galarian Weezing,https://images.pokemontcg.io/swsh45/42_hires.png,Rare Holo,0.260000,0.220000,Pokémon
swsh45-43,Spinarak,https://images.pokemontcg.io/swsh45/43_hires.png,Common,0.030000,0.060000,Pokémon
swsh45-44,Crobat V,https://images.pokemontcg.io/swsh45/44_hires.png,Rare Holo V,0.920000,0.670000,Pokémon
swsh45-45,Crobat VMAX,https://images.pokemontcg.io/swsh45/45_hires.png,Rare Holo VMAX,1.500000,1.370000,Pokémon
swsh45-46,Yveltal,https://images.pokemontcg.io/swsh45/46_hires.png,Amazing Rare,1.740000,0.910000,Pokémon
swsh45-47,Nickit,https://images.pokemontcg.io/swsh45/47_hires.png,Common,0.020000,0.050000,Pokémon
swsh45-48,Thievul,https://images.pokemontcg.io/swsh45/48_hires.png,Rare Holo,0.170000,0.130000,Pokémon
swsh45-49,Cufant,https://images.pokemontcg.io/swsh45/49_hires.png,Common,0.020000,0.040000,Pokémon
swsh45-50,Ditto V,https://images.pokemontcg.io/swsh45/50_hires.png,Rare Holo V,1.070000,0.830000,Pokémon
swsh45-51,Ditto VMAX,https://images.pokemontcg.io/swsh45/51_hires.png,Rare Holo VMAX,2.170000,2.180000,Pokémon
swsh45-52,Eevee,https://images.pokemontcg.io/swsh45/52_hires.png,Common,0.050000,0.130000,Pokémon
swsh45-53,Greedent V,https://images.pokemontcg.io/swsh45/53_hires.png,Rare Holo V,0.660000,0.560000,Pokémon
