id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv6pt5-1,Joltik,https://images.pokemontcg.io/sv6pt5/1_hires.png,Common,0.030000,0.080000,Pokémon
sv6pt5-2,Galvantula,https://images.pokemontcg.io/sv6pt5/2_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv6pt5-3,Rowlet,https://images.pokemontcg.io/sv6pt5/3_hires.png,Common,0.040000,0.060000,Pokémon
sv6pt5-4,Dartrix,https://images.pokemontcg.io/sv6pt5/4_hires.png,Common,0.040000,0.060000,Pokémon
sv6pt5-5,Decidueye,https://images.pokemontcg.io/sv6pt5/5_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv6pt5-6,Tapu Bulu,https://images.pokemontcg.io/sv6pt5/6_hires.png,Rare,0.050000,0.110000,Pokémon
sv6pt5-7,Houndour,https://images.pokemontcg.io/sv6pt5/7_hires.png,Common,0.020000,0.050000,Pokémon
sv6pt5-8,Houndoom,https://images.pokemontcg.io/sv6pt5/8_hires.png,Common,0.030000,0.090000,Pokémon
sv6pt5-9,Iron Moth,https://images.pokemontcg.io/sv6pt5/9_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv6pt5-10,Horsea,https://images.pokemontcg.io/sv6pt5/10_hires.png,Common,0.030000,0.050000,Pokémon
sv6pt5-11,Seadra,https://images.pokemontcg.io/sv6pt5/11_hires.png,Common,0.030000,0.060000,Pokémon
sv6pt5-12,Kingdra ex,https://images.pokemontcg.io/sv6pt5/12_hires.png,Double Rare,0.580000,0.540000,Pokémon
sv6pt5-13,Sneasel,https://images.pokemontcg.io/sv6pt5/13_hires.png,Common,0.020000,0.040000,Pokémon
sv6pt5-14,Weavile,https://images.pokemontcg.io/sv6pt5/14_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv6pt5-15,Revavroom ex,https://images.pokemontcg.io/sv6pt5/15_hires.png,Double Rare,0.520000,0.480000,Pokémon
sv6pt5-16,Drowzee,https://images.pokemontcg.io/sv6pt5/16_hires.png,Common,0.030000,0.060000,Pokémon
sv6pt5-17,Hypno,https://images.pokemontcg.io/sv6pt5/17_hires.png,Uncommon,0.020000,0.050000,Pokémon
sv6pt5-18,Duskull,https://images.pokemontcg.io/sv6pt5/18_hires.png,Common,0.070000,0.090000,Pokémon
sv6pt5-19,Dusclops,https://images.pokemontcg.io/sv6pt5/19_hires.png,Common,0.100000,0.110000,Pokémon
sv6pt5-20,Dusknoir,https://images.pokemontcg.io/sv6pt5/20_hires.png,Rare,0.110000,0.120000,Pokémon
