id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh12tg-TG01,Braixen,https://images.pokemontcg.io/swsh12tg/TG01_hires.png,Trainer Gallery Rare Holo,2.670000,2.570000,Pokémon
swsh12tg-TG02,Milotic,https://images.pokemontcg.io/swsh12tg/TG02_hires.png,Trainer Gallery Rare Holo,5.280000,3.900000,Pokémon
swsh12tg-TG03,Flaaffy,https://images.pokemontcg.io/swsh12tg/TG03_hires.png,Trainer Gallery Rare Holo,2.320000,2.440000,Pokémon
swsh12tg-TG04,Jynx,https://images.pokemontcg.io/swsh12tg/TG04_hires.png,Trainer Gallery Rare Holo,1.760000,1.460000,Pokémon
swsh12tg-TG05,Gardevoir,https://images.pokemontcg.io/swsh12tg/TG05_hires.png,Trainer Gallery Rare Holo,4.260000,2.840000,Pokémon
swsh12tg-TG06,Malamar,https://images.pokemontcg.io/swsh12tg/TG06_hires.png,Trainer Gallery Rare Holo,1.020000,1.130000,Pokémon
swsh12tg-TG07,Rockruff,https://images.pokemontcg.io/swsh12tg/TG07_hires.png,Trainer Gallery Rare Holo,1.980000,1.940000,Pokémon
swsh12tg-TG08,Passimian,https://images.pokemontcg.io/swsh12tg/TG08_hires.png,Trainer Gallery Rare Holo,1.040000,0.880000,Pokémon
swsh12tg-TG09,Druddigon,https://images.pokemontcg.io/swsh12tg/TG09_hires.png,Trainer Gallery Rare Holo,2.170000,1.820000,Pokémon
swsh12tg-TG10,Smeargle,https://images.pokemontcg.io/swsh12tg/TG10_hires.png,Trainer Gallery Rare Holo,1.960000,1.770000,Pokémon
swsh12tg-TG11,Altaria,https://images.pokemontcg.io/swsh12tg/TG11_hires.png,Trainer Gallery Rare Holo,3.980000,4.010000,Pokémon
swsh12tg-TG12,Kricketune V,https://images.pokemontcg.io/swsh12tg/TG12_hires.png,Rare Holo V,4.310000,2.730000,Pokémon
swsh12tg-TG13,Serperior V,https://images.pokemontcg.io/swsh12tg/TG13_hires.png,Rare Holo V,16.950000,13.250000,Pokémon
swsh12tg-TG14,Blaziken V,https://images.pokemontcg.io/swsh12tg/TG14_hires.png,Rare Holo V,25.940000,19.480000,Pokémon
swsh12tg-TG15,Blaziken VMAX,https://images.pokemontcg.io/swsh12tg/TG15_hires.png,Rare Holo VMAX,26.110000,23.670000,Pokémon
swsh12tg-TG16,Zeraora V,https://images.pokemontcg.io/swsh12tg/TG16_hires.png,Rare Holo V,10.560000,7.690000,Pokémon
swsh12tg-TG17,Mawile V,https://images.pokemontcg.io/swsh12tg/TG17_hires.png,Rare Holo V,9.990000,5.720000,Pokémon
swsh12tg-TG18,Corviknight V,https://images.pokemontcg.io/swsh12tg/TG18_hires.png,Rare Holo V,7.760000,7.100000,Pokémon
swsh12tg-TG19,Corviknight VMAX,https://images.pokemontcg.io/swsh12tg/TG19_hires.png,Rare Holo VMAX,6.430000,6.050000,Pokémon
swsh12tg-TG20,Rayquaza VMAX,https://images.pokemontcg.io/swsh12tg/TG20_hires.png,Rare Holo VMAX,79.680000,76.250000,Pokémon
swsh12tg-TG21,Duraludon VMAX,https://images.pokemontcg.io/swsh12tg/TG21_hires.png,Rare Holo VMAX,10.030000,7.990000,Pokémon
swsh12tg-TG22,Blissey V,https://images.pokemontcg.io/swsh12tg/TG22_hires.png,Rare Holo V,10.580000,10,Pokémon
swsh12tg-TG23,Friends in Galar,https://images.pokemontcg.io/swsh12tg/TG23_hires.png,Rare Ultra,6.290000,6.780000,Trainer
swsh12tg-TG24,Gordie,https://images.pokemontcg.io/swsh12tg/TG24_hires.png,Rare Ultra,2.190000,1.350000,Trainer
swsh12tg-TG25,Judge,https://images.pokemontcg.io/swsh12tg/TG25_hires.png,Rare Ultra,3.270000,2.630000,Trainer
swsh12tg-TG26,Professor Burnet,https://images.pokemontcg.io/swsh12tg/TG26_hires.png,Rare Ultra,3.820000,2.780000,Trainer
swsh12tg-TG27,Raihan,https://images.pokemontcg.io/swsh12tg/TG27_hires.png,Rare Ultra,2.910000,2.460000,Trainer
swsh12tg-TG28,Sordward & Shielbert,https://images.pokemontcg.io/swsh12tg/TG28_hires.png,Rare Ultra,2.110000,1.270000,Trainer
swsh12tg-TG29,Rayquaza VMAX,https://images.pokemontcg.io/swsh12tg/TG29_hires.png,Rare Secret,8.610000,12.220000,Pokémon
swsh12tg-TG30,Duraludon VMAX,https://images.pokemontcg.io/swsh12tg/TG30_hires.png,Rare Secret,1.760000,3.230000,Pokémon
",DefaulT,",,,,0,0,
