id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh12-1,Venonat,https://images.pokemontcg.io/swsh12/1_hires.png,Common,0.030000,0.070000,Pokémon
swsh12-2,Venomoth,https://images.pokemontcg.io/swsh12/2_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh12-3,Spinarak,https://images.pokemontcg.io/swsh12/3_hires.png,Common,0.030000,0.040000,Pokémon
swsh12-4,Ariados,https://images.pokemontcg.io/swsh12/4_hires.png,Rare Holo,0.160000,0.180000,Pokémon
swsh12-5,Sunkern,https://images.pokemontcg.io/swsh12/5_hires.png,Common,0.030000,0.070000,Pokémon
swsh12-6,Sunflora,https://images.pokemontcg.io/swsh12/6_hires.png,Uncommon,0.060000,0.080000,Pokémon
swsh12-7,Serperior V,https://images.pokemontcg.io/swsh12/7_hires.png,Rare Holo V,0.870000,0.660000,Pokémon
swsh12-8,Serperior VSTAR,https://images.pokemontcg.io/swsh12/8_hires.png,Rare Holo VSTAR,1.010000,0.840000,Pokémon
swsh12-9,Petilil,https://images.pokemontcg.io/swsh12/9_hires.png,Common,0.030000,0.040000,Pokémon
swsh12-10,Hisuian Lilligant,https://images.pokemontcg.io/swsh12/10_hires.png,Rare,0.090000,0.160000,Pokémon
swsh12-11,Foongus,https://images.pokemontcg.io/swsh12/11_hires.png,Common,0.030000,0.060000,Pokémon
swsh12-12,Amoonguss,https://images.pokemontcg.io/swsh12/12_hires.png,Rare,0.080000,0.100000,Pokémon
swsh12-13,Durant,https://images.pokemontcg.io/swsh12/13_hires.png,Common,0.030000,0.060000,Pokémon
swsh12-14,Virizion,https://images.pokemontcg.io/swsh12/14_hires.png,Rare,0.070000,0.110000,Pokémon
swsh12-15,Chesnaught V,https://images.pokemontcg.io/swsh12/15_hires.png,Rare Holo V,0.710000,0.570000,Pokémon
swsh12-16,Radiant Tsareena,https://images.pokemontcg.io/swsh12/16_hires.png,Radiant Rare,0.420000,0.470000,Pokémon
swsh12-17,Vulpix,https://images.pokemontcg.io/swsh12/17_hires.png,Common,0.040000,0.080000,Pokémon
swsh12-18,Ninetales,https://images.pokemontcg.io/swsh12/18_hires.png,Uncommon,0.060000,0.110000,Pokémon
swsh12-19,Growlithe,https://images.pokemontcg.io/swsh12/19_hires.png,Common,0.040000,0.120000,Pokémon
swsh12-20,Arcanine,https://images.pokemontcg.io/swsh12/20_hires.png,Rare,0.100000,0.200000,Pokémon
swsh12-21,Ponyta,https://images.pokemontcg.io/swsh12/21_hires.png,Common,0.030000,0.060000,Pokémon
swsh12-22,Rapidash,https://images.pokemontcg.io/swsh12/22_hires.png,Rare Holo,0.320000,0.220000,Pokémon
swsh12-23,Victini,https://images.pokemontcg.io/swsh12/23_hires.png,Rare,0.070000,0.170000,Pokémon
swsh12-24,Reshiram V,https://images.pokemontcg.io/swsh12/24_hires.png,Rare Holo V,1.050000,0.780000,Pokémon
swsh12-25,Fennekin,https://images.pokemontcg.io/swsh12/25_hires.png,Common,0.040000,0.110000,Pokémon
swsh12-26,Braixen,https://images.pokemontcg.io/swsh12/26_hires.png,Uncommon,0.040000,0.130000,Pokémon
swsh12-27,Delphox,https://images.pokemontcg.io/swsh12/27_hires.png,Rare,0.100000,0.140000,Pokémon
swsh12-28,Fletchinder,https://images.pokemontcg.io/swsh12/28_hires.png,Uncommon,0.040000,0.070000,Pokémon
swsh12-29,Talonflame,https://images.pokemontcg.io/swsh12/29_hires.png,Rare,0.080000,0.090000,Pokémon
swsh12-30,Litten,https://images.pokemontcg.io/swsh12/30_hires.png,Common,0.030000,0.070000,Pokémon
swsh12-31,Torracat,https://images.pokemontcg.io/swsh12/31_hires.png,Uncommon,0.040000,0.060000,Pokémon
swsh12-32,Incineroar,https://images.pokemontcg.io/swsh12/32_hires.png,Rare,0.110000,0.110000,Pokémon
swsh12-33,Alolan Vulpix V,https://images.pokemontcg.io/swsh12/33_hires.png,Rare Holo V,0.850000,0.910000,Pokémon
swsh12-34,Alolan Vulpix VSTAR,https://images.pokemontcg.io/swsh12/34_hires.png,Rare Holo VSTAR,1.380000,1.400000,Pokémon
