id,name,image,rarity,card_market_price,tcg_market_price,supertype
ecard3-H1,Alakazam,https://images.pokemontcg.io/ecard3/H1_hires.png,Rare Holo,139.070000,0,Pokémon
ecard3-H2,Arcanine,https://images.pokemontcg.io/ecard3/H2_hires.png,Rare Holo,97.500000,0,Pokémon
ecard3-H3,Articuno,https://images.pokemontcg.io/ecard3/H3_hires.png,Rare Holo,108.300000,0,Pokémon
ecard3-H4,Beedrill,https://images.pokemontcg.io/ecard3/H4_hires.png,Rare Holo,82.500000,0,Pokémon
ecard3-H5,Crobat,https://images.pokemontcg.io/ecard3/H5_hires.png,Rare Holo,65.140000,0,Pokémon
ecard3-H6,Dewgong,https://images.pokemontcg.io/ecard3/H6_hires.png,Rare Holo,36.500000,0,Pokémon
ecard3-H7,Flareon,https://images.pokemontcg.io/ecard3/H7_hires.png,Rare Holo,302,0,Pokémon
ecard3-H8,Forretress,https://images.pokemontcg.io/ecard3/H8_hires.png,Rare Holo,48.800000,0,Pokémon
ecard3-H9,Gengar,https://images.pokemontcg.io/ecard3/H9_hires.png,Rare Holo,636.840000,0,Pokémon
ecard3-H10,Gyarados,https://images.pokemontcg.io/ecard3/H10_hires.png,Rare Holo,250.600000,799.990000,Pokémon
ecard3-H11,Houndoom,https://images.pokemontcg.io/ecard3/H11_hires.png,Rare Holo,83,600,Pokémon
ecard3-H12,Jolteon,https://images.pokemontcg.io/ecard3/H12_hires.png,Rare Holo,106.670000,219.990000,Pokémon
ecard3-H13,Kabutops,https://images.pokemontcg.io/ecard3/H13_hires.png,Rare Holo,75.560000,235,Pokémon
ecard3-H14,Ledian,https://images.pokemontcg.io/ecard3/H14_hires.png,Rare Holo,48.750000,164.990000,Pokémon
ecard3-H15,Machamp,https://images.pokemontcg.io/ecard3/H15_hires.png,Rare Holo,121.670000,182.750000,Pokémon
ecard3-H16,Magcargo,https://images.pokemontcg.io/ecard3/H16_hires.png,Rare Holo,51.910000,157.500000,Pokémon
ecard3-H17,Magcargo,https://images.pokemontcg.io/ecard3/H17_hires.png,Rare Holo,87.500000,97.500000,Pokémon
ecard3-H18,Magneton,https://images.pokemontcg.io/ecard3/H18_hires.png,Rare Holo,285,191,Pokémon
ecard3-H19,Magneton,https://images.pokemontcg.io/ecard3/H19_hires.png,Rare Holo,45.730000,150.630000,Pokémon
ecard3-H20,Moltres,https://images.pokemontcg.io/ecard3/H20_hires.png,Rare Holo,218.150000,449,Pokémon
ecard3-H21,Nidoqueen,https://images.pokemontcg.io/ecard3/H21_hires.png,Rare Holo,41.990000,180,Pokémon
ecard3-H22,Piloswine,https://images.pokemontcg.io/ecard3/H22_hires.png,Rare Holo,127.500000,106.250000,Pokémon
ecard3-H23,Politoed,https://images.pokemontcg.io/ecard3/H23_hires.png,Rare Holo,53,47.550000,Pokémon
ecard3-H24,Poliwrath,https://images.pokemontcg.io/ecard3/H24_hires.png,Rare Holo,80,199.990000,Pokémon
ecard3-H25,Raichu,https://images.pokemontcg.io/ecard3/H25_hires.png,Rare Holo,77.500000,366.940000,Pokémon
ecard3-H26,Raikou,https://images.pokemontcg.io/ecard3/H26_hires.png,Rare Holo,114.200000,255,Pokémon
ecard3-H27,Rhydon,https://images.pokemontcg.io/ecard3/H27_hires.png,Rare Holo,88.660000,224.010000,Pokémon
ecard3-H28,Starmie,https://images.pokemontcg.io/ecard3/H28_hires.png,Rare Holo,201.330000,273,Pokémon
ecard3-H29,Steelix,https://images.pokemontcg.io/ecard3/H29_hires.png,Rare Holo,70.200000,199.990000,Pokémon
ecard3-H30,Umbreon,https://images.pokemontcg.io/ecard3/H30_hires.png,Rare Holo,278.500000,0,Pokémon
ecard3-H31,Vaporeon,https://images.pokemontcg.io/ecard3/H31_hires.png,Rare Holo,212.800000,0,Pokémon
