id,name,image,rarity,card_market_price,tcg_market_price,supertype
smp-SM01,Rowlet,https://images.pokemontcg.io/smp/SM01_hires.png,Promo,3.620000,1.120000,Pokémon
smp-SM02,Litten,https://images.pokemontcg.io/smp/SM02_hires.png,Promo,2.190000,1.150000,Pokémon
smp-SM03,Popplio,https://images.pokemontcg.io/smp/SM03_hires.png,Promo,1.750000,1.150000,Pokémon
smp-SM04,Pikachu,https://images.pokemontcg.io/smp/SM04_hires.png,Promo,17.200000,7.230000,Pokémon
smp-SM05,Snorlax-GX,https://images.pokemontcg.io/smp/SM05_hires.png,Promo,4.790000,8.840000,Pokémon
smp-SM06,Rockruff,https://images.pokemontcg.io/smp/SM06_hires.png,Promo,0.460000,0.610000,Pokémon
smp-SM07,Pikipek,https://images.pokemontcg.io/smp/SM07_hires.png,Promo,0.460000,0.370000,Pokémon
smp-SM08,Litten,https://images.pokemontcg.io/smp/SM08_hires.png,Promo,0.210000,0.430000,Pokémon
smp-SM09,Togedemaru,https://images.pokemontcg.io/smp/SM09_hires.png,Promo,0.490000,0.390000,Pokémon
smp-SM10,Shiinotic,https://images.pokemontcg.io/smp/SM10_hires.png,Promo,23.990000,18.630000,Pokémon
smp-SM11,Bruxish,https://images.pokemontcg.io/smp/SM11_hires.png,Promo,9.490000,8.190000,Pokémon
smp-SM12,Passimian,https://images.pokemontcg.io/smp/SM12_hires.png,Promo,12.500000,9.990000,Pokémon
smp-SM13,Oranguru,https://images.pokemontcg.io/smp/SM13_hires.png,Promo,14.310000,15.080000,Pokémon
smp-SM14,Lycanroc-GX,https://images.pokemontcg.io/smp/SM14_hires.png,Promo,1.360000,1.150000,Pokémon
smp-SM15,Zygarde,https://images.pokemontcg.io/smp/SM15_hires.png,Promo,0.670000,0.750000,Pokémon
smp-SM16,Solgaleo-GX,https://images.pokemontcg.io/smp/SM16_hires.png,Promo,2.620000,1.540000,Pokémon
smp-SM17,Lunala-GX,https://images.pokemontcg.io/smp/SM17_hires.png,Promo,2.560000,3.290000,Pokémon
smp-SM18,Alolan Sandslash,https://images.pokemontcg.io/smp/SM18_hires.png,Promo,9.650000,9.910000,Pokémon
smp-SM19,Oricorio,https://images.pokemontcg.io/smp/SM19_hires.png,Promo,15.630000,7.070000,Pokémon
smp-SM20,Mudsdale,https://images.pokemontcg.io/smp/SM20_hires.png,Promo,9.980000,4.900000,Pokémon
