id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy11-1,Tangela,https://images.pokemontcg.io/xy11/1_hires.png,Common,0.070000,0.090000,Pokémon
xy11-2,Tangrowth,https://images.pokemontcg.io/xy11/2_hires.png,Uncommon,0.100000,0.130000,Pokémon
xy11-3,Hoppip,https://images.pokemontcg.io/xy11/3_hires.png,Common,0.080000,0.120000,Pokémon
xy11-4,Skiploom,https://images.pokemontcg.io/xy11/4_hires.png,Uncommon,0.100000,0.130000,Pokémon
xy11-5,Jumpluff,https://images.pokemontcg.io/xy11/5_hires.png,Rare,0.400000,0.240000,Pokémon
xy11-6,Yanma,https://images.pokemontcg.io/xy11/6_hires.png,Common,0.050000,0.070000,Pokémon
xy11-7,Yanmega,https://images.pokemontcg.io/xy11/7_hires.png,Rare,0,0.150000,Pokémon
xy11-8,Yanmega BREAK,https://images.pokemontcg.io/xy11/8_hires.png,Rare BREAK,2.900000,2.350000,Pokémon
xy11-9,Seedot,https://images.pokemontcg.io/xy11/9_hires.png,Common,0.050000,0.080000,Pokémon
xy11-10,Nuzleaf,https://images.pokemontcg.io/xy11/10_hires.png,Uncommon,0.080000,0.100000,Pokémon
xy11-11,Shiftry,https://images.pokemontcg.io/xy11/11_hires.png,Rare Holo,0.850000,0.460000,Pokémon
xy11-12,Foongus,https://images.pokemontcg.io/xy11/12_hires.png,Common,0.100000,0.170000,Pokémon
xy11-13,Amoonguss,https://images.pokemontcg.io/xy11/13_hires.png,Rare,0.390000,0.180000,Pokémon
xy11-14,Larvesta,https://images.pokemontcg.io/xy11/14_hires.png,Common,0.110000,0.130000,Pokémon
xy11-15,Volcarona,https://images.pokemontcg.io/xy11/15_hires.png,Rare,4.990000,0.540000,Pokémon
xy11-16,Ponyta,https://images.pokemontcg.io/xy11/16_hires.png,Common,0.080000,0.120000,Pokémon
xy11-17,Rapidash,https://images.pokemontcg.io/xy11/17_hires.png,Uncommon,0.130000,0.160000,Pokémon
xy11-18,Chimchar,https://images.pokemontcg.io/xy11/18_hires.png,Common,0.080000,0.110000,Pokémon
xy11-19,Monferno,https://images.pokemontcg.io/xy11/19_hires.png,Uncommon,0.070000,0.150000,Pokémon
xy11-20,Infernape,https://images.pokemontcg.io/xy11/20_hires.png,Rare Holo,0.810000,0.490000,Pokémon
xy11-21,Talonflame BREAK,https://images.pokemontcg.io/xy11/21_hires.png,Rare BREAK,3.940000,2.810000,Pokémon
xy11-22,Litleo,https://images.pokemontcg.io/xy11/22_hires.png,Common,0.050000,0.080000,Pokémon
xy11-23,Pyroar,https://images.pokemontcg.io/xy11/23_hires.png,Rare,0.130000,0.240000,Pokémon
xy11-24,Pyroar BREAK,https://images.pokemontcg.io/xy11/24_hires.png,Rare BREAK,2.590000,2.270000,Pokémon
xy11-25,Volcanion,https://images.pokemontcg.io/xy11/25_hires.png,Rare,0.870000,0.300000,Pokémon
xy11-26,Volcanion-EX,https://images.pokemontcg.io/xy11/26_hires.png,Rare Holo EX,14.900000,1.830000,Pokémon
