id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv7-1,Venusaur ex,https://images.pokemontcg.io/sv7/1_hires.png,Double Rare,1.590000,0.960000,Pokémon
sv7-2,Ledyba,https://images.pokemontcg.io/sv7/2_hires.png,Common,0.030000,0.050000,Pokémon
sv7-3,Ledian,https://images.pokemontcg.io/sv7/3_hires.png,Rare,0.050000,0.110000,Pokémon
sv7-5,Lileep,https://images.pokemontcg.io/sv7/5_hires.png,Common,0.030000,0.080000,Pokémon
sv7-4,Celebi,https://images.pokemontcg.io/sv7/4_hires.png,Uncommon,0.040000,0.080000,Pokémon
sv7-6,Cradily,https://images.pokemontcg.io/sv7/6_hires.png,Rare,0.070000,0.140000,Pokémon
sv7-7,Carnivine,https://images.pokemontcg.io/sv7/7_hires.png,Common,0.030000,0.050000,Pokémon
sv7-9,Grubbin,https://images.pokemontcg.io/sv7/9_hires.png,Common,0.030000,0.040000,Pokémon
sv7-8,Mow Rotom,https://images.pokemontcg.io/sv7/8_hires.png,Common,0.020000,0.050000,Pokémon
sv7-10,Gossifleur,https://images.pokemontcg.io/sv7/10_hires.png,Common,0.030000,0.040000,Pokémon
sv7-11,Eldegoss,https://images.pokemontcg.io/sv7/11_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv7-12,Applin,https://images.pokemontcg.io/sv7/12_hires.png,Common,0.030000,0.050000,Pokémon
sv7-13,Dipplin,https://images.pokemontcg.io/sv7/13_hires.png,Common,0.040000,0.070000,Pokémon
sv7-14,Hydrapple ex,https://images.pokemontcg.io/sv7/14_hires.png,Double Rare,0.790000,0.570000,Pokémon
sv7-15,Nymble,https://images.pokemontcg.io/sv7/15_hires.png,Common,0.040000,0.050000,Pokémon
sv7-16,Lokix,https://images.pokemontcg.io/sv7/16_hires.png,Common,0.040000,0.030000,Pokémon
sv7-17,Toedscool,https://images.pokemontcg.io/sv7/17_hires.png,Common,0.060000,0.070000,Pokémon
sv7-18,Toedscruel,https://images.pokemontcg.io/sv7/18_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv7-19,Ponyta,https://images.pokemontcg.io/sv7/19_hires.png,Common,0.030000,0.060000,Pokémon
sv7-20,Rapidash,https://images.pokemontcg.io/sv7/20_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv7-21,Pansear,https://images.pokemontcg.io/sv7/21_hires.png,Common,0.020000,0.050000,Pokémon
sv7-22,Reshiram,https://images.pokemontcg.io/sv7/22_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-24,Salazzle,https://images.pokemontcg.io/sv7/24_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv7-23,Salandit,https://images.pokemontcg.io/sv7/23_hires.png,Common,0.020000,0.040000,Pokémon
sv7-25,Turtonator,https://images.pokemontcg.io/sv7/25_hires.png,Common,0.020000,0.040000,Pokémon
sv7-26,Scorbunny,https://images.pokemontcg.io/sv7/26_hires.png,Common,0.030000,0.050000,Pokémon
sv7-27,Raboot,https://images.pokemontcg.io/sv7/27_hires.png,Common,0.060000,0.100000,Pokémon
sv7-28,Cinderace ex,https://images.pokemontcg.io/sv7/28_hires.png,Double Rare,1.100000,0.830000,Pokémon
sv7-30,Blastoise ex,https://images.pokemontcg.io/sv7/30_hires.png,Double Rare,1.900000,1.280000,Pokémon
sv7-31,Lapras,https://images.pokemontcg.io/sv7/31_hires.png,Uncommon,0.030000,0.110000,Pokémon
sv7-29,Charcadet,https://images.pokemontcg.io/sv7/29_hires.png,Common,0.030000,0.060000,Pokémon
sv7-32,Lapras ex,https://images.pokemontcg.io/sv7/32_hires.png,Double Rare,1.270000,1.180000,Pokémon
sv7-33,Marill,https://images.pokemontcg.io/sv7/33_hires.png,Common,0.030000,0.110000,Pokémon
sv7-34,Azumarill,https://images.pokemontcg.io/sv7/34_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv7-35,Finneon,https://images.pokemontcg.io/sv7/35_hires.png,Common,0.030000,0.060000,Pokémon
sv7-36,Lumineon,https://images.pokemontcg.io/sv7/36_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv7-37,Tirtouga,https://images.pokemontcg.io/sv7/37_hires.png,Common,0.030000,0.080000,Pokémon
sv7-38,Carracosta,https://images.pokemontcg.io/sv7/38_hires.png,Rare,0.060000,0.130000,Pokémon
sv7-39,Froakie,https://images.pokemontcg.io/sv7/39_hires.png,Common,0.030000,0.060000,Pokémon
sv7-40,Frogadier,https://images.pokemontcg.io/sv7/40_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-41,Greninja ex,https://images.pokemontcg.io/sv7/41_hires.png,Double Rare,0.770000,0.730000,Pokémon
sv7-42,Crabominable,https://images.pokemontcg.io/sv7/42_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv7-44,Drednaw,https://images.pokemontcg.io/sv7/44_hires.png,Rare,0.060000,0.100000,Pokémon
sv7-43,Chewtle,https://images.pokemontcg.io/sv7/43_hires.png,Common,0.050000,0.100000,Pokémon
sv7-45,Veluza,https://images.pokemontcg.io/sv7/45_hires.png,Uncommon,0.020000,0.030000,Pokémon
sv7-46,Electabuzz,https://images.pokemontcg.io/sv7/46_hires.png,Common,0.040000,0.050000,Pokémon
sv7-47,Electivire,https://images.pokemontcg.io/sv7/47_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv7-48,Chinchou,https://images.pokemontcg.io/sv7/48_hires.png,Common,0.030000,0.040000,Pokémon
sv7-49,Lanturn,https://images.pokemontcg.io/sv7/49_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-50,Joltik,https://images.pokemontcg.io/sv7/50_hires.png,Common,0.080000,0.150000,Pokémon
sv7-51,Galvantula ex,https://images.pokemontcg.io/sv7/51_hires.png,Double Rare,0.970000,0.670000,Pokémon
sv7-52,Charjabug,https://images.pokemontcg.io/sv7/52_hires.png,Common,0.030000,0.040000,Pokémon
sv7-53,Vikavolt,https://images.pokemontcg.io/sv7/53_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv7-55,Zeraora,https://images.pokemontcg.io/sv7/55_hires.png,Rare,0.060000,0.090000,Pokémon
sv7-54,Togedemaru,https://images.pokemontcg.io/sv7/54_hires.png,Uncommon,0.020000,0.050000,Pokémon
sv7-56,Pawmi,https://images.pokemontcg.io/sv7/56_hires.png,Common,0.030000,0.060000,Pokémon
sv7-57,Slowpoke,https://images.pokemontcg.io/sv7/57_hires.png,Common,0.050000,0.150000,Pokémon
sv7-58,Slowking,https://images.pokemontcg.io/sv7/58_hires.png,Uncommon,0.040000,0.110000,Pokémon
sv7-59,Mewtwo,https://images.pokemontcg.io/sv7/59_hires.png,Uncommon,0.040000,0.120000,Pokémon
sv7-60,Drifloon,https://images.pokemontcg.io/sv7/60_hires.png,Common,0.020000,0.060000,Pokémon
sv7-61,Drifblim,https://images.pokemontcg.io/sv7/61_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv7-62,Yamask,https://images.pokemontcg.io/sv7/62_hires.png,Common,0.020000,0.040000,Pokémon
sv7-63,Comfey,https://images.pokemontcg.io/sv7/63_hires.png,Common,0.030000,0.070000,Pokémon
sv7-64,Milcery,https://images.pokemontcg.io/sv7/64_hires.png,Common,0.030000,0.080000,Pokémon
sv7-65,Alcremie,https://images.pokemontcg.io/sv7/65_hires.png,Rare,0.050000,0.130000,Pokémon
sv7-66,Fidough,https://images.pokemontcg.io/sv7/66_hires.png,Common,0.030000,0.080000,Pokémon
sv7-67,Dachsbun ex,https://images.pokemontcg.io/sv7/67_hires.png,Double Rare,0.760000,0.650000,Pokémon
sv7-68,Flittle,https://images.pokemontcg.io/sv7/68_hires.png,Common,0.030000,0.070000,Pokémon
sv7-69,Espathra,https://images.pokemontcg.io/sv7/69_hires.png,Common,0.040000,0.080000,Pokémon
sv7-70,Greavard,https://images.pokemontcg.io/sv7/70_hires.png,Common,0.020000,0.060000,Pokémon
sv7-71,Iron Boulder,https://images.pokemontcg.io/sv7/71_hires.png,Rare,0.050000,0.090000,Pokémon
sv7-72,Cubone,https://images.pokemontcg.io/sv7/72_hires.png,Common,0.030000,0.070000,Pokémon
sv7-73,Marowak,https://images.pokemontcg.io/sv7/73_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-74,Rhyhorn,https://images.pokemontcg.io/sv7/74_hires.png,Common,0.030000,0.060000,Pokémon
sv7-75,Rhydon,https://images.pokemontcg.io/sv7/75_hires.png,Common,0.040000,0.110000,Pokémon
sv7-76,Rhyperior,https://images.pokemontcg.io/sv7/76_hires.png,Rare,0.060000,0.090000,Pokémon
sv7-77,Meditite,https://images.pokemontcg.io/sv7/77_hires.png,Common,0.040000,0.070000,Pokémon
sv7-78,Meditite,https://images.pokemontcg.io/sv7/78_hires.png,Common,0.040000,0.060000,Pokémon
sv7-79,Medicham,https://images.pokemontcg.io/sv7/79_hires.png,Common,0.030000,0.060000,Pokémon
sv7-80,Medicham ex,https://images.pokemontcg.io/sv7/80_hires.png,Double Rare,0.660000,0.440000,Pokémon
sv7-81,Riolu,https://images.pokemontcg.io/sv7/81_hires.png,Common,0.020000,0.040000,Pokémon
sv7-82,Lucario ex,https://images.pokemontcg.io/sv7/82_hires.png,Double Rare,0.830000,0.650000,Pokémon
sv7-83,Mienfoo,https://images.pokemontcg.io/sv7/83_hires.png,Common,0.020000,0.050000,Pokémon
sv7-84,Mienshao,https://images.pokemontcg.io/sv7/84_hires.png,Uncommon,0.020000,0.040000,Pokémon
sv7-85,Pancham,https://images.pokemontcg.io/sv7/85_hires.png,Common,0.030000,0.050000,Pokémon
sv7-86,Diancie,https://images.pokemontcg.io/sv7/86_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv7-87,Crabrawler,https://images.pokemontcg.io/sv7/87_hires.png,Common,0.020000,0.050000,Pokémon
sv7-88,Falinks,https://images.pokemontcg.io/sv7/88_hires.png,Common,0.040000,0.070000,Pokémon
sv7-89,Garganacl ex,https://images.pokemontcg.io/sv7/89_hires.png,Double Rare,0.640000,0.470000,Pokémon
sv7-90,Koraidon,https://images.pokemontcg.io/sv7/90_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-91,Gulpin,https://images.pokemontcg.io/sv7/91_hires.png,Common,0.040000,0.110000,Pokémon
sv7-92,Swalot,https://images.pokemontcg.io/sv7/92_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv7-93,Pangoro,https://images.pokemontcg.io/sv7/93_hires.png,Uncommon,0.020000,0.050000,Pokémon
sv7-94,Impidimp,https://images.pokemontcg.io/sv7/94_hires.png,Common,0.030000,0.070000,Pokémon
sv7-95,Morgrem,https://images.pokemontcg.io/sv7/95_hires.png,Common,0.030000,0.070000,Pokémon
sv7-96,Grimmsnarl,https://images.pokemontcg.io/sv7/96_hires.png,Rare,0.060000,0.110000,Pokémon
sv7-97,Bombirdier,https://images.pokemontcg.io/sv7/97_hires.png,Common,0.020000,0.030000,Pokémon
sv7-98,Jirachi,https://images.pokemontcg.io/sv7/98_hires.png,Uncommon,0.030000,0.100000,Pokémon
sv7-99,Klink,https://images.pokemontcg.io/sv7/99_hires.png,Common,0.020000,0.030000,Pokémon
sv7-100,Klang,https://images.pokemontcg.io/sv7/100_hires.png,Common,0.040000,0.040000,Pokémon
sv7-101,Klinklang,https://images.pokemontcg.io/sv7/101_hires.png,Rare,0.050000,0.080000,Pokémon
sv7-102,Meltan,https://images.pokemontcg.io/sv7/102_hires.png,Common,0.040000,0.110000,Pokémon
sv7-103,Meltan,https://images.pokemontcg.io/sv7/103_hires.png,Common,0.030000,0.070000,Pokémon
sv7-104,Melmetal,https://images.pokemontcg.io/sv7/104_hires.png,Rare,0.060000,0.090000,Pokémon
sv7-105,Melmetal ex,https://images.pokemontcg.io/sv7/105_hires.png,Double Rare,0.650000,0.650000,Pokémon
sv7-106,Duraludon,https://images.pokemontcg.io/sv7/106_hires.png,Common,0.030000,0.080000,Pokémon
sv7-107,Archaludon,https://images.pokemontcg.io/sv7/107_hires.png,Rare,16.300000,0.090000,Pokémon
sv7-108,Varoom,https://images.pokemontcg.io/sv7/108_hires.png,Common,0.020000,0.030000,Pokémon
sv7-109,Revavroom,https://images.pokemontcg.io/sv7/109_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv7-110,Orthworm ex,https://images.pokemontcg.io/sv7/110_hires.png,Double Rare,0.600000,0.420000,Pokémon
sv7-111,Raging Bolt,https://images.pokemontcg.io/sv7/111_hires.png,Rare,24.950000,0.160000,Pokémon
sv7-112,Tauros,https://images.pokemontcg.io/sv7/112_hires.png,Common,0.030000,0.050000,Pokémon
sv7-113,Eevee,https://images.pokemontcg.io/sv7/113_hires.png,Common,0.050000,0.130000,Pokémon
sv7-114,Hoothoot,https://images.pokemontcg.io/sv7/114_hires.png,Common,0.160000,0.350000,Pokémon
sv7-115,Noctowl,https://images.pokemontcg.io/sv7/115_hires.png,Rare,0.190000,0.270000,Pokémon
sv7-116,Glameow,https://images.pokemontcg.io/sv7/116_hires.png,Common,0.030000,0.060000,Pokémon
sv7-117,Purugly,https://images.pokemontcg.io/sv7/117_hires.png,Common,0.030000,0.050000,Pokémon
sv7-118,Fan Rotom,https://images.pokemontcg.io/sv7/118_hires.png,Common,0.070000,0.090000,Pokémon
sv7-119,Bouffalant,https://images.pokemontcg.io/sv7/119_hires.png,Rare,0.050000,0.080000,Pokémon
sv7-120,Tornadus,https://images.pokemontcg.io/sv7/120_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv7-121,Fletchling,https://images.pokemontcg.io/sv7/121_hires.png,Common,0.030000,0.050000,Pokémon
sv7-122,Fletchinder,https://images.pokemontcg.io/sv7/122_hires.png,Common,0.030000,0.090000,Pokémon
sv7-123,Talonflame,https://images.pokemontcg.io/sv7/123_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv7-124,Wooloo,https://images.pokemontcg.io/sv7/124_hires.png,Common,0.030000,0.070000,Pokémon
sv7-125,Dubwool,https://images.pokemontcg.io/sv7/125_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv7-126,Lechonk,https://images.pokemontcg.io/sv7/126_hires.png,Common,0.030000,0.060000,Pokémon
sv7-127,Cyclizar,https://images.pokemontcg.io/sv7/127_hires.png,Common,0.020000,0.030000,Pokémon
sv7-128,Terapagos ex,https://images.pokemontcg.io/sv7/128_hires.png,Double Rare,1.740000,1.190000,Pokémon
sv7-129,Antique Cover Fossil,https://images.pokemontcg.io/sv7/129_hires.png,Common,0.060000,0.050000,Trainer
sv7-130,Antique Root Fossil,https://images.pokemontcg.io/sv7/130_hires.png,Common,0.050000,0.060000,Trainer
sv7-131,Area Zero Underdepths,https://images.pokemontcg.io/sv7/131_hires.png,Uncommon,0.080000,0.090000,Trainer
sv7-132,Briar,https://images.pokemontcg.io/sv7/132_hires.png,Uncommon,0.070000,0.050000,Trainer
sv7-133,Crispin,https://images.pokemontcg.io/sv7/133_hires.png,Uncommon,0.160000,0.230000,Trainer
sv7-134,Deluxe Bomb,https://images.pokemontcg.io/sv7/134_hires.png,ACE SPEC Rare,0.420000,0.360000,Trainer
sv7-135,Glass Trumpet,https://images.pokemontcg.io/sv7/135_hires.png,Uncommon,0.060000,0.080000,Trainer
sv7-136,Grand Tree,https://images.pokemontcg.io/sv7/136_hires.png,ACE SPEC Rare,0.560000,0.520000,Trainer
sv7-137,Gravity Gemstone,https://images.pokemontcg.io/sv7/137_hires.png,Uncommon,0.060000,0.060000,Trainer
sv7-138,Kofu,https://images.pokemontcg.io/sv7/138_hires.png,Uncommon,0.040000,0.080000,Trainer
sv7-139,Lacey,https://images.pokemontcg.io/sv7/139_hires.png,Uncommon,0.040000,0.090000,Trainer
sv7-140,Occa Berry,https://images.pokemontcg.io/sv7/140_hires.png,Uncommon,0.030000,0.050000,Trainer
sv7-141,Payapa Berry,https://images.pokemontcg.io/sv7/141_hires.png,Uncommon,0.030000,0.050000,Trainer
sv7-142,Sparkling Crystal,https://images.pokemontcg.io/sv7/142_hires.png,ACE SPEC Rare,0.550000,0.520000,Trainer
sv7-143,Bulbasaur,https://images.pokemontcg.io/sv7/143_hires.png,Illustration Rare,49.820000,46.950000,Pokémon
sv7-144,Ledian,https://images.pokemontcg.io/sv7/144_hires.png,Illustration Rare,3.990000,3.370000,Pokémon
sv7-145,Lileep,https://images.pokemontcg.io/sv7/145_hires.png,Illustration Rare,3.890000,3.780000,Pokémon
sv7-146,Turtonator,https://images.pokemontcg.io/sv7/146_hires.png,Illustration Rare,3.080000,2.330000,Pokémon
sv7-147,Raboot,https://images.pokemontcg.io/sv7/147_hires.png,Illustration Rare,4.980000,4.450000,Pokémon
sv7-148,Squirtle,https://images.pokemontcg.io/sv7/148_hires.png,Illustration Rare,52.730000,55.600000,Pokémon
sv7-150,Joltik,https://images.pokemontcg.io/sv7/150_hires.png,Illustration Rare,4.840000,5.890000,Pokémon
sv7-149,Crabominable,https://images.pokemontcg.io/sv7/149_hires.png,Illustration Rare,2.910000,2.610000,Pokémon
sv7-151,Zeraora,https://images.pokemontcg.io/sv7/151_hires.png,Illustration Rare,7.800000,6.390000,Pokémon
sv7-152,Milcery,https://images.pokemontcg.io/sv7/152_hires.png,Illustration Rare,4.630000,7.150000,Pokémon
sv7-154,Gulpin,https://images.pokemontcg.io/sv7/154_hires.png,Illustration Rare,3.740000,5.980000,Pokémon
sv7-155,Archaludon,https://images.pokemontcg.io/sv7/155_hires.png,Illustration Rare,3.310000,2.400000,Pokémon
sv7-153,Meditite,https://images.pokemontcg.io/sv7/153_hires.png,Illustration Rare,4.600000,3.860000,Pokémon
sv7-156,Hydrapple ex,https://images.pokemontcg.io/sv7/156_hires.png,Ultra Rare,1.940000,1.860000,Pokémon
sv7-158,Lapras ex,https://images.pokemontcg.io/sv7/158_hires.png,Ultra Rare,3.380000,3.660000,Pokémon
sv7-157,Cinderace ex,https://images.pokemontcg.io/sv7/157_hires.png,Ultra Rare,2.390000,2.460000,Pokémon
sv7-159,Galvantula ex,https://images.pokemontcg.io/sv7/159_hires.png,Ultra Rare,1.930000,1.480000,Pokémon
sv7-160,Dachsbun ex,https://images.pokemontcg.io/sv7/160_hires.png,Ultra Rare,1.610000,1.950000,Pokémon
sv7-161,Medicham ex,https://images.pokemontcg.io/sv7/161_hires.png,Ultra Rare,1.360000,0.890000,Pokémon
sv7-162,Orthworm ex,https://images.pokemontcg.io/sv7/162_hires.png,Ultra Rare,1.280000,1.110000,Pokémon
sv7-163,Briar,https://images.pokemontcg.io/sv7/163_hires.png,Ultra Rare,2.390000,1.660000,Trainer
sv7-164,Crispin,https://images.pokemontcg.io/sv7/164_hires.png,Ultra Rare,7.120000,6.120000,Trainer
sv7-165,Kofu,https://images.pokemontcg.io/sv7/165_hires.png,Ultra Rare,1.220000,0.960000,Trainer
sv7-166,Lacey,https://images.pokemontcg.io/sv7/166_hires.png,Ultra Rare,2.400000,2.160000,Trainer
sv7-167,Hydrapple ex,https://images.pokemontcg.io/sv7/167_hires.png,Special Illustration Rare,23.480000,19.380000,Pokémon
sv7-168,Galvantula ex,https://images.pokemontcg.io/sv7/168_hires.png,Special Illustration Rare,21.990000,16.210000,Pokémon
sv7-169,Dachsbun ex,https://images.pokemontcg.io/sv7/169_hires.png,Special Illustration Rare,26.290000,27.010000,Pokémon
sv7-170,Terapagos ex,https://images.pokemontcg.io/sv7/170_hires.png,Special Illustration Rare,47.800000,40.480000,Pokémon
sv7-171,Briar,https://images.pokemontcg.io/sv7/171_hires.png,Special Illustration Rare,19.600000,15.250000,Trainer
sv7-172,Lacey,https://images.pokemontcg.io/sv7/172_hires.png,Special Illustration Rare,21.630000,19.780000,Trainer
sv7-173,Terapagos ex,https://images.pokemontcg.io/sv7/173_hires.png,Hyper Rare,16.770000,8.350000,Pokémon
sv7-174,Area Zero Underdepths,https://images.pokemontcg.io/sv7/174_hires.png,Hyper Rare,13.920000,11.140000,Trainer
sv7-175,Bravery Charm,https://images.pokemontcg.io/sv7/175_hires.png,Hyper Rare,12.990000,9.510000,Trainer
",DefaulT,",,,,0,0,
