id,name,image,rarity,card_market_price,tcg_market_price,supertype
dp7-1,Dusknoir,https://images.pokemontcg.io/dp7/1_hires.png,Rare Holo,2.230000,2.410000,Pokémon
dp7-2,Empoleon,https://images.pokemontcg.io/dp7/2_hires.png,Rare Holo,1.600000,4.490000,Pokémon
dp7-3,Infernape,https://images.pokemontcg.io/dp7/3_hires.png,Rare Holo,2.270000,6.470000,Pokémon
dp7-4,Lumineon,https://images.pokemontcg.io/dp7/4_hires.png,Rare Holo,1.660000,2.650000,Pokémon
dp7-5,Magnezone,https://images.pokemontcg.io/dp7/5_hires.png,Rare Holo,1.670000,2.080000,Pokémon
dp7-6,Magnezone,https://images.pokemontcg.io/dp7/6_hires.png,Rare Holo,1.410000,2.740000,Pokémon
dp7-7,Mismagius,https://images.pokemontcg.io/dp7/7_hires.png,Rare Holo,1.260000,2.700000,Pokémon
dp7-8,Raichu,https://images.pokemontcg.io/dp7/8_hires.png,Rare Holo,6.640000,10.180000,Pokémon
dp7-9,Regigigas,https://images.pokemontcg.io/dp7/9_hires.png,Rare Holo,1.440000,3.480000,Pokémon
dp7-10,Sceptile,https://images.pokemontcg.io/dp7/10_hires.png,Rare Holo,2.990000,5.860000,Pokémon
dp7-11,Torterra,https://images.pokemontcg.io/dp7/11_hires.png,Rare Holo,3.050000,8.310000,Pokémon
dp7-12,Abomasnow,https://images.pokemontcg.io/dp7/12_hires.png,Rare,0.210000,1.160000,Pokémon
dp7-13,Bronzong,https://images.pokemontcg.io/dp7/13_hires.png,Rare,0.660000,0.770000,Pokémon
dp7-14,Cherrim,https://images.pokemontcg.io/dp7/14_hires.png,Rare,0.660000,1.080000,Pokémon
dp7-15,Drapion,https://images.pokemontcg.io/dp7/15_hires.png,Rare,0.790000,0.960000,Pokémon
dp7-16,Drifblim,https://images.pokemontcg.io/dp7/16_hires.png,Rare,0.530000,1.190000,Pokémon
dp7-17,Dusknoir,https://images.pokemontcg.io/dp7/17_hires.png,Rare,0.830000,1.010000,Pokémon
dp7-18,Gengar,https://images.pokemontcg.io/dp7/18_hires.png,Rare,9.150000,22.620000,Pokémon
dp7-19,Gyarados,https://images.pokemontcg.io/dp7/19_hires.png,Rare,2.320000,6.590000,Pokémon
dp7-20,Machamp,https://images.pokemontcg.io/dp7/20_hires.png,Rare,1.350000,3.840000,Pokémon
dp7-21,Mamoswine,https://images.pokemontcg.io/dp7/21_hires.png,Rare,0.690000,0.820000,Pokémon
dp7-22,Rapidash,https://images.pokemontcg.io/dp7/22_hires.png,Rare,0.660000,3.170000,Pokémon
dp7-23,Roserade,https://images.pokemontcg.io/dp7/23_hires.png,Rare,0.610000,1.170000,Pokémon
dp7-24,Salamence,https://images.pokemontcg.io/dp7/24_hires.png,Rare,1.610000,1.750000,Pokémon
dp7-25,Scizor,https://images.pokemontcg.io/dp7/25_hires.png,Rare,0.700000,3.400000,Pokémon
dp7-26,Skuntank,https://images.pokemontcg.io/dp7/26_hires.png,Rare,0.230000,0.560000,Pokémon
dp7-27,Staraptor,https://images.pokemontcg.io/dp7/27_hires.png,Rare,0.200000,0.750000,Pokémon
dp7-28,Steelix,https://images.pokemontcg.io/dp7/28_hires.png,Rare,0.930000,1.960000,Pokémon
dp7-29,Tangrowth,https://images.pokemontcg.io/dp7/29_hires.png,Rare,0.780000,0.770000,Pokémon
dp7-30,Tyranitar,https://images.pokemontcg.io/dp7/30_hires.png,Rare,1.700000,4.480000,Pokémon
dp7-31,Vespiquen,https://images.pokemontcg.io/dp7/31_hires.png,Rare,0.710000,0.600000,Pokémon
dp7-32,Bibarel,https://images.pokemontcg.io/dp7/32_hires.png,Uncommon,0.120000,0.450000,Pokémon
dp7-33,Budew,https://images.pokemontcg.io/dp7/33_hires.png,Uncommon,2.290000,6.010000,Pokémon
dp7-34,Dusclops,https://images.pokemontcg.io/dp7/34_hires.png,Uncommon,0.240000,0.680000,Pokémon
dp7-35,Dusclops,https://images.pokemontcg.io/dp7/35_hires.png,Uncommon,0.240000,0.570000,Pokémon
dp7-36,Electrode,https://images.pokemontcg.io/dp7/36_hires.png,Uncommon,0.270000,0.460000,Pokémon
dp7-37,Electrode,https://images.pokemontcg.io/dp7/37_hires.png,Uncommon,0.240000,0.340000,Pokémon
dp7-38,Farfetch'd,https://images.pokemontcg.io/dp7/38_hires.png,Uncommon,0.280000,0.520000,Pokémon
dp7-39,Grovyle,https://images.pokemontcg.io/dp7/39_hires.png,Uncommon,0.230000,0.540000,Pokémon
dp7-40,Haunter,https://images.pokemontcg.io/dp7/40_hires.png,Uncommon,0.320000,1.370000,Pokémon
dp7-41,Machoke,https://images.pokemontcg.io/dp7/41_hires.png,Uncommon,0.440000,0.870000,Pokémon
dp7-42,Magneton,https://images.pokemontcg.io/dp7/42_hires.png,Uncommon,0.280000,0.580000,Pokémon
dp7-43,Magneton,https://images.pokemontcg.io/dp7/43_hires.png,Uncommon,0.350000,0.560000,Pokémon
dp7-44,Miltank,https://images.pokemontcg.io/dp7/44_hires.png,Uncommon,0.160000,0.480000,Pokémon
dp7-45,Pichu,https://images.pokemontcg.io/dp7/45_hires.png,Uncommon,2.330000,5.070000,Pokémon
dp7-46,Piloswine,https://images.pokemontcg.io/dp7/46_hires.png,Uncommon,0.890000,0.440000,Pokémon
dp7-47,Pupitar,https://images.pokemontcg.io/dp7/47_hires.png,Uncommon,0.110000,0.350000,Pokémon
dp7-48,Sableye,https://images.pokemontcg.io/dp7/48_hires.png,Uncommon,0.580000,3.900000,Pokémon
dp7-49,Scyther,https://images.pokemontcg.io/dp7/49_hires.png,Uncommon,0.280000,0.910000,Pokémon
dp7-50,Shelgon,https://images.pokemontcg.io/dp7/50_hires.png,Uncommon,0.220000,0.960000,Pokémon
dp7-51,Skarmory,https://images.pokemontcg.io/dp7/51_hires.png,Uncommon,0.310000,0.310000,Pokémon
dp7-52,Staravia,https://images.pokemontcg.io/dp7/52_hires.png,Uncommon,0.080000,0.270000,Pokémon
dp7-53,Bagon,https://images.pokemontcg.io/dp7/53_hires.png,Common,0.160000,0.370000,Pokémon
dp7-54,Bidoof,https://images.pokemontcg.io/dp7/54_hires.png,Common,0.110000,0.760000,Pokémon
dp7-55,Bronzor,https://images.pokemontcg.io/dp7/55_hires.png,Common,0.150000,0.190000,Pokémon
dp7-56,Cherubi,https://images.pokemontcg.io/dp7/56_hires.png,Common,0.180000,0.560000,Pokémon
dp7-57,Combee,https://images.pokemontcg.io/dp7/57_hires.png,Common,0.150000,0.380000,Pokémon
dp7-58,Drifloon,https://images.pokemontcg.io/dp7/58_hires.png,Common,0.080000,0.370000,Pokémon
dp7-59,Duskull,https://images.pokemontcg.io/dp7/59_hires.png,Common,0.160000,0.300000,Pokémon
