id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm1-1,Caterpie,https://images.pokemontcg.io/sm1/1_hires.png,Common,0.090000,0.110000,Pokémon
sm1-2,Metapod,https://images.pokemontcg.io/sm1/2_hires.png,Uncommon,0.100000,0.190000,Pokémon
sm1-3,Butterfree,https://images.pokemontcg.io/sm1/3_hires.png,Rare,0.180000,0.310000,Pokémon
sm1-4,Paras,https://images.pokemontcg.io/sm1/4_hires.png,Common,0.050000,0.100000,Pokémon
sm1-5,Parasect,https://images.pokemontcg.io/sm1/5_hires.png,Rare,0.200000,0.140000,Pokémon
sm1-6,Pinsir,https://images.pokemontcg.io/sm1/6_hires.png,Uncommon,0.080000,0.120000,Pokémon
sm1-7,Surskit,https://images.pokemontcg.io/sm1/7_hires.png,Common,0.090000,0.080000,Pokémon
sm1-8,Masquerain,https://images.pokemontcg.io/sm1/8_hires.png,Rare,0.220000,0.170000,Pokémon
sm1-9,Rowlet,https://images.pokemontcg.io/sm1/9_hires.png,Common,0.490000,0.090000,Pokémon
sm1-10,Dartrix,https://images.pokemontcg.io/sm1/10_hires.png,Uncommon,0.280000,0.120000,Pokémon
sm1-11,Decidueye,https://images.pokemontcg.io/sm1/11_hires.png,Rare,0.280000,0.190000,Pokémon
sm1-12,Decidueye-GX,https://images.pokemontcg.io/sm1/12_hires.png,Rare Holo GX,0,1.460000,Pokémon
sm1-13,Grubbin,https://images.pokemontcg.io/sm1/13_hires.png,Common,0.090000,0.070000,Pokémon
sm1-14,Fomantis,https://images.pokemontcg.io/sm1/14_hires.png,Common,0.100000,0.080000,Pokémon
sm1-15,Lurantis-GX,https://images.pokemontcg.io/sm1/15_hires.png,Rare Holo GX,1.680000,1.100000,Pokémon
sm1-16,Morelull,https://images.pokemontcg.io/sm1/16_hires.png,Common,0.090000,0.110000,Pokémon
sm1-17,Shiinotic,https://images.pokemontcg.io/sm1/17_hires.png,Rare Holo,0.520000,0.340000,Pokémon
sm1-18,Bounsweet,https://images.pokemontcg.io/sm1/18_hires.png,Common,0.060000,0.100000,Pokémon
sm1-19,Steenee,https://images.pokemontcg.io/sm1/19_hires.png,Uncommon,0.130000,0.130000,Pokémon
sm1-20,Tsareena,https://images.pokemontcg.io/sm1/20_hires.png,Rare Holo,6.480000,0.340000,Pokémon
sm1-21,Growlithe,https://images.pokemontcg.io/sm1/21_hires.png,Common,0.070000,0.120000,Pokémon
sm1-22,Arcanine,https://images.pokemontcg.io/sm1/22_hires.png,Rare Holo,1.410000,1,Pokémon
sm1-23,Torkoal,https://images.pokemontcg.io/sm1/23_hires.png,Common,0.070000,0.100000,Pokémon
sm1-24,Litten,https://images.pokemontcg.io/sm1/24_hires.png,Common,0.080000,0.100000,Pokémon
sm1-25,Torracat,https://images.pokemontcg.io/sm1/25_hires.png,Uncommon,0.160000,0.140000,Pokémon
sm1-26,Incineroar,https://images.pokemontcg.io/sm1/26_hires.png,Rare,0.390000,0.200000,Pokémon
sm1-27,Incineroar-GX,https://images.pokemontcg.io/sm1/27_hires.png,Rare Holo GX,2.010000,2.050000,Pokémon
sm1-28,Psyduck,https://images.pokemontcg.io/sm1/28_hires.png,Common,1.040000,0.200000,Pokémon
sm1-29,Golduck,https://images.pokemontcg.io/sm1/29_hires.png,Rare,0.150000,0.150000,Pokémon
sm1-30,Poliwag,https://images.pokemontcg.io/sm1/30_hires.png,Common,0.120000,0.220000,Pokémon
sm1-31,Poliwhirl,https://images.pokemontcg.io/sm1/31_hires.png,Uncommon,0.110000,0.180000,Pokémon
sm1-32,Poliwrath,https://images.pokemontcg.io/sm1/32_hires.png,Rare Holo,0.690000,0.490000,Pokémon
sm1-33,Shellder,https://images.pokemontcg.io/sm1/33_hires.png,Common,0.050000,0.090000,Pokémon
sm1-34,Cloyster,https://images.pokemontcg.io/sm1/34_hires.png,Rare,0.100000,0.180000,Pokémon
sm1-35,Lapras-GX,https://images.pokemontcg.io/sm1/35_hires.png,Rare Holo GX,3.020000,2.330000,Pokémon
sm1-36,Corsola,https://images.pokemontcg.io/sm1/36_hires.png,Uncommon,0.120000,0.160000,Pokémon
sm1-37,Wingull,https://images.pokemontcg.io/sm1/37_hires.png,Common,0.070000,0.100000,Pokémon
sm1-38,Pelipper,https://images.pokemontcg.io/sm1/38_hires.png,Uncommon,0.090000,0.090000,Pokémon
sm1-39,Popplio,https://images.pokemontcg.io/sm1/39_hires.png,Common,0.080000,0.170000,Pokémon
sm1-40,Brionne,https://images.pokemontcg.io/sm1/40_hires.png,Uncommon,0.220000,0.190000,Pokémon
sm1-41,Primarina,https://images.pokemontcg.io/sm1/41_hires.png,Rare,0.240000,0.340000,Pokémon
sm1-42,Primarina-GX,https://images.pokemontcg.io/sm1/42_hires.png,Rare Holo GX,2.580000,2.480000,Pokémon
sm1-43,Crabominable,https://images.pokemontcg.io/sm1/43_hires.png,Rare,0.140000,0.170000,Pokémon
sm1-44,Wishiwashi,https://images.pokemontcg.io/sm1/44_hires.png,Uncommon,0.080000,0.100000,Pokémon
sm1-45,Dewpider,https://images.pokemontcg.io/sm1/45_hires.png,Common,0.080000,0.070000,Pokémon
