id,name,image,rarity,card_market_price,tcg_market_price,supertype
pl3-1,Absol G,https://images.pokemontcg.io/pl3/1_hires.png,Rare Holo,4.280000,10.540000,Pokémon
pl3-2,Blaziken FB,https://images.pokemontcg.io/pl3/2_hires.png,Rare Holo,5.570000,12.350000,Pokémon
pl3-3,Drifblim FB,https://images.pokemontcg.io/pl3/3_hires.png,Rare Holo,6.680000,3.820000,Pokémon
pl3-4,Electivire FB,https://images.pokemontcg.io/pl3/4_hires.png,Rare Holo,4.750000,3.810000,Pokémon
pl3-5,Garchomp,https://images.pokemontcg.io/pl3/5_hires.png,Rare Holo,85,14.740000,Pokémon
pl3-6,Magmortar,https://images.pokemontcg.io/pl3/6_hires.png,Rare Holo,2.530000,1.810000,Pokémon
pl3-7,Metagross,https://images.pokemontcg.io/pl3/7_hires.png,Rare Holo,2.020000,3.970000,Pokémon
pl3-8,Rayquaza C,https://images.pokemontcg.io/pl3/8_hires.png,Rare Holo,15.150000,54.680000,Pokémon
pl3-9,Regigigas FB,https://images.pokemontcg.io/pl3/9_hires.png,Rare Holo,4.140000,4.380000,Pokémon
pl3-10,Rhyperior,https://images.pokemontcg.io/pl3/10_hires.png,Rare Holo,2.790000,3.060000,Pokémon
pl3-11,Staraptor FB,https://images.pokemontcg.io/pl3/11_hires.png,Rare Holo,3.560000,4.620000,Pokémon
pl3-12,Swampert,https://images.pokemontcg.io/pl3/12_hires.png,Rare Holo,2.070000,9.380000,Pokémon
pl3-13,Venusaur,https://images.pokemontcg.io/pl3/13_hires.png,Rare Holo,3.210000,20.030000,Pokémon
pl3-14,Yanmega,https://images.pokemontcg.io/pl3/14_hires.png,Rare Holo,2.530000,3.970000,Pokémon
pl3-15,Arcanine G,https://images.pokemontcg.io/pl3/15_hires.png,Rare,3,6.590000,Pokémon
pl3-16,Articuno,https://images.pokemontcg.io/pl3/16_hires.png,Rare,6.080000,7.320000,Pokémon
pl3-17,Butterfree FB,https://images.pokemontcg.io/pl3/17_hires.png,Rare,2.500000,5.970000,Pokémon
pl3-18,Camerupt,https://images.pokemontcg.io/pl3/18_hires.png,Rare,0.620000,0.740000,Pokémon
pl3-19,Camerupt G,https://images.pokemontcg.io/pl3/19_hires.png,Rare,0.450000,0.750000,Pokémon
pl3-20,Charizard G,https://images.pokemontcg.io/pl3/20_hires.png,Rare,12.490000,35.720000,Pokémon
pl3-21,Chimecho,https://images.pokemontcg.io/pl3/21_hires.png,Rare,0.420000,1.020000,Pokémon
pl3-22,Claydol,https://images.pokemontcg.io/pl3/22_hires.png,Rare,0.580000,0.510000,Pokémon
pl3-23,Crawdaunt G,https://images.pokemontcg.io/pl3/23_hires.png,Rare,2.250000,2.440000,Pokémon
pl3-24,Dewgong,https://images.pokemontcg.io/pl3/24_hires.png,Rare,1.970000,1.300000,Pokémon
pl3-25,Dodrio,https://images.pokemontcg.io/pl3/25_hires.png,Rare,0.530000,0.950000,Pokémon
pl3-26,Dusknoir FB,https://images.pokemontcg.io/pl3/26_hires.png,Rare,1.190000,1.380000,Pokémon
pl3-27,Empoleon FB,https://images.pokemontcg.io/pl3/27_hires.png,Rare,2.050000,2.690000,Pokémon
pl3-28,Exploud,https://images.pokemontcg.io/pl3/28_hires.png,Rare,1.160000,1.050000,Pokémon
pl3-29,Honchkrow,https://images.pokemontcg.io/pl3/29_hires.png,Rare,0.950000,1.600000,Pokémon
pl3-30,Lickilicky C,https://images.pokemontcg.io/pl3/30_hires.png,Rare,2.420000,2.680000,Pokémon
