id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv8-1,Exeggcute,https://images.pokemontcg.io/sv8/1_hires.png,Common,0.030000,0.080000,Pokémon
sv8-2,Exeggcute,https://images.pokemontcg.io/sv8/2_hires.png,Common,0.030000,0.060000,Pokémon
sv8-3,Exeggutor,https://images.pokemontcg.io/sv8/3_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-4,Durant ex,https://images.pokemontcg.io/sv8/4_hires.png,Double Rare,0.600000,0.490000,Pokémon
sv8-5,Scatterbug,https://images.pokemontcg.io/sv8/5_hires.png,Common,0.020000,0.030000,Pokémon
sv8-6,Spewpa,https://images.pokemontcg.io/sv8/6_hires.png,Common,0.030000,0.060000,Pokémon
sv8-7,Vivillon,https://images.pokemontcg.io/sv8/7_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv8-8,Morelull,https://images.pokemontcg.io/sv8/8_hires.png,Common,0.030000,0.050000,Pokémon
sv8-9,Shiinotic,https://images.pokemontcg.io/sv8/9_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv8-10,Dhelmise,https://images.pokemontcg.io/sv8/10_hires.png,Common,0.030000,0.060000,Pokémon
sv8-11,Zarude,https://images.pokemontcg.io/sv8/11_hires.png,Rare,0.050000,0.070000,Pokémon
sv8-12,Capsakid,https://images.pokemontcg.io/sv8/12_hires.png,Common,0.020000,0.050000,Pokémon
sv8-13,Rellor,https://images.pokemontcg.io/sv8/13_hires.png,Common,0.030000,0.030000,Pokémon
sv8-14,Rabsca,https://images.pokemontcg.io/sv8/14_hires.png,Rare,0.040000,0.070000,Pokémon
sv8-15,Wo-Chien,https://images.pokemontcg.io/sv8/15_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv8-16,Vulpix,https://images.pokemontcg.io/sv8/16_hires.png,Common,0.030000,0.100000,Pokémon
sv8-17,Ninetales,https://images.pokemontcg.io/sv8/17_hires.png,Uncommon,0.030000,0.100000,Pokémon
sv8-18,Paldean Tauros,https://images.pokemontcg.io/sv8/18_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv8-19,Ho-Oh,https://images.pokemontcg.io/sv8/19_hires.png,Uncommon,0.050000,0.090000,Pokémon
sv8-20,Castform Sunny Form,https://images.pokemontcg.io/sv8/20_hires.png,Common,0.030000,0.070000,Pokémon
sv8-21,Victini,https://images.pokemontcg.io/sv8/21_hires.png,Uncommon,0.070000,0.110000,Pokémon
sv8-22,Pansear,https://images.pokemontcg.io/sv8/22_hires.png,Common,0.030000,0.060000,Pokémon
sv8-23,Simisear,https://images.pokemontcg.io/sv8/23_hires.png,Common,0.030000,0.050000,Pokémon
sv8-24,Larvesta,https://images.pokemontcg.io/sv8/24_hires.png,Common,0.020000,0.050000,Pokémon
sv8-25,Volcarona,https://images.pokemontcg.io/sv8/25_hires.png,Common,0.030000,0.080000,Pokémon
sv8-26,Oricorio,https://images.pokemontcg.io/sv8/26_hires.png,Common,0.030000,0.060000,Pokémon
sv8-27,Sizzlipede,https://images.pokemontcg.io/sv8/27_hires.png,Common,0.020000,0.040000,Pokémon
sv8-28,Centiskorch,https://images.pokemontcg.io/sv8/28_hires.png,Common,0.040000,0.050000,Pokémon
sv8-29,Fuecoco,https://images.pokemontcg.io/sv8/29_hires.png,Common,7.890000,0.060000,Pokémon
sv8-30,Crocalor,https://images.pokemontcg.io/sv8/30_hires.png,Common,0.030000,0.070000,Pokémon
sv8-31,Skeledirge,https://images.pokemontcg.io/sv8/31_hires.png,Rare,0.050000,0.100000,Pokémon
sv8-32,Charcadet,https://images.pokemontcg.io/sv8/32_hires.png,Common,0.060000,0.160000,Pokémon
sv8-33,Charcadet,https://images.pokemontcg.io/sv8/33_hires.png,Common,0.030000,0.050000,Pokémon
sv8-34,Armarouge,https://images.pokemontcg.io/sv8/34_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-35,Ceruledge,https://images.pokemontcg.io/sv8/35_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv8-36,Ceruledge ex,https://images.pokemontcg.io/sv8/36_hires.png,Double Rare,1.550000,1.380000,Pokémon
sv8-37,Scovillain ex,https://images.pokemontcg.io/sv8/37_hires.png,Double Rare,0.510000,0.470000,Pokémon
sv8-38,Gouging Fire,https://images.pokemontcg.io/sv8/38_hires.png,Rare,0.060000,0.150000,Pokémon
sv8-39,Paldean Tauros,https://images.pokemontcg.io/sv8/39_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv8-40,Mantine,https://images.pokemontcg.io/sv8/40_hires.png,Common,0.030000,0.070000,Pokémon
sv8-41,Feebas,https://images.pokemontcg.io/sv8/41_hires.png,Common,0.050000,0.050000,Pokémon
sv8-42,Milotic ex,https://images.pokemontcg.io/sv8/42_hires.png,Double Rare,1.050000,0.560000,Pokémon
sv8-43,Spheal,https://images.pokemontcg.io/sv8/43_hires.png,Common,0.030000,0.060000,Pokémon
sv8-44,Sealeo,https://images.pokemontcg.io/sv8/44_hires.png,Common,0.040000,0.070000,Pokémon
sv8-45,Walrein,https://images.pokemontcg.io/sv8/45_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-46,Shellos,https://images.pokemontcg.io/sv8/46_hires.png,Common,0.020000,0.040000,Pokémon
sv8-47,Cryogonal,https://images.pokemontcg.io/sv8/47_hires.png,Common,0.030000,0.040000,Pokémon
sv8-48,Black Kyurem ex,https://images.pokemontcg.io/sv8/48_hires.png,Double Rare,0.700000,0.580000,Pokémon
sv8-49,Bruxish,https://images.pokemontcg.io/sv8/49_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-50,Quaxly,https://images.pokemontcg.io/sv8/50_hires.png,Common,0.030000,0.040000,Pokémon
sv8-51,Quaxwell,https://images.pokemontcg.io/sv8/51_hires.png,Common,0.030000,0.050000,Pokémon
sv8-52,Quaquaval,https://images.pokemontcg.io/sv8/52_hires.png,Uncommon,0.030000,0.050000,Pokémon
sv8-53,Cetoddle,https://images.pokemontcg.io/sv8/53_hires.png,Common,0.030000,0.040000,Pokémon
sv8-54,Cetitan,https://images.pokemontcg.io/sv8/54_hires.png,Common,0.030000,0.050000,Pokémon
sv8-55,Iron Bundle,https://images.pokemontcg.io/sv8/55_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-56,Chien-Pao,https://images.pokemontcg.io/sv8/56_hires.png,Rare,0.070000,0.120000,Pokémon
sv8-57,Pikachu ex,https://images.pokemontcg.io/sv8/57_hires.png,Double Rare,5.910000,4.680000,Pokémon
sv8-58,Magnemite,https://images.pokemontcg.io/sv8/58_hires.png,Common,0.030000,0.100000,Pokémon
sv8-59,Magneton,https://images.pokemontcg.io/sv8/59_hires.png,Uncommon,0.050000,0.100000,Pokémon
sv8-60,Magnezone,https://images.pokemontcg.io/sv8/60_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv8-61,Rotom,https://images.pokemontcg.io/sv8/61_hires.png,Common,0.030000,0.050000,Pokémon
sv8-62,Blitzle,https://images.pokemontcg.io/sv8/62_hires.png,Common,0.020000,0.050000,Pokémon
sv8-63,Zebstrika,https://images.pokemontcg.io/sv8/63_hires.png,Common,0.030000,0.070000,Pokémon
sv8-64,Stunfisk,https://images.pokemontcg.io/sv8/64_hires.png,Common,0.030000,0.060000,Pokémon
sv8-65,Tapu Koko,https://images.pokemontcg.io/sv8/65_hires.png,Rare,0.070000,0.120000,Pokémon
sv8-66,Wattrel,https://images.pokemontcg.io/sv8/66_hires.png,Common,0.020000,0.030000,Pokémon
sv8-67,Kilowattrel,https://images.pokemontcg.io/sv8/67_hires.png,Uncommon,0.030000,0.040000,Pokémon
sv8-68,Kilowattrel ex,https://images.pokemontcg.io/sv8/68_hires.png,Double Rare,0.520000,0.440000,Pokémon
sv8-69,Miraidon,https://images.pokemontcg.io/sv8/69_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-70,Togepi,https://images.pokemontcg.io/sv8/70_hires.png,Common,0.030000,0.070000,Pokémon
sv8-71,Togetic,https://images.pokemontcg.io/sv8/71_hires.png,Common,0.040000,0.070000,Pokémon
sv8-72,Togekiss,https://images.pokemontcg.io/sv8/72_hires.png,Rare,0.050000,0.140000,Pokémon
sv8-73,Marill,https://images.pokemontcg.io/sv8/73_hires.png,Common,0.030000,0.050000,Pokémon
sv8-74,Azumarill,https://images.pokemontcg.io/sv8/74_hires.png,Uncommon,0.040000,0.090000,Pokémon
sv8-75,Smoochum,https://images.pokemontcg.io/sv8/75_hires.png,Common,0.040000,0.130000,Pokémon
sv8-76,Latias ex,https://images.pokemontcg.io/sv8/76_hires.png,Double Rare,5.130000,6.200000,Pokémon
sv8-77,Latios,https://images.pokemontcg.io/sv8/77_hires.png,Uncommon,0.030000,0.110000,Pokémon
sv8-78,Uxie,https://images.pokemontcg.io/sv8/78_hires.png,Common,0.040000,0.120000,Pokémon
sv8-79,Mesprit,https://images.pokemontcg.io/sv8/79_hires.png,Common,0.040000,0.100000,Pokémon
sv8-80,Azelf,https://images.pokemontcg.io/sv8/80_hires.png,Common,0.040000,0.070000,Pokémon
sv8-81,Sigilyph,https://images.pokemontcg.io/sv8/81_hires.png,Common,0.030000,0.080000,Pokémon
sv8-82,Yamask,https://images.pokemontcg.io/sv8/82_hires.png,Common,0.020000,0.050000,Pokémon
sv8-83,Cofagrigus,https://images.pokemontcg.io/sv8/83_hires.png,Rare,0.040000,0.090000,Pokémon
sv8-84,Espurr,https://images.pokemontcg.io/sv8/84_hires.png,Common,0.020000,0.040000,Pokémon
sv8-85,Meowstic,https://images.pokemontcg.io/sv8/85_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv8-86,Sylveon ex,https://images.pokemontcg.io/sv8/86_hires.png,Double Rare,1.660000,2.140000,Pokémon
sv8-87,Dedenne,https://images.pokemontcg.io/sv8/87_hires.png,Common,0.040000,0.060000,Pokémon
sv8-88,Xerneas,https://images.pokemontcg.io/sv8/88_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv8-89,Oricorio,https://images.pokemontcg.io/sv8/89_hires.png,Common,0.030000,0.040000,Pokémon
sv8-90,Sandygast,https://images.pokemontcg.io/sv8/90_hires.png,Common,0.020000,0.050000,Pokémon
sv8-91,Palossand ex,https://images.pokemontcg.io/sv8/91_hires.png,Double Rare,0.600000,0.490000,Pokémon
sv8-92,Tapu Lele,https://images.pokemontcg.io/sv8/92_hires.png,Rare,0.050000,0.110000,Pokémon
sv8-93,Indeedee,https://images.pokemontcg.io/sv8/93_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-94,Flittle,https://images.pokemontcg.io/sv8/94_hires.png,Common,0.030000,0.070000,Pokémon
sv8-95,Espathra,https://images.pokemontcg.io/sv8/95_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-96,Flutter Mane,https://images.pokemontcg.io/sv8/96_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv8-97,Gimmighoul,https://images.pokemontcg.io/sv8/97_hires.png,Common,0.100000,0.190000,Pokémon
sv8-98,Mankey,https://images.pokemontcg.io/sv8/98_hires.png,Common,0.030000,0.050000,Pokémon
sv8-99,Primeape,https://images.pokemontcg.io/sv8/99_hires.png,Common,0.040000,0.050000,Pokémon
sv8-100,Annihilape,https://images.pokemontcg.io/sv8/100_hires.png,Uncommon,0.040000,0.040000,Pokémon
sv8-101,Paldean Tauros,https://images.pokemontcg.io/sv8/101_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv8-102,Phanpy,https://images.pokemontcg.io/sv8/102_hires.png,Common,0.030000,0.080000,Pokémon
sv8-103,Donphan,https://images.pokemontcg.io/sv8/103_hires.png,Common,0.030000,0.040000,Pokémon
sv8-104,Trapinch,https://images.pokemontcg.io/sv8/104_hires.png,Common,0.030000,0.050000,Pokémon
sv8-105,Vibrava,https://images.pokemontcg.io/sv8/105_hires.png,Common,0.040000,0.090000,Pokémon
