id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh1-1,Celebi V,https://images.pokemontcg.io/swsh1/1_hires.png,Rare Holo V,2.390000,1.280000,Pokémon
swsh1-2,Roselia,https://images.pokemontcg.io/swsh1/2_hires.png,Common,0.060000,0.080000,Pokémon
swsh1-3,Roselia,https://images.pokemontcg.io/swsh1/3_hires.png,Common,0.040000,0.060000,Pokémon
swsh1-4,Roserade,https://images.pokemontcg.io/swsh1/4_hires.png,Rare,0.390000,0.160000,Pokémon
swsh1-5,Cottonee,https://images.pokemontcg.io/swsh1/5_hires.png,Common,0.060000,0.070000,Pokémon
swsh1-6,Whimsicott,https://images.pokemontcg.io/swsh1/6_hires.png,Rare,0.280000,0.210000,Pokémon
swsh1-7,Maractus,https://images.pokemontcg.io/swsh1/7_hires.png,Common,0.060000,0.080000,Pokémon
swsh1-8,Durant,https://images.pokemontcg.io/swsh1/8_hires.png,Rare,0.150000,0.130000,Pokémon
swsh1-9,Dhelmise V,https://images.pokemontcg.io/swsh1/9_hires.png,Rare Holo V,1.180000,0.510000,Pokémon
swsh1-10,Grookey,https://images.pokemontcg.io/swsh1/10_hires.png,Common,0.050000,0.050000,Pokémon
swsh1-11,Grookey,https://images.pokemontcg.io/swsh1/11_hires.png,Common,0.100000,0.060000,Pokémon
swsh1-12,Thwackey,https://images.pokemontcg.io/swsh1/12_hires.png,Uncommon,0.080000,0.060000,Pokémon
swsh1-13,Thwackey,https://images.pokemontcg.io/swsh1/13_hires.png,Uncommon,0.110000,0.110000,Pokémon
swsh1-14,Rillaboom,https://images.pokemontcg.io/swsh1/14_hires.png,Rare Holo,0.400000,0.220000,Pokémon
swsh1-15,Rillaboom,https://images.pokemontcg.io/swsh1/15_hires.png,Rare,0.750000,0.320000,Pokémon
swsh1-16,Blipbug,https://images.pokemontcg.io/swsh1/16_hires.png,Common,0.060000,0.040000,Pokémon
swsh1-17,Blipbug,https://images.pokemontcg.io/swsh1/17_hires.png,Common,0.050000,0.060000,Pokémon
swsh1-18,Dottler,https://images.pokemontcg.io/swsh1/18_hires.png,Uncommon,0.060000,0.060000,Pokémon
swsh1-19,Orbeetle,https://images.pokemontcg.io/swsh1/19_hires.png,Rare,0.200000,0.190000,Pokémon
swsh1-20,Gossifleur,https://images.pokemontcg.io/swsh1/20_hires.png,Common,0.090000,0.070000,Pokémon
swsh1-21,Eldegoss,https://images.pokemontcg.io/swsh1/21_hires.png,Uncommon,0.080000,0.060000,Pokémon
swsh1-22,Vulpix,https://images.pokemontcg.io/swsh1/22_hires.png,Common,0.050000,0.130000,Pokémon
swsh1-23,Ninetales,https://images.pokemontcg.io/swsh1/23_hires.png,Rare,0.210000,0.240000,Pokémon
swsh1-24,Torkoal V,https://images.pokemontcg.io/swsh1/24_hires.png,Rare Holo V,1.310000,0.770000,Pokémon
swsh1-25,Victini V,https://images.pokemontcg.io/swsh1/25_hires.png,Rare Holo V,1.430000,0.760000,Pokémon
swsh1-26,Heatmor,https://images.pokemontcg.io/swsh1/26_hires.png,Uncommon,0.050000,0.070000,Pokémon
swsh1-27,Salandit,https://images.pokemontcg.io/swsh1/27_hires.png,Common,0.050000,0.040000,Pokémon
swsh1-28,Salazzle,https://images.pokemontcg.io/swsh1/28_hires.png,Uncommon,0.110000,0.130000,Pokémon
swsh1-29,Turtonator,https://images.pokemontcg.io/swsh1/29_hires.png,Rare,0.160000,0.170000,Pokémon
swsh1-30,Scorbunny,https://images.pokemontcg.io/swsh1/30_hires.png,Common,0.070000,0.090000,Pokémon
swsh1-31,Scorbunny,https://images.pokemontcg.io/swsh1/31_hires.png,Common,0.130000,0.110000,Pokémon
swsh1-32,Raboot,https://images.pokemontcg.io/swsh1/32_hires.png,Uncommon,0.100000,0.130000,Pokémon
swsh1-33,Raboot,https://images.pokemontcg.io/swsh1/33_hires.png,Uncommon,0.070000,0.090000,Pokémon
swsh1-34,Cinderace,https://images.pokemontcg.io/swsh1/34_hires.png,Rare Holo,0.670000,0.410000,Pokémon
swsh1-35,Cinderace,https://images.pokemontcg.io/swsh1/35_hires.png,Rare Holo,0.560000,0.350000,Pokémon
swsh1-36,Cinderace,https://images.pokemontcg.io/swsh1/36_hires.png,Rare,0.900000,0.280000,Pokémon
