id,name,image,rarity,card_market_price,tcg_market_price,supertype
swshp-SWSH001,Grookey,https://images.pokemontcg.io/swshp/SWSH001_hires.png,Promo,1.830000,2.410000,Pokémon
swshp-SWSH002,Scorbunny,https://images.pokemontcg.io/swshp/SWSH002_hires.png,Promo,1.390000,3.200000,Pokémon
swshp-SWSH003,Sobble,https://images.pokemontcg.io/swshp/SWSH003_hires.png,Promo,1.160000,2.930000,Pokémon
swshp-SWSH004,Meowth V,https://images.pokemontcg.io/swshp/SWSH004_hires.png,Promo,2.230000,1.200000,Pokémon
swshp-SWSH005,Meowth VMAX,https://images.pokemontcg.io/swshp/SWSH005_hires.png,Promo,3.680000,3.790000,Pokémon
swshp-SWSH006,Rillaboom,https://images.pokemontcg.io/swshp/SWSH006_hires.png,Promo,25.460000,5.640000,Pokémon
swshp-SWSH007,Frosmoth,https://images.pokemontcg.io/swshp/SWSH007_hires.png,Promo,26.250000,64.500000,Pokémon
swshp-SWSH008,Galarian Perrserker,https://images.pokemontcg.io/swshp/SWSH008_hires.png,Promo,0,4.140000,Pokémon
swshp-SWSH009,Cinccino,https://images.pokemontcg.io/swshp/SWSH009_hires.png,Promo,19.170000,72.770000,Pokémon
swshp-SWSH010,Gossifleur,https://images.pokemontcg.io/swshp/SWSH010_hires.png,Promo,1.080000,0.390000,Pokémon
swshp-SWSH011,Wooloo,https://images.pokemontcg.io/swshp/SWSH011_hires.png,Promo,2.430000,0.960000,Pokémon
swshp-SWSH012,Morpeko,https://images.pokemontcg.io/swshp/SWSH012_hires.png,Promo,1.180000,0.930000,Pokémon
swshp-SWSH013,Galarian Ponyta,https://images.pokemontcg.io/swshp/SWSH013_hires.png,Promo,3.120000,3.240000,Pokémon
swshp-SWSH014,Rillaboom V,https://images.pokemontcg.io/swshp/SWSH014_hires.png,Promo,1.130000,0.570000,Pokémon
swshp-SWSH015,Cinderace V,https://images.pokemontcg.io/swshp/SWSH015_hires.png,Promo,1.060000,0.650000,Pokémon
swshp-SWSH016,Inteleon V,https://images.pokemontcg.io/swshp/SWSH016_hires.png,Promo,1.010000,0.640000,Pokémon
swshp-SWSH017,Toxtricity V,https://images.pokemontcg.io/swshp/SWSH017_hires.png,Promo,3.220000,0.840000,Pokémon
swshp-SWSH018,Zacian V,https://images.pokemontcg.io/swshp/SWSH018_hires.png,Promo,1.190000,0.700000,Pokémon
swshp-SWSH019,Zamazenta V,https://images.pokemontcg.io/swshp/SWSH019_hires.png,Promo,1.180000,0.590000,Pokémon
swshp-SWSH020,Pikachu,https://images.pokemontcg.io/swshp/SWSH020_hires.png,Promo,33.700000,48.330000,Pokémon
swshp-SWSH021,Polteageist V,https://images.pokemontcg.io/swshp/SWSH021_hires.png,Promo,1.670000,1.300000,Pokémon
swshp-SWSH022,Flapple,https://images.pokemontcg.io/swshp/SWSH022_hires.png,Promo,21.800000,32.120000,Pokémon
swshp-SWSH023,Luxray,https://images.pokemontcg.io/swshp/SWSH023_hires.png,Promo,27.730000,45.400000,Pokémon
swshp-SWSH024,Coalossal,https://images.pokemontcg.io/swshp/SWSH024_hires.png,Promo,18.680000,16.650000,Pokémon
swshp-SWSH025,Garbodor,https://images.pokemontcg.io/swshp/SWSH025_hires.png,Promo,19.500000,25.990000,Pokémon
swshp-SWSH026,Mantine,https://images.pokemontcg.io/swshp/SWSH026_hires.png,Promo,2.990000,1.160000,Pokémon
swshp-SWSH027,Noctowl,https://images.pokemontcg.io/swshp/SWSH027_hires.png,Promo,3.570000,1.480000,Pokémon
swshp-SWSH028,Duraludon,https://images.pokemontcg.io/swshp/SWSH028_hires.png,Promo,0.350000,0.540000,Pokémon
swshp-SWSH029,Rayquaza,https://images.pokemontcg.io/swshp/SWSH029_hires.png,Promo,4.420000,1.580000,Pokémon
swshp-SWSH030,Copperajah V,https://images.pokemontcg.io/swshp/SWSH030_hires.png,Promo,0.990000,0.590000,Pokémon
swshp-SWSH031,Morpeko,https://images.pokemontcg.io/swshp/SWSH031_hires.png,Promo,1.860000,0.200000,Pokémon
swshp-SWSH032,Snorlax,https://images.pokemontcg.io/swshp/SWSH032_hires.png,Promo,11.750000,9.570000,Pokémon
swshp-SWSH033,Zacian,https://images.pokemontcg.io/swshp/SWSH033_hires.png,Promo,3.570000,3.430000,Pokémon
swshp-SWSH034,Zamazenta,https://images.pokemontcg.io/swshp/SWSH034_hires.png,Promo,1.850000,3.470000,Pokémon
swshp-SWSH035,Decidueye,https://images.pokemontcg.io/swshp/SWSH035_hires.png,Promo,16.650000,5.740000,Pokémon
swshp-SWSH036,Arctozolt,https://images.pokemontcg.io/swshp/SWSH036_hires.png,Promo,26,51.450000,Pokémon
swshp-SWSH037,Hydreigon,https://images.pokemontcg.io/swshp/SWSH037_hires.png,Promo,10.260000,6.370000,Pokémon
swshp-SWSH038,Kangaskhan,https://images.pokemontcg.io/swshp/SWSH038_hires.png,Promo,25.490000,11.420000,Pokémon
swshp-SWSH039,Pikachu,https://images.pokemontcg.io/swshp/SWSH039_hires.png,Promo,4.760000,3.510000,Pokémon
swshp-SWSH040,Hatenna,https://images.pokemontcg.io/swshp/SWSH040_hires.png,Promo,0,0.360000,Pokémon
swshp-SWSH041,Flareon,https://images.pokemontcg.io/swshp/SWSH041_hires.png,Promo,5.140000,4.270000,Pokémon
swshp-SWSH042,Eevee,https://images.pokemontcg.io/swshp/SWSH042_hires.png,Promo,5.510000,4.270000,Pokémon
swshp-SWSH043,Galarian Sirfetch'd V,https://images.pokemontcg.io/swshp/SWSH043_hires.png,Promo,1.650000,0.900000,Pokémon
swshp-SWSH044,Eternatus V,https://images.pokemontcg.io/swshp/SWSH044_hires.png,Promo,4.270000,1.740000,Pokémon
swshp-SWSH045,Eternatus VMAX,https://images.pokemontcg.io/swshp/SWSH045_hires.png,Promo,5.090000,2.490000,Pokémon
swshp-SWSH046,Eldegoss,https://images.pokemontcg.io/swshp/SWSH046_hires.png,Promo,0.470000,0.710000,Pokémon
swshp-SWSH047,Drednaw,https://images.pokemontcg.io/swshp/SWSH047_hires.png,Promo,0.490000,0.940000,Pokémon
swshp-SWSH048,Centiskorch,https://images.pokemontcg.io/swshp/SWSH048_hires.png,Promo,0.530000,0.950000,Pokémon
swshp-SWSH049,Dubwool V,https://images.pokemontcg.io/swshp/SWSH049_hires.png,Promo,0.850000,0.520000,Pokémon
swshp-SWSH050,Charizard V,https://images.pokemontcg.io/swshp/SWSH050_hires.png,Promo,10.330000,7.740000,Pokémon
swshp-SWSH051,Lapras,https://images.pokemontcg.io/swshp/SWSH051_hires.png,Promo,1.340000,2.530000,Pokémon
swshp-SWSH052,Gengar,https://images.pokemontcg.io/swshp/SWSH052_hires.png,Promo,25.110000,39.450000,Pokémon
swshp-SWSH053,Machamp,https://images.pokemontcg.io/swshp/SWSH053_hires.png,Promo,0.920000,0.890000,Pokémon
swshp-SWSH054,Coalossal,https://images.pokemontcg.io/swshp/SWSH054_hires.png,Promo,0.750000,0.800000,Pokémon
swshp-SWSH055,Hatterene V,https://images.pokemontcg.io/swshp/SWSH055_hires.png,Promo,1.310000,0.530000,Pokémon
swshp-SWSH056,Morpeko V,https://images.pokemontcg.io/swshp/SWSH056_hires.png,Promo,1.120000,0.900000,Pokémon
swshp-SWSH057,Grimmsnarl V,https://images.pokemontcg.io/swshp/SWSH057_hires.png,Promo,0.980000,0.910000,Pokémon
swshp-SWSH058,Alcremie,https://images.pokemontcg.io/swshp/SWSH058_hires.png,Promo,1.640000,2.320000,Pokémon
swshp-SWSH059,Galarian Obstagoon,https://images.pokemontcg.io/swshp/SWSH059_hires.png,Promo,1.710000,1.170000,Pokémon
swshp-SWSH060,Duraludon,https://images.pokemontcg.io/swshp/SWSH060_hires.png,Promo,1.380000,1.600000,Pokémon
swshp-SWSH063,Pikachu V,https://images.pokemontcg.io/swshp/SWSH063_hires.png,Promo,6.470000,2.700000,Pokémon
swshp-SWSH064,Eternatus V,https://images.pokemontcg.io/swshp/SWSH064_hires.png,Promo,2.530000,1.450000,Pokémon
swshp-SWSH065,Eevee V,https://images.pokemontcg.io/swshp/SWSH065_hires.png,Promo,7.050000,3.280000,Pokémon
swshp-SWSH066,Charizard,https://images.pokemontcg.io/swshp/SWSH066_hires.png,Promo,149.490000,550,Pokémon
swshp-SWSH067,Donphan,https://images.pokemontcg.io/swshp/SWSH067_hires.png,Promo,6.460000,3.510000,Pokémon
swshp-SWSH068,Snorlax,https://images.pokemontcg.io/swshp/SWSH068_hires.png,Promo,20.480000,163.100000,Pokémon
swshp-SWSH069,Lugia,https://images.pokemontcg.io/swshp/SWSH069_hires.png,Promo,56.530000,17.120000,Pokémon
swshp-SWSH070,Grookey,https://images.pokemontcg.io/swshp/SWSH070_hires.png,Promo,0.980000,0.430000,Pokémon
swshp-SWSH071,Scorbunny,https://images.pokemontcg.io/swshp/SWSH071_hires.png,Promo,1.210000,0.460000,Pokémon
swshp-SWSH072,Vaporeon,https://images.pokemontcg.io/swshp/SWSH072_hires.png,Promo,3.560000,2.700000,Pokémon
swshp-SWSH073,Sobble,https://images.pokemontcg.io/swshp/SWSH073_hires.png,Promo,0.490000,0.730000,Pokémon
swshp-SWSH074,Special Delivery Pikachu,https://images.pokemontcg.io/swshp/SWSH074_hires.png,Promo,224.390000,199.530000,Pokémon
swshp-SWSH061,Pikachu V,https://images.pokemontcg.io/swshp/SWSH061_hires.png,Promo,1.030000,0.770000,Pokémon
swshp-SWSH076,Zacian V,https://images.pokemontcg.io/swshp/SWSH076_hires.png,Promo,7.060000,5.510000,Pokémon
swshp-SWSH077,Zamazenta V,https://images.pokemontcg.io/swshp/SWSH077_hires.png,Promo,6.360000,4.370000,Pokémon
swshp-SWSH078,Orbeetle V,https://images.pokemontcg.io/swshp/SWSH078_hires.png,Promo,1.500000,0.530000,Pokémon
swshp-SWSH079,Galarian Mr. Rime,https://images.pokemontcg.io/swshp/SWSH079_hires.png,Promo,0.450000,0.510000,Pokémon
swshp-SWSH080,Dedenne,https://images.pokemontcg.io/swshp/SWSH080_hires.png,Promo,0.370000,0.690000,Pokémon
swshp-SWSH081,Polteageist,https://images.pokemontcg.io/swshp/SWSH081_hires.png,Promo,0.470000,0.470000,Pokémon
swshp-SWSH082,Bunnelby,https://images.pokemontcg.io/swshp/SWSH082_hires.png,Promo,0.430000,0.530000,Pokémon
swshp-SWSH083,Alakazam V,https://images.pokemontcg.io/swshp/SWSH083_hires.png,Promo,1.190000,0.990000,Pokémon
swshp-SWSH084,Eldegoss V,https://images.pokemontcg.io/swshp/SWSH084_hires.png,Promo,8.500000,0.570000,Pokémon
swshp-SWSH085,Boltund V,https://images.pokemontcg.io/swshp/SWSH085_hires.png,Promo,8.500000,0.630000,Pokémon
swshp-SWSH086,Cramorant V,https://images.pokemontcg.io/swshp/SWSH086_hires.png,Promo,1.260000,0.840000,Pokémon
