id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex7-1,Azumarill,https://images.pokemontcg.io/ex7/1_hires.png,Rare Holo,5.580000,5.500000,Pokémon
ex7-2,Dark Ampharos,https://images.pokemontcg.io/ex7/2_hires.png,Rare Holo,25.500000,51.920000,Pokémon
ex7-3,Dark Crobat,https://images.pokemontcg.io/ex7/3_hires.png,Rare Holo,12.370000,24.050000,Pokémon
ex7-4,Dark Electrode,https://images.pokemontcg.io/ex7/4_hires.png,Rare Holo,19.250000,24.690000,Pokémon
ex7-5,Dark Houndoom,https://images.pokemontcg.io/ex7/5_hires.png,Rare Holo,12.820000,20.470000,Pokémon
ex7-6,Dark Hypno,https://images.pokemontcg.io/ex7/6_hires.png,Rare Holo,0,39.700000,Pokémon
ex7-7,Dark Marowak,https://images.pokemontcg.io/ex7/7_hires.png,Rare Holo,12.100000,41.150000,Pokémon
ex7-8,Dark Octillery,https://images.pokemontcg.io/ex7/8_hires.png,Rare Holo,7.750000,16.490000,Pokémon
ex7-9,Dark Slowking,https://images.pokemontcg.io/ex7/9_hires.png,Rare Holo,0,41.620000,Pokémon
ex7-10,Dark Steelix,https://images.pokemontcg.io/ex7/10_hires.png,Rare Holo,9.490000,38.560000,Pokémon
ex7-11,Jumpluff,https://images.pokemontcg.io/ex7/11_hires.png,Rare Holo,8.860000,12.570000,Pokémon
ex7-12,Kingdra,https://images.pokemontcg.io/ex7/12_hires.png,Rare Holo,17.500000,25.760000,Pokémon
ex7-13,Piloswine,https://images.pokemontcg.io/ex7/13_hires.png,Rare Holo,7.420000,13.340000,Pokémon
ex7-14,Togetic,https://images.pokemontcg.io/ex7/14_hires.png,Rare Holo,8.330000,6.440000,Pokémon
ex7-15,Dark Dragonite,https://images.pokemontcg.io/ex7/15_hires.png,Rare,22.820000,51.190000,Pokémon
ex7-16,Dark Muk,https://images.pokemontcg.io/ex7/16_hires.png,Rare,3.240000,5.030000,Pokémon
ex7-17,Dark Raticate,https://images.pokemontcg.io/ex7/17_hires.png,Rare,3.130000,3.040000,Pokémon
ex7-18,Dark Sandslash,https://images.pokemontcg.io/ex7/18_hires.png,Rare,3.740000,7.550000,Pokémon
ex7-19,Dark Tyranitar,https://images.pokemontcg.io/ex7/19_hires.png,Rare,8.490000,23.610000,Pokémon
ex7-20,Dark Tyranitar,https://images.pokemontcg.io/ex7/20_hires.png,Rare,5.950000,14.740000,Pokémon
ex7-21,Delibird,https://images.pokemontcg.io/ex7/21_hires.png,Rare,3.350000,6.680000,Pokémon
ex7-22,Furret,https://images.pokemontcg.io/ex7/22_hires.png,Rare,7.480000,11.780000,Pokémon
ex7-23,Ledian,https://images.pokemontcg.io/ex7/23_hires.png,Rare,1.830000,1.850000,Pokémon
ex7-24,Magby,https://images.pokemontcg.io/ex7/24_hires.png,Rare,3.370000,2.550000,Pokémon
