id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm9-1,Celebi & Venusaur-GX,https://images.pokemontcg.io/sm9/1_hires.png,Rare Holo GX,27.410000,45.130000,Pokémon
sm9-2,Weedle,https://images.pokemontcg.io/sm9/2_hires.png,Common,0.140000,0.190000,Pokémon
sm9-3,Weedle,https://images.pokemontcg.io/sm9/3_hires.png,Common,0.120000,0.120000,Pokémon
sm9-4,Kakuna,https://images.pokemontcg.io/sm9/4_hires.png,Uncommon,0.120000,0.260000,Pokémon
sm9-5,Beedrill,https://images.pokemontcg.io/sm9/5_hires.png,Rare,0.350000,0.430000,Pokémon
sm9-6,Paras,https://images.pokemontcg.io/sm9/6_hires.png,Common,0.130000,0.120000,Pokémon
sm9-7,Parasect,https://images.pokemontcg.io/sm9/7_hires.png,Rare,0.490000,0.360000,Pokémon
sm9-8,Exeggcute,https://images.pokemontcg.io/sm9/8_hires.png,Common,0.080000,0.120000,Pokémon
sm9-9,Pinsir,https://images.pokemontcg.io/sm9/9_hires.png,Rare,0.250000,0.300000,Pokémon
sm9-10,Shaymin ◇,https://images.pokemontcg.io/sm9/10_hires.png,Rare Prism Star,2.320000,1.610000,Pokémon
sm9-11,Charmander,https://images.pokemontcg.io/sm9/11_hires.png,Common,0.280000,0.300000,Pokémon
sm9-12,Charmander,https://images.pokemontcg.io/sm9/12_hires.png,Common,0.280000,0.340000,Pokémon
sm9-13,Charmeleon,https://images.pokemontcg.io/sm9/13_hires.png,Uncommon,0.220000,0.260000,Pokémon
sm9-14,Charizard,https://images.pokemontcg.io/sm9/14_hires.png,Rare,8.870000,8.530000,Pokémon
sm9-15,Vulpix,https://images.pokemontcg.io/sm9/15_hires.png,Common,0,0.200000,Pokémon
sm9-16,Ninetales,https://images.pokemontcg.io/sm9/16_hires.png,Rare,1.340000,0.820000,Pokémon
sm9-17,Ponyta,https://images.pokemontcg.io/sm9/17_hires.png,Common,0.080000,0.180000,Pokémon
sm9-18,Rapidash,https://images.pokemontcg.io/sm9/18_hires.png,Uncommon,0.150000,0.190000,Pokémon
sm9-19,Moltres,https://images.pokemontcg.io/sm9/19_hires.png,Rare Holo,3.970000,1.930000,Pokémon
sm9-20,Litten,https://images.pokemontcg.io/sm9/20_hires.png,Common,0.130000,0.160000,Pokémon
sm9-21,Torracat,https://images.pokemontcg.io/sm9/21_hires.png,Uncommon,0.150000,0.190000,Pokémon
sm9-22,Squirtle,https://images.pokemontcg.io/sm9/22_hires.png,Common,0.260000,0.530000,Pokémon
sm9-23,Squirtle,https://images.pokemontcg.io/sm9/23_hires.png,Common,0.190000,0.570000,Pokémon
sm9-24,Wartortle,https://images.pokemontcg.io/sm9/24_hires.png,Uncommon,0.160000,0.410000,Pokémon
sm9-25,Blastoise,https://images.pokemontcg.io/sm9/25_hires.png,Rare,10.010000,5.180000,Pokémon
sm9-26,Psyduck,https://images.pokemontcg.io/sm9/26_hires.png,Common,0.150000,0.250000,Pokémon
sm9-27,Golduck,https://images.pokemontcg.io/sm9/27_hires.png,Uncommon,0.130000,0.130000,Pokémon
sm9-28,Staryu,https://images.pokemontcg.io/sm9/28_hires.png,Common,0.060000,0.180000,Pokémon
sm9-29,Magikarp,https://images.pokemontcg.io/sm9/29_hires.png,Common,0.150000,0.290000,Pokémon
sm9-30,Gyarados,https://images.pokemontcg.io/sm9/30_hires.png,Rare Holo,2.490000,2.690000,Pokémon
sm9-31,Lapras,https://images.pokemontcg.io/sm9/31_hires.png,Rare,0.690000,2.050000,Pokémon
sm9-32,Articuno,https://images.pokemontcg.io/sm9/32_hires.png,Rare Holo,2.780000,2.730000,Pokémon
sm9-33,Pikachu & Zekrom-GX,https://images.pokemontcg.io/sm9/33_hires.png,Rare Holo GX,27.700000,37.190000,Pokémon
sm9-34,Alolan Geodude,https://images.pokemontcg.io/sm9/34_hires.png,Common,0.140000,0.170000,Pokémon
sm9-35,Alolan Geodude,https://images.pokemontcg.io/sm9/35_hires.png,Common,0.120000,0.280000,Pokémon
sm9-36,Alolan Graveler,https://images.pokemontcg.io/sm9/36_hires.png,Uncommon,0.140000,0.160000,Pokémon
