id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv5-1,Scyther,https://images.pokemontcg.io/sv5/1_hires.png,Common,0.040000,0.060000,Pokémon
sv5-2,Pineco,https://images.pokemontcg.io/sv5/2_hires.png,Common,0.020000,0.030000,Pokémon
sv5-3,Seedot,https://images.pokemontcg.io/sv5/3_hires.png,Common,0.030000,0.080000,Pokémon
sv5-4,Nuzleaf,https://images.pokemontcg.io/sv5/4_hires.png,Common,0.040000,0.060000,Pokémon
sv5-5,Shiftry,https://images.pokemontcg.io/sv5/5_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv5-6,Shroomish,https://images.pokemontcg.io/sv5/6_hires.png,Common,0.030000,0.040000,Pokémon
sv5-7,Breloom,https://images.pokemontcg.io/sv5/7_hires.png,Common,0.040000,0.070000,Pokémon
sv5-8,Roselia,https://images.pokemontcg.io/sv5/8_hires.png,Common,0.020000,0.050000,Pokémon
sv5-9,Roserade,https://images.pokemontcg.io/sv5/9_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv5-10,Turtwig,https://images.pokemontcg.io/sv5/10_hires.png,Common,0.040000,0.080000,Pokémon
sv5-11,Grotle,https://images.pokemontcg.io/sv5/11_hires.png,Common,0.040000,0.090000,Pokémon
sv5-12,Torterra ex,https://images.pokemontcg.io/sv5/12_hires.png,Double Rare,0.760000,0.630000,Pokémon
sv5-13,Shaymin,https://images.pokemontcg.io/sv5/13_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv5-15,Whimsicott,https://images.pokemontcg.io/sv5/15_hires.png,Rare,0.050000,0.140000,Pokémon
sv5-14,Cottonee,https://images.pokemontcg.io/sv5/14_hires.png,Common,0.030000,0.040000,Pokémon
sv5-16,Deerling,https://images.pokemontcg.io/sv5/16_hires.png,Common,0.030000,0.090000,Pokémon
sv5-17,Sawsbuck,https://images.pokemontcg.io/sv5/17_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv5-18,Grubbin,https://images.pokemontcg.io/sv5/18_hires.png,Common,0.020000,0.040000,Pokémon
sv5-20,Bramblin,https://images.pokemontcg.io/sv5/20_hires.png,Common,0.030000,0.050000,Pokémon
sv5-21,Brambleghast,https://images.pokemontcg.io/sv5/21_hires.png,Rare,0.050000,0.070000,Pokémon
sv5-24,Rabsca,https://images.pokemontcg.io/sv5/24_hires.png,Uncommon,0.050000,0.100000,Pokémon
sv5-19,Dhelmise,https://images.pokemontcg.io/sv5/19_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv5-23,Rellor,https://images.pokemontcg.io/sv5/23_hires.png,Common,0.030000,0.060000,Pokémon
sv5-22,Scovillain ex,https://images.pokemontcg.io/sv5/22_hires.png,Double Rare,0.660000,0.550000,Pokémon
sv5-25,Iron Leaves ex,https://images.pokemontcg.io/sv5/25_hires.png,Double Rare,1,0.830000,Pokémon
sv5-26,Ponyta,https://images.pokemontcg.io/sv5/26_hires.png,Common,0.030000,0.090000,Pokémon
sv5-27,Rapidash,https://images.pokemontcg.io/sv5/27_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv5-28,Slugma,https://images.pokemontcg.io/sv5/28_hires.png,Common,0.020000,0.040000,Pokémon
sv5-29,Magcargo,https://images.pokemontcg.io/sv5/29_hires.png,Rare,0.050000,0.060000,Pokémon
sv5-30,Victini,https://images.pokemontcg.io/sv5/30_hires.png,Common,0.040000,0.100000,Pokémon
sv5-31,Heatmor,https://images.pokemontcg.io/sv5/31_hires.png,Common,0.030000,0.020000,Pokémon
sv5-32,Litten,https://images.pokemontcg.io/sv5/32_hires.png,Common,0.040000,0.060000,Pokémon
sv5-33,Torracat,https://images.pokemontcg.io/sv5/33_hires.png,Common,0.040000,0.090000,Pokémon
sv5-34,Incineroar ex,https://images.pokemontcg.io/sv5/34_hires.png,Double Rare,0.750000,0.650000,Pokémon
sv5-35,Turtonator,https://images.pokemontcg.io/sv5/35_hires.png,Common,0.020000,0.030000,Pokémon
sv5-36,Sizzlipede,https://images.pokemontcg.io/sv5/36_hires.png,Common,0.030000,0.040000,Pokémon
sv5-37,Centiskorch,https://images.pokemontcg.io/sv5/37_hires.png,Uncommon,0.030000,0.030000,Pokémon
sv5-38,Gouging Fire ex,https://images.pokemontcg.io/sv5/38_hires.png,Double Rare,0.750000,0.610000,Pokémon
sv5-39,Totodile,https://images.pokemontcg.io/sv5/39_hires.png,Common,0.050000,0.120000,Pokémon
sv5-40,Croconaw,https://images.pokemontcg.io/sv5/40_hires.png,Common,0.080000,0.190000,Pokémon
sv5-41,Feraligatr,https://images.pokemontcg.io/sv5/41_hires.png,Rare,0.310000,0.150000,Pokémon
sv5-42,Carvanha,https://images.pokemontcg.io/sv5/42_hires.png,Common,0.020000,0.040000,Pokémon
sv5-43,Sharpedo,https://images.pokemontcg.io/sv5/43_hires.png,Uncommon,0.040000,0.060000,Pokémon
sv5-44,Keldeo,https://images.pokemontcg.io/sv5/44_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv5-45,Snom,https://images.pokemontcg.io/sv5/45_hires.png,Common,0.030000,0.090000,Pokémon
sv5-46,Frosmoth,https://images.pokemontcg.io/sv5/46_hires.png,Common,0.040000,0.090000,Pokémon
sv5-47,Wiglett,https://images.pokemontcg.io/sv5/47_hires.png,Common,0.020000,0.070000,Pokémon
sv5-48,Finizen,https://images.pokemontcg.io/sv5/48_hires.png,Common,0.020000,0.050000,Pokémon
sv5-49,Palafin,https://images.pokemontcg.io/sv5/49_hires.png,Uncommon,0.020000,0.090000,Pokémon
sv5-50,Walking Wake ex,https://images.pokemontcg.io/sv5/50_hires.png,Double Rare,0.680000,0.550000,Pokémon
sv5-51,Pikachu,https://images.pokemontcg.io/sv5/51_hires.png,Common,0.060000,0.140000,Pokémon
sv5-52,Raichu,https://images.pokemontcg.io/sv5/52_hires.png,Common,0.050000,0.160000,Pokémon
sv5-53,Electabuzz,https://images.pokemontcg.io/sv5/53_hires.png,Common,0.030000,0.040000,Pokémon
sv5-54,Electivire,https://images.pokemontcg.io/sv5/54_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv5-55,Charjabug,https://images.pokemontcg.io/sv5/55_hires.png,Common,0.030000,0.060000,Pokémon
sv5-56,Vikavolt,https://images.pokemontcg.io/sv5/56_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv5-57,Zeraora,https://images.pokemontcg.io/sv5/57_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv5-58,Yamper,https://images.pokemontcg.io/sv5/58_hires.png,Common,0.030000,0.070000,Pokémon
sv5-59,Boltund,https://images.pokemontcg.io/sv5/59_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv5-60,Wugtrio ex,https://images.pokemontcg.io/sv5/60_hires.png,Double Rare,0.650000,0.510000,Pokémon
sv5-61,Iron Hands,https://images.pokemontcg.io/sv5/61_hires.png,Uncommon,0.030000,0.080000,Pokémon
sv5-62,Iron Thorns,https://images.pokemontcg.io/sv5/62_hires.png,Rare,0.060000,0.140000,Pokémon
sv5-63,Mr. Mime,https://images.pokemontcg.io/sv5/63_hires.png,Common,0.040000,0.100000,Pokémon
sv5-64,Marill,https://images.pokemontcg.io/sv5/64_hires.png,Common,0.030000,0.080000,Pokémon
sv5-65,Azumarill,https://images.pokemontcg.io/sv5/65_hires.png,Common,0.040000,0.070000,Pokémon
sv5-66,Girafarig,https://images.pokemontcg.io/sv5/66_hires.png,Common,0.030000,0.040000,Pokémon
sv5-67,Latias,https://images.pokemontcg.io/sv5/67_hires.png,Uncommon,0.040000,0.090000,Pokémon
sv5-68,Bronzor,https://images.pokemontcg.io/sv5/68_hires.png,Common,0.020000,0.040000,Pokémon
sv5-69,Bronzong,https://images.pokemontcg.io/sv5/69_hires.png,Uncommon,0.030000,0.040000,Pokémon
