id,name,image,rarity,card_market_price,tcg_market_price,supertype
sv6-1,Tangela,https://images.pokemontcg.io/sv6/1_hires.png,Common,0.030000,0.040000,Pokémon
sv6-2,Tangrowth,https://images.pokemontcg.io/sv6/2_hires.png,Common,0.030000,0.090000,Pokémon
sv6-3,Pinsir,https://images.pokemontcg.io/sv6/3_hires.png,Common,0.030000,0.050000,Pokémon
sv6-4,Spinarak,https://images.pokemontcg.io/sv6/4_hires.png,Common,0.020000,0.060000,Pokémon
sv6-7,Sunflora,https://images.pokemontcg.io/sv6/7_hires.png,Uncommon,0.040000,0.080000,Pokémon
sv6-6,Sunkern,https://images.pokemontcg.io/sv6/6_hires.png,Common,0.030000,0.060000,Pokémon
sv6-5,Ariados,https://images.pokemontcg.io/sv6/5_hires.png,Uncommon,0.030000,0.060000,Pokémon
sv6-8,Heracross,https://images.pokemontcg.io/sv6/8_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv6-9,Volbeat,https://images.pokemontcg.io/sv6/9_hires.png,Common,0.030000,0.070000,Pokémon
sv6-10,Illumise,https://images.pokemontcg.io/sv6/10_hires.png,Common,0.030000,0.080000,Pokémon
sv6-11,Leafeon,https://images.pokemontcg.io/sv6/11_hires.png,Uncommon,0.060000,0.160000,Pokémon
sv6-12,Phantump,https://images.pokemontcg.io/sv6/12_hires.png,Common,0.030000,0.050000,Pokémon
sv6-13,Trevenant,https://images.pokemontcg.io/sv6/13_hires.png,Common,0.030000,0.040000,Pokémon
sv6-16,Rillaboom,https://images.pokemontcg.io/sv6/16_hires.png,Uncommon,0.030000,0.070000,Pokémon
sv6-18,Dipplin,https://images.pokemontcg.io/sv6/18_hires.png,Uncommon,0.030000,0.090000,Pokémon
sv6-23,Sinistcha ex,https://images.pokemontcg.io/sv6/23_hires.png,Double Rare,0.510000,0.550000,Pokémon
sv6-14,Grookey,https://images.pokemontcg.io/sv6/14_hires.png,Common,0.050000,0.060000,Pokémon
sv6-15,Thwackey,https://images.pokemontcg.io/sv6/15_hires.png,Common,0.080000,0.110000,Pokémon
