id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm5-1,Exeggcute,https://images.pokemontcg.io/sm5/1_hires.png,Common,0.100000,0.150000,Pokémon
sm5-2,Yanma,https://images.pokemontcg.io/sm5/2_hires.png,Common,0.120000,0.090000,Pokémon
sm5-3,Yanmega,https://images.pokemontcg.io/sm5/3_hires.png,Uncommon,0.120000,0.140000,Pokémon
sm5-4,Roselia,https://images.pokemontcg.io/sm5/4_hires.png,Common,0.090000,0.160000,Pokémon
sm5-5,Roserade,https://images.pokemontcg.io/sm5/5_hires.png,Rare,0.200000,0.360000,Pokémon
sm5-6,Turtwig,https://images.pokemontcg.io/sm5/6_hires.png,Common,0.100000,0.640000,Pokémon
sm5-7,Turtwig,https://images.pokemontcg.io/sm5/7_hires.png,Common,0.080000,0.260000,Pokémon
sm5-8,Grotle,https://images.pokemontcg.io/sm5/8_hires.png,Uncommon,0.070000,0.210000,Pokémon
sm5-9,Torterra,https://images.pokemontcg.io/sm5/9_hires.png,Rare Holo,0.890000,1.480000,Pokémon
sm5-10,Cherubi,https://images.pokemontcg.io/sm5/10_hires.png,Common,0.120000,0.410000,Pokémon
sm5-11,Cherrim,https://images.pokemontcg.io/sm5/11_hires.png,Uncommon,0.170000,0.360000,Pokémon
sm5-12,Carnivine,https://images.pokemontcg.io/sm5/12_hires.png,Common,0.070000,0.110000,Pokémon
sm5-13,Leafeon-GX,https://images.pokemontcg.io/sm5/13_hires.png,Rare Holo GX,4.220000,6.370000,Pokémon
sm5-14,Mow Rotom,https://images.pokemontcg.io/sm5/14_hires.png,Rare,0.600000,0.540000,Pokémon
sm5-15,Shaymin,https://images.pokemontcg.io/sm5/15_hires.png,Rare Holo,0.940000,0.990000,Pokémon
sm5-16,Dewpider,https://images.pokemontcg.io/sm5/16_hires.png,Common,0.120000,0.090000,Pokémon
sm5-17,Araquanid,https://images.pokemontcg.io/sm5/17_hires.png,Rare,0.260000,0.240000,Pokémon
sm5-18,Magmar,https://images.pokemontcg.io/sm5/18_hires.png,Common,0.090000,0.180000,Pokémon
sm5-19,Magmortar,https://images.pokemontcg.io/sm5/19_hires.png,Rare Holo,0.430000,0.430000,Pokémon
sm5-20,Chimchar,https://images.pokemontcg.io/sm5/20_hires.png,Common,0.080000,0.200000,Pokémon
sm5-21,Chimchar,https://images.pokemontcg.io/sm5/21_hires.png,Common,0.080000,0.200000,Pokémon
sm5-22,Monferno,https://images.pokemontcg.io/sm5/22_hires.png,Uncommon,0.120000,0.240000,Pokémon
sm5-23,Infernape,https://images.pokemontcg.io/sm5/23_hires.png,Rare Holo,1.130000,1.040000,Pokémon
sm5-24,Heat Rotom,https://images.pokemontcg.io/sm5/24_hires.png,Rare,0.560000,0.520000,Pokémon
sm5-25,Salandit,https://images.pokemontcg.io/sm5/25_hires.png,Common,0.060000,0.120000,Pokémon
sm5-26,Salazzle,https://images.pokemontcg.io/sm5/26_hires.png,Rare,0.360000,0.280000,Pokémon
sm5-27,Turtonator,https://images.pokemontcg.io/sm5/27_hires.png,Uncommon,0.080000,0.150000,Pokémon
sm5-28,Alolan Sandshrew,https://images.pokemontcg.io/sm5/28_hires.png,Common,0.080000,0.210000,Pokémon
sm5-29,Alolan Sandslash,https://images.pokemontcg.io/sm5/29_hires.png,Rare,0.280000,0.390000,Pokémon
sm5-30,Alolan Vulpix,https://images.pokemontcg.io/sm5/30_hires.png,Common,0.340000,1.310000,Pokémon
sm5-31,Piplup,https://images.pokemontcg.io/sm5/31_hires.png,Common,0.080000,0.270000,Pokémon
sm5-32,Piplup,https://images.pokemontcg.io/sm5/32_hires.png,Common,0.130000,0.430000,Pokémon
sm5-33,Prinplup,https://images.pokemontcg.io/sm5/33_hires.png,Uncommon,0.090000,0.260000,Pokémon
sm5-34,Empoleon,https://images.pokemontcg.io/sm5/34_hires.png,Rare,0.420000,0.430000,Pokémon
sm5-35,Buizel,https://images.pokemontcg.io/sm5/35_hires.png,Common,0.080000,0.170000,Pokémon
sm5-36,Floatzel,https://images.pokemontcg.io/sm5/36_hires.png,Uncommon,0.060000,0.140000,Pokémon
sm5-37,Snover,https://images.pokemontcg.io/sm5/37_hires.png,Common,0.050000,0.070000,Pokémon
sm5-38,Abomasnow,https://images.pokemontcg.io/sm5/38_hires.png,Rare,0.300000,0.180000,Pokémon
sm5-39,Glaceon-GX,https://images.pokemontcg.io/sm5/39_hires.png,Rare Holo GX,5.910000,5.710000,Pokémon
sm5-40,Wash Rotom,https://images.pokemontcg.io/sm5/40_hires.png,Rare,0.470000,0.660000,Pokémon
sm5-41,Frost Rotom,https://images.pokemontcg.io/sm5/41_hires.png,Rare,0.420000,0.740000,Pokémon
sm5-42,Manaphy,https://images.pokemontcg.io/sm5/42_hires.png,Uncommon,0.110000,0.230000,Pokémon
sm5-43,Electabuzz,https://images.pokemontcg.io/sm5/43_hires.png,Common,0.060000,0.150000,Pokémon
sm5-44,Electivire,https://images.pokemontcg.io/sm5/44_hires.png,Rare,0.330000,0.240000,Pokémon
sm5-45,Shinx,https://images.pokemontcg.io/sm5/45_hires.png,Common,0.110000,0.260000,Pokémon
sm5-46,Shinx,https://images.pokemontcg.io/sm5/46_hires.png,Common,0.090000,0.210000,Pokémon
sm5-47,Luxio,https://images.pokemontcg.io/sm5/47_hires.png,Uncommon,0.110000,0.220000,Pokémon
sm5-48,Luxray,https://images.pokemontcg.io/sm5/48_hires.png,Rare Holo,0.790000,0.520000,Pokémon
sm5-49,Pachirisu,https://images.pokemontcg.io/sm5/49_hires.png,Common,0.080000,0.180000,Pokémon
sm5-50,Rotom,https://images.pokemontcg.io/sm5/50_hires.png,Uncommon,0.080000,0.180000,Pokémon
sm5-51,Drifloon,https://images.pokemontcg.io/sm5/51_hires.png,Common,0.120000,0.330000,Pokémon
sm5-52,Drifblim,https://images.pokemontcg.io/sm5/52_hires.png,Uncommon,0.110000,0.190000,Pokémon
sm5-53,Spiritomb,https://images.pokemontcg.io/sm5/53_hires.png,Uncommon,0.080000,0.170000,Pokémon
sm5-54,Skorupi,https://images.pokemontcg.io/sm5/54_hires.png,Common,0.080000,0.150000,Pokémon
sm5-55,Drapion,https://images.pokemontcg.io/sm5/55_hires.png,Rare,0.280000,0.280000,Pokémon
sm5-56,Croagunk,https://images.pokemontcg.io/sm5/56_hires.png,Common,0.100000,0.100000,Pokémon
sm5-57,Toxicroak,https://images.pokemontcg.io/sm5/57_hires.png,Rare,0.310000,0.270000,Pokémon
sm5-58,Giratina ◇,https://images.pokemontcg.io/sm5/58_hires.png,Rare Prism Star,4.920000,9.290000,Pokémon
sm5-59,Cresselia,https://images.pokemontcg.io/sm5/59_hires.png,Rare Holo,0.650000,0.760000,Pokémon
sm5-60,Cosmog,https://images.pokemontcg.io/sm5/60_hires.png,Common,0.100000,0.150000,Pokémon
sm5-61,Cosmoem,https://images.pokemontcg.io/sm5/61_hires.png,Uncommon,0.100000,0.160000,Pokémon
sm5-62,Lunala ◇,https://images.pokemontcg.io/sm5/62_hires.png,Rare Prism Star,2.190000,2.620000,Pokémon
sm5-63,Dawn Wings Necrozma-GX,https://images.pokemontcg.io/sm5/63_hires.png,Rare Holo GX,2.840000,3.640000,Pokémon
sm5-64,Cranidos,https://images.pokemontcg.io/sm5/64_hires.png,Uncommon,0.130000,0.220000,Pokémon
sm5-65,Rampardos,https://images.pokemontcg.io/sm5/65_hires.png,Rare Holo,0.690000,1.200000,Pokémon
sm5-66,Riolu,https://images.pokemontcg.io/sm5/66_hires.png,Common,0.120000,0.230000,Pokémon
sm5-67,Lucario,https://images.pokemontcg.io/sm5/67_hires.png,Rare Holo,0.580000,1.030000,Pokémon
sm5-68,Hippopotas,https://images.pokemontcg.io/sm5/68_hires.png,Common,0.080000,0.120000,Pokémon
sm5-69,Hippowdon,https://images.pokemontcg.io/sm5/69_hires.png,Rare,0.200000,0.270000,Pokémon
sm5-70,Passimian,https://images.pokemontcg.io/sm5/70_hires.png,Common,0.060000,0.150000,Pokémon
sm5-71,Murkrow,https://images.pokemontcg.io/sm5/71_hires.png,Common,0.060000,0.150000,Pokémon
