id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm10-1,Pheromosa & Buzzwole-GX,https://images.pokemontcg.io/sm10/1_hires.png,Rare Holo GX,5.150000,10.930000,Pokémon
sm10-2,Caterpie,https://images.pokemontcg.io/sm10/2_hires.png,Common,0.120000,0.170000,Pokémon
sm10-3,Metapod,https://images.pokemontcg.io/sm10/3_hires.png,Uncommon,0.110000,0.140000,Pokémon
sm10-4,Butterfree,https://images.pokemontcg.io/sm10/4_hires.png,Rare,0.420000,0.350000,Pokémon
sm10-5,Oddish,https://images.pokemontcg.io/sm10/5_hires.png,Common,0.120000,0.180000,Pokémon
sm10-6,Oddish,https://images.pokemontcg.io/sm10/6_hires.png,Common,0.120000,0.320000,Pokémon
sm10-7,Gloom,https://images.pokemontcg.io/sm10/7_hires.png,Uncommon,0.170000,0.230000,Pokémon
sm10-8,Vileplume,https://images.pokemontcg.io/sm10/8_hires.png,Rare Holo,1.410000,0.490000,Pokémon
sm10-9,Venonat,https://images.pokemontcg.io/sm10/9_hires.png,Common,0.080000,0.130000,Pokémon
sm10-10,Venonat,https://images.pokemontcg.io/sm10/10_hires.png,Common,0.140000,0.250000,Pokémon
sm10-11,Venomoth,https://images.pokemontcg.io/sm10/11_hires.png,Rare,0.400000,0.480000,Pokémon
sm10-12,Venomoth-GX,https://images.pokemontcg.io/sm10/12_hires.png,Rare Holo GX,3.810000,2.040000,Pokémon
sm10-13,Bellsprout,https://images.pokemontcg.io/sm10/13_hires.png,Common,0.070000,0.110000,Pokémon
sm10-14,Weepinbell,https://images.pokemontcg.io/sm10/14_hires.png,Uncommon,0.200000,0.160000,Pokémon
sm10-15,Victreebel,https://images.pokemontcg.io/sm10/15_hires.png,Rare,0.380000,0.480000,Pokémon
sm10-16,Tangela,https://images.pokemontcg.io/sm10/16_hires.png,Common,0.100000,0.100000,Pokémon
sm10-17,Tangrowth,https://images.pokemontcg.io/sm10/17_hires.png,Rare,0.320000,0.280000,Pokémon
sm10-18,Grubbin,https://images.pokemontcg.io/sm10/18_hires.png,Common,0.130000,0.210000,Pokémon
sm10-19,Kartana,https://images.pokemontcg.io/sm10/19_hires.png,Rare Holo,1.160000,0.790000,Pokémon
sm10-20,Reshiram & Charizard-GX,https://images.pokemontcg.io/sm10/20_hires.png,Rare Holo GX,10.850000,41.610000,Pokémon
sm10-21,Growlithe,https://images.pokemontcg.io/sm10/21_hires.png,Common,0.090000,0.180000,Pokémon
sm10-22,Arcanine,https://images.pokemontcg.io/sm10/22_hires.png,Rare Holo,2.240000,2.220000,Pokémon
sm10-23,Darumaka,https://images.pokemontcg.io/sm10/23_hires.png,Common,0.130000,0.200000,Pokémon
sm10-24,Darmanitan,https://images.pokemontcg.io/sm10/24_hires.png,Rare,0.270000,0.250000,Pokémon
sm10-25,Volcanion,https://images.pokemontcg.io/sm10/25_hires.png,Rare Holo,0.960000,0.660000,Pokémon
sm10-26,Litten,https://images.pokemontcg.io/sm10/26_hires.png,Common,0.060000,0.170000,Pokémon
sm10-27,Litten,https://images.pokemontcg.io/sm10/27_hires.png,Common,0.090000,0.190000,Pokémon
sm10-28,Torracat,https://images.pokemontcg.io/sm10/28_hires.png,Uncommon,0.100000,0.160000,Pokémon
sm10-29,Incineroar,https://images.pokemontcg.io/sm10/29_hires.png,Rare,0.170000,0.360000,Pokémon
sm10-30,Salandit,https://images.pokemontcg.io/sm10/30_hires.png,Common,0.060000,0.080000,Pokémon
sm10-31,Salazzle,https://images.pokemontcg.io/sm10/31_hires.png,Rare,0.500000,0.720000,Pokémon
sm10-32,Blacephalon,https://images.pokemontcg.io/sm10/32_hires.png,Rare,2.420000,1.420000,Pokémon
sm10-33,Squirtle,https://images.pokemontcg.io/sm10/33_hires.png,Common,0.190000,0.430000,Pokémon
sm10-34,Wartortle,https://images.pokemontcg.io/sm10/34_hires.png,Uncommon,0.230000,0.550000,Pokémon
sm10-35,Blastoise-GX,https://images.pokemontcg.io/sm10/35_hires.png,Rare Holo GX,8.260000,7.530000,Pokémon
sm10-36,Poliwag,https://images.pokemontcg.io/sm10/36_hires.png,Common,0.070000,0.130000,Pokémon
sm10-37,Poliwag,https://images.pokemontcg.io/sm10/37_hires.png,Common,0.130000,0.210000,Pokémon
sm10-38,Poliwhirl,https://images.pokemontcg.io/sm10/38_hires.png,Uncommon,0.210000,0.180000,Pokémon
sm10-39,Poliwrath,https://images.pokemontcg.io/sm10/39_hires.png,Rare,0.510000,0.500000,Pokémon
sm10-40,Tentacool,https://images.pokemontcg.io/sm10/40_hires.png,Common,0.070000,0.130000,Pokémon
sm10-41,Tentacruel,https://images.pokemontcg.io/sm10/41_hires.png,Uncommon,0.090000,0.140000,Pokémon
sm10-42,Slowpoke,https://images.pokemontcg.io/sm10/42_hires.png,Common,0.110000,0.200000,Pokémon
sm10-43,Slowbro,https://images.pokemontcg.io/sm10/43_hires.png,Rare Holo,1.140000,1.100000,Pokémon
sm10-44,Seel,https://images.pokemontcg.io/sm10/44_hires.png,Common,0.090000,0.120000,Pokémon
sm10-45,Dewgong,https://images.pokemontcg.io/sm10/45_hires.png,Rare,0.390000,0.370000,Pokémon
sm10-46,Krabby,https://images.pokemontcg.io/sm10/46_hires.png,Common,0.120000,0.140000,Pokémon
sm10-47,Kingler,https://images.pokemontcg.io/sm10/47_hires.png,Rare,0.260000,0.410000,Pokémon
sm10-48,Goldeen,https://images.pokemontcg.io/sm10/48_hires.png,Common,0.060000,0.100000,Pokémon
sm10-49,Seaking,https://images.pokemontcg.io/sm10/49_hires.png,Rare,0.100000,0.300000,Pokémon
sm10-50,Kyurem,https://images.pokemontcg.io/sm10/50_hires.png,Rare Holo,1.030000,0.510000,Pokémon
sm10-51,Froakie,https://images.pokemontcg.io/sm10/51_hires.png,Common,0.100000,0.150000,Pokémon
sm10-52,Frogadier,https://images.pokemontcg.io/sm10/52_hires.png,Uncommon,0.110000,0.180000,Pokémon
sm10-53,Pyukumuku,https://images.pokemontcg.io/sm10/53_hires.png,Uncommon,0.100000,0.390000,Pokémon
sm10-54,Pikachu,https://images.pokemontcg.io/sm10/54_hires.png,Common,1.530000,0.710000,Pokémon
sm10-55,Raichu,https://images.pokemontcg.io/sm10/55_hires.png,Rare,0.750000,0.400000,Pokémon
sm10-56,Stunfisk,https://images.pokemontcg.io/sm10/56_hires.png,Rare,0.300000,0.270000,Pokémon
sm10-57,Dedenne-GX,https://images.pokemontcg.io/sm10/57_hires.png,Rare Holo GX,0,6.170000,Pokémon
sm10-58,Charjabug,https://images.pokemontcg.io/sm10/58_hires.png,Uncommon,0.140000,0.140000,Pokémon
sm10-59,Vikavolt,https://images.pokemontcg.io/sm10/59_hires.png,Rare Holo,0,0.320000,Pokémon
sm10-60,Zeraora,https://images.pokemontcg.io/sm10/60_hires.png,Rare,0.690000,0.520000,Pokémon
sm10-61,Muk & Alolan Muk-GX,https://images.pokemontcg.io/sm10/61_hires.png,Rare Holo GX,7.810000,16.670000,Pokémon
sm10-62,Ekans,https://images.pokemontcg.io/sm10/62_hires.png,Common,0.070000,0.170000,Pokémon
sm10-63,Arbok,https://images.pokemontcg.io/sm10/63_hires.png,Rare,0.390000,0.370000,Pokémon
sm10-64,Zubat,https://images.pokemontcg.io/sm10/64_hires.png,Common,0.070000,0.120000,Pokémon
sm10-65,Golbat,https://images.pokemontcg.io/sm10/65_hires.png,Uncommon,0.120000,0.140000,Pokémon
sm10-66,Crobat,https://images.pokemontcg.io/sm10/66_hires.png,Rare Holo,0.640000,0.470000,Pokémon
sm10-67,Gastly,https://images.pokemontcg.io/sm10/67_hires.png,Common,0.120000,0.240000,Pokémon
sm10-68,Gastly,https://images.pokemontcg.io/sm10/68_hires.png,Common,0.180000,0.180000,Pokémon
sm10-69,Haunter,https://images.pokemontcg.io/sm10/69_hires.png,Uncommon,0.160000,0.200000,Pokémon
sm10-70,Gengar,https://images.pokemontcg.io/sm10/70_hires.png,Rare,7.710000,7.100000,Pokémon
sm10-71,Drowzee,https://images.pokemontcg.io/sm10/71_hires.png,Common,0.060000,0.140000,Pokémon
sm10-72,Hypno,https://images.pokemontcg.io/sm10/72_hires.png,Rare,0.250000,0.300000,Pokémon
sm10-73,Koffing,https://images.pokemontcg.io/sm10/73_hires.png,Common,0.070000,0.180000,Pokémon
sm10-74,Weezing,https://images.pokemontcg.io/sm10/74_hires.png,Rare,0.820000,0.560000,Pokémon
sm10-75,Mewtwo,https://images.pokemontcg.io/sm10/75_hires.png,Rare,2.110000,0.980000,Pokémon
sm10-76,Mew,https://images.pokemontcg.io/sm10/76_hires.png,Rare Holo,0,6.870000,Pokémon
sm10-77,Misdreavus,https://images.pokemontcg.io/sm10/77_hires.png,Common,0.080000,0.140000,Pokémon
sm10-78,Mismagius,https://images.pokemontcg.io/sm10/78_hires.png,Rare,0.440000,0.410000,Pokémon
sm10-79,Espurr,https://images.pokemontcg.io/sm10/79_hires.png,Common,0.080000,0.210000,Pokémon
sm10-80,Meowstic,https://images.pokemontcg.io/sm10/80_hires.png,Rare,0.170000,0.350000,Pokémon
sm10-81,Marshadow,https://images.pokemontcg.io/sm10/81_hires.png,Rare Holo,1.990000,0.550000,Pokémon
sm10-82,Marshadow & Machamp-GX,https://images.pokemontcg.io/sm10/82_hires.png,Rare Holo GX,11.520000,21.860000,Pokémon
sm10-83,Sandshrew,https://images.pokemontcg.io/sm10/83_hires.png,Common,0.090000,0.150000,Pokémon
sm10-84,Sandslash,https://images.pokemontcg.io/sm10/84_hires.png,Rare,0.260000,0.310000,Pokémon
sm10-85,Diglett,https://images.pokemontcg.io/sm10/85_hires.png,Common,0.060000,0.150000,Pokémon
sm10-86,Dugtrio,https://images.pokemontcg.io/sm10/86_hires.png,Rare,0.190000,0.260000,Pokémon
sm10-87,Geodude,https://images.pokemontcg.io/sm10/87_hires.png,Common,0.080000,0.110000,Pokémon
sm10-88,Graveler,https://images.pokemontcg.io/sm10/88_hires.png,Uncommon,0.070000,0.110000,Pokémon
sm10-89,Golem,https://images.pokemontcg.io/sm10/89_hires.png,Rare Holo,0.570000,0.490000,Pokémon
sm10-90,Cubone,https://images.pokemontcg.io/sm10/90_hires.png,Common,0.100000,0.220000,Pokémon
sm10-91,Marowak,https://images.pokemontcg.io/sm10/91_hires.png,Rare,0.290000,0.370000,Pokémon
sm10-92,Rhyhorn,https://images.pokemontcg.io/sm10/92_hires.png,Common,0.090000,0.150000,Pokémon
sm10-93,Rhyhorn,https://images.pokemontcg.io/sm10/93_hires.png,Common,0.070000,0.110000,Pokémon
sm10-94,Rhydon,https://images.pokemontcg.io/sm10/94_hires.png,Uncommon,0.170000,0.190000,Pokémon
sm10-95,Rhyperior,https://images.pokemontcg.io/sm10/95_hires.png,Rare,0.210000,0.320000,Pokémon
sm10-96,Wooper,https://images.pokemontcg.io/sm10/96_hires.png,Common,0.110000,0.200000,Pokémon
sm10-97,Quagsire,https://images.pokemontcg.io/sm10/97_hires.png,Rare,0.400000,0.360000,Pokémon
sm10-98,Gligar,https://images.pokemontcg.io/sm10/98_hires.png,Common,0.050000,0.110000,Pokémon
sm10-99,Gliscor,https://images.pokemontcg.io/sm10/99_hires.png,Uncommon,0.140000,0.130000,Pokémon
sm10-100,Tyrogue,https://images.pokemontcg.io/sm10/100_hires.png,Uncommon,0.240000,0.410000,Pokémon
sm10-101,Hitmontop,https://images.pokemontcg.io/sm10/101_hires.png,Uncommon,0.400000,0.380000,Pokémon
sm10-102,Riolu,https://images.pokemontcg.io/sm10/102_hires.png,Common,0.070000,0.160000,Pokémon
sm10-103,Landorus,https://images.pokemontcg.io/sm10/103_hires.png,Rare Holo,0.450000,0.420000,Pokémon
sm10-104,Crabrawler,https://images.pokemontcg.io/sm10/104_hires.png,Common,0.060000,0.060000,Pokémon
sm10-105,Crabominable,https://images.pokemontcg.io/sm10/105_hires.png,Rare,0.320000,0.320000,Pokémon
sm10-106,Stakataka,https://images.pokemontcg.io/sm10/106_hires.png,Rare Holo,2.960000,1.580000,Pokémon
sm10-107,Greninja & Zoroark-GX,https://images.pokemontcg.io/sm10/107_hires.png,Rare Holo GX,23.440000,42.910000,Pokémon
sm10-108,Murkrow,https://images.pokemontcg.io/sm10/108_hires.png,Common,0.070000,0.120000,Pokémon
sm10-109,Honchkrow-GX,https://images.pokemontcg.io/sm10/109_hires.png,Rare Holo GX,2.240000,1.450000,Pokémon
sm10-110,Carvanha,https://images.pokemontcg.io/sm10/110_hires.png,Common,0.060000,0.130000,Pokémon
sm10-111,Sharpedo,https://images.pokemontcg.io/sm10/111_hires.png,Rare,0.610000,0.620000,Pokémon
sm10-112,Spiritomb,https://images.pokemontcg.io/sm10/112_hires.png,Rare Holo,1.700000,2.530000,Pokémon
sm10-113,Sandile,https://images.pokemontcg.io/sm10/113_hires.png,Common,0.130000,0.210000,Pokémon
sm10-114,Sandile,https://images.pokemontcg.io/sm10/114_hires.png,Common,0.130000,0.140000,Pokémon
sm10-115,Krokorok,https://images.pokemontcg.io/sm10/115_hires.png,Uncommon,0.090000,0.100000,Pokémon
sm10-116,Krookodile,https://images.pokemontcg.io/sm10/116_hires.png,Rare,0.290000,0.300000,Pokémon
sm10-117,Greninja,https://images.pokemontcg.io/sm10/117_hires.png,Rare Holo,4.400000,4.660000,Pokémon
sm10-118,Inkay,https://images.pokemontcg.io/sm10/118_hires.png,Common,0.070000,0.070000,Pokémon
sm10-119,Malamar,https://images.pokemontcg.io/sm10/119_hires.png,Rare Holo,0.650000,0.380000,Pokémon
sm10-120,Lucario & Melmetal-GX,https://images.pokemontcg.io/sm10/120_hires.png,Rare Holo GX,13.540000,25.520000,Pokémon
sm10-121,Alolan Diglett,https://images.pokemontcg.io/sm10/121_hires.png,Common,0.080000,0.130000,Pokémon
sm10-122,Alolan Dugtrio,https://images.pokemontcg.io/sm10/122_hires.png,Rare,0.270000,0.410000,Pokémon
sm10-123,Aron,https://images.pokemontcg.io/sm10/123_hires.png,Common,0.120000,0.140000,Pokémon
sm10-124,Lairon,https://images.pokemontcg.io/sm10/124_hires.png,Uncommon,0.090000,0.130000,Pokémon
sm10-125,Aggron,https://images.pokemontcg.io/sm10/125_hires.png,Rare,0.380000,0.340000,Pokémon
sm10-126,Lucario,https://images.pokemontcg.io/sm10/126_hires.png,Rare Holo,1.240000,0.840000,Pokémon
sm10-127,Genesect,https://images.pokemontcg.io/sm10/127_hires.png,Rare,0.280000,0.310000,Pokémon
sm10-128,Meltan,https://images.pokemontcg.io/sm10/128_hires.png,Common,0.080000,0.130000,Pokémon
sm10-129,Melmetal,https://images.pokemontcg.io/sm10/129_hires.png,Rare Holo,1.230000,0.420000,Pokémon
sm10-130,Gardevoir & Sylveon-GX,https://images.pokemontcg.io/sm10/130_hires.png,Rare Holo GX,2.500000,52.060000,Pokémon
sm10-131,Cleffa,https://images.pokemontcg.io/sm10/131_hires.png,Uncommon,0.200000,2.120000,Pokémon
sm10-132,Clefairy,https://images.pokemontcg.io/sm10/132_hires.png,Common,0.060000,0.190000,Pokémon
sm10-133,Clefable,https://images.pokemontcg.io/sm10/133_hires.png,Rare,0.210000,0.450000,Pokémon
