id,name,image,rarity,card_market_price,tcg_market_price,supertype
sm11-1,Rowlet & Alolan Exeggutor-GX,https://images.pokemontcg.io/sm11/1_hires.png,Rare Holo GX,10.590000,14.180000,Pokémon
sm11-2,Yanma,https://images.pokemontcg.io/sm11/2_hires.png,Common,0.050000,0.080000,Pokémon
sm11-3,Yanmega,https://images.pokemontcg.io/sm11/3_hires.png,Uncommon,0.060000,0.120000,Pokémon
sm11-4,Celebi,https://images.pokemontcg.io/sm11/4_hires.png,Rare Holo,1.470000,1.300000,Pokémon
sm11-5,Shroomish,https://images.pokemontcg.io/sm11/5_hires.png,Common,0.050000,0.110000,Pokémon
sm11-6,Sewaddle,https://images.pokemontcg.io/sm11/6_hires.png,Common,0.060000,0.160000,Pokémon
sm11-7,Sewaddle,https://images.pokemontcg.io/sm11/7_hires.png,Common,0.090000,0.110000,Pokémon
sm11-8,Swadloon,https://images.pokemontcg.io/sm11/8_hires.png,Uncommon,0.070000,0.230000,Pokémon
sm11-9,Leavanny,https://images.pokemontcg.io/sm11/9_hires.png,Rare,0.450000,0.440000,Pokémon
sm11-10,Dwebble,https://images.pokemontcg.io/sm11/10_hires.png,Common,0.060000,0.150000,Pokémon
sm11-11,Crustle,https://images.pokemontcg.io/sm11/11_hires.png,Rare,0.490000,0.370000,Pokémon
sm11-12,Karrablast,https://images.pokemontcg.io/sm11/12_hires.png,Common,0.060000,0.070000,Pokémon
sm11-13,Foongus,https://images.pokemontcg.io/sm11/13_hires.png,Common,0.050000,0.090000,Pokémon
sm11-14,Amoonguss,https://images.pokemontcg.io/sm11/14_hires.png,Rare,0.170000,0.260000,Pokémon
sm11-15,Fomantis,https://images.pokemontcg.io/sm11/15_hires.png,Common,0.120000,0.230000,Pokémon
sm11-16,Lurantis,https://images.pokemontcg.io/sm11/16_hires.png,Uncommon,0.140000,0.240000,Pokémon
sm11-17,Bounsweet,https://images.pokemontcg.io/sm11/17_hires.png,Common,0.060000,0.110000,Pokémon
