id,name,image,rarity,card_market_price,tcg_market_price,supertype
ex10-1,Ampharos,https://images.pokemontcg.io/ex10/1_hires.png,Rare Holo,7.450000,23.630000,Pokémon
ex10-2,Ariados,https://images.pokemontcg.io/ex10/2_hires.png,Rare Holo,7.130000,8.560000,Pokémon
ex10-3,Bellossom,https://images.pokemontcg.io/ex10/3_hires.png,Rare Holo,5.230000,13.880000,Pokémon
ex10-4,Feraligatr,https://images.pokemontcg.io/ex10/4_hires.png,Rare Holo,46.490000,41.110000,Pokémon
ex10-5,Flareon,https://images.pokemontcg.io/ex10/5_hires.png,Rare Holo,30.700000,56.650000,Pokémon
ex10-6,Forretress,https://images.pokemontcg.io/ex10/6_hires.png,Rare Holo,4.520000,9.200000,Pokémon
ex10-7,Houndoom,https://images.pokemontcg.io/ex10/7_hires.png,Rare Holo,12.790000,34.580000,Pokémon
ex10-8,Jolteon,https://images.pokemontcg.io/ex10/8_hires.png,Rare Holo,11.750000,38.140000,Pokémon
ex10-9,Meganium,https://images.pokemontcg.io/ex10/9_hires.png,Rare Holo,2.200000,18.700000,Pokémon
ex10-10,Octillery,https://images.pokemontcg.io/ex10/10_hires.png,Rare Holo,3.720000,6.930000,Pokémon
ex10-11,Poliwrath,https://images.pokemontcg.io/ex10/11_hires.png,Rare Holo,8.400000,21.390000,Pokémon
ex10-12,Porygon2,https://images.pokemontcg.io/ex10/12_hires.png,Rare Holo,4.480000,16.840000,Pokémon
ex10-13,Slowbro,https://images.pokemontcg.io/ex10/13_hires.png,Rare Holo,3.630000,17.160000,Pokémon
ex10-14,Slowking,https://images.pokemontcg.io/ex10/14_hires.png,Rare Holo,8.080000,23.970000,Pokémon
ex10-15,Sudowoodo,https://images.pokemontcg.io/ex10/15_hires.png,Rare Holo,6.640000,12.380000,Pokémon
ex10-16,Sunflora,https://images.pokemontcg.io/ex10/16_hires.png,Rare Holo,5.760000,16.280000,Pokémon
ex10-17,Typhlosion,https://images.pokemontcg.io/ex10/17_hires.png,Rare Holo,5.840000,70.200000,Pokémon
ex10-18,Ursaring,https://images.pokemontcg.io/ex10/18_hires.png,Rare Holo,9.260000,13.710000,Pokémon
ex10-19,Vaporeon,https://images.pokemontcg.io/ex10/19_hires.png,Rare Holo,18.830000,37.900000,Pokémon
ex10-20,Chansey,https://images.pokemontcg.io/ex10/20_hires.png,Rare,0.760000,2.480000,Pokémon
