id,name,image,rarity,card_market_price,tcg_market_price,supertype
swsh4-1,Weedle,https://images.pokemontcg.io/swsh4/1_hires.png,Common,0.050000,0.060000,Pokémon
swsh4-2,Kakuna,https://images.pokemontcg.io/swsh4/2_hires.png,Uncommon,0.060000,0.050000,Pokémon
swsh4-3,Beedrill,https://images.pokemontcg.io/swsh4/3_hires.png,Rare,0.170000,0.160000,Pokémon
swsh4-4,Exeggcute,https://images.pokemontcg.io/swsh4/4_hires.png,Common,0.040000,0.040000,Pokémon
swsh4-5,Exeggutor,https://images.pokemontcg.io/swsh4/5_hires.png,Rare,0.170000,0.180000,Pokémon
swsh4-6,Yanma,https://images.pokemontcg.io/swsh4/6_hires.png,Common,0.050000,0.050000,Pokémon
swsh4-7,Yanmega,https://images.pokemontcg.io/swsh4/7_hires.png,Rare,0.160000,0.120000,Pokémon
swsh4-8,Pineco,https://images.pokemontcg.io/swsh4/8_hires.png,Common,0.060000,0.070000,Pokémon
swsh4-9,Celebi,https://images.pokemontcg.io/swsh4/9_hires.png,Amazing Rare,5.720000,3.190000,Pokémon
swsh4-10,Seedot,https://images.pokemontcg.io/swsh4/10_hires.png,Common,0.040000,0.040000,Pokémon
swsh4-11,Nuzleaf,https://images.pokemontcg.io/swsh4/11_hires.png,Uncommon,0.050000,0.040000,Pokémon
swsh4-12,Shiftry,https://images.pokemontcg.io/swsh4/12_hires.png,Rare,0.150000,0.170000,Pokémon
swsh4-13,Nincada,https://images.pokemontcg.io/swsh4/13_hires.png,Common,0.050000,0.090000,Pokémon
swsh4-14,Ninjask,https://images.pokemontcg.io/swsh4/14_hires.png,Rare,0.330000,0.260000,Pokémon
swsh4-15,Shaymin,https://images.pokemontcg.io/swsh4/15_hires.png,Rare Holo,0.690000,0.190000,Pokémon
swsh4-16,Genesect,https://images.pokemontcg.io/swsh4/16_hires.png,Rare Holo,0.520000,0.250000,Pokémon
swsh4-17,Skiddo,https://images.pokemontcg.io/swsh4/17_hires.png,Common,0.040000,0.050000,Pokémon
swsh4-18,Gogoat,https://images.pokemontcg.io/swsh4/18_hires.png,Uncommon,0.060000,0.060000,Pokémon
swsh4-19,Dhelmise,https://images.pokemontcg.io/swsh4/19_hires.png,Uncommon,0.050000,0.040000,Pokémon
swsh4-20,Orbeetle V,https://images.pokemontcg.io/swsh4/20_hires.png,Rare Holo V,0.770000,0.680000,Pokémon
swsh4-21,Orbeetle VMAX,https://images.pokemontcg.io/swsh4/21_hires.png,Rare Holo VMAX,1.430000,1.490000,Pokémon
swsh4-22,Zarude V,https://images.pokemontcg.io/swsh4/22_hires.png,Rare Holo V,0.930000,0.610000,Pokémon
swsh4-23,Charmander,https://images.pokemontcg.io/swsh4/23_hires.png,Common,0.110000,0.300000,Pokémon
swsh4-24,Charmeleon,https://images.pokemontcg.io/swsh4/24_hires.png,Uncommon,0.060000,0.100000,Pokémon
swsh4-25,Charizard,https://images.pokemontcg.io/swsh4/25_hires.png,Rare,7.440000,1.330000,Pokémon
swsh4-26,Flareon,https://images.pokemontcg.io/swsh4/26_hires.png,Rare,0.480000,0.420000,Pokémon
swsh4-27,Slugma,https://images.pokemontcg.io/swsh4/27_hires.png,Common,0.040000,0.060000,Pokémon
swsh4-28,Magcargo,https://images.pokemontcg.io/swsh4/28_hires.png,Uncommon,0.050000,0.060000,Pokémon
swsh4-29,Talonflame V,https://images.pokemontcg.io/swsh4/29_hires.png,Rare Holo V,1.590000,0.760000,Pokémon
swsh4-30,Vaporeon,https://images.pokemontcg.io/swsh4/30_hires.png,Rare,0.350000,0.540000,Pokémon
swsh4-31,Wailmer,https://images.pokemontcg.io/swsh4/31_hires.png,Common,0.060000,0.050000,Pokémon
swsh4-32,Wailord,https://images.pokemontcg.io/swsh4/32_hires.png,Rare Holo,0.480000,0.270000,Pokémon
swsh4-33,Oshawott,https://images.pokemontcg.io/swsh4/33_hires.png,Common,0.060000,0.080000,Pokémon
swsh4-34,Dewott,https://images.pokemontcg.io/swsh4/34_hires.png,Uncommon,0.060000,0.100000,Pokémon
