id,name,image,rarity,card_market_price,tcg_market_price,supertype
rsv10pt5-1,Sewaddle,https://images.pokemontcg.io/rsv10pt5/1_hires.png,Common,0.100000,0.080000,Pokémon
rsv10pt5-2,Swadloon,https://images.pokemontcg.io/rsv10pt5/2_hires.png,Common,0.040000,0.080000,Pokémon
rsv10pt5-3,Leavanny,https://images.pokemontcg.io/rsv10pt5/3_hires.png,Uncommon,0.040000,0.130000,Pokémon
rsv10pt5-4,Cottonee,https://images.pokemontcg.io/rsv10pt5/4_hires.png,Common,0.050000,0.090000,Pokémon
rsv10pt5-5,Whimsicott ex,https://images.pokemontcg.io/rsv10pt5/5_hires.png,Double Rare,0.490000,0.390000,Pokémon
rsv10pt5-6,Deerling,https://images.pokemontcg.io/rsv10pt5/6_hires.png,Common,0.040000,0.070000,Pokémon
rsv10pt5-7,Sawsbuck,https://images.pokemontcg.io/rsv10pt5/7_hires.png,Uncommon,0.050000,0.080000,Pokémon
rsv10pt5-8,Shelmet,https://images.pokemontcg.io/rsv10pt5/8_hires.png,Common,0.040000,0.070000,Pokémon
rsv10pt5-9,Accelgor,https://images.pokemontcg.io/rsv10pt5/9_hires.png,Uncommon,0.050000,0.080000,Pokémon
rsv10pt5-10,Virizion,https://images.pokemontcg.io/rsv10pt5/10_hires.png,Rare,0.110000,0.110000,Pokémon
rsv10pt5-11,Tepig,https://images.pokemontcg.io/rsv10pt5/11_hires.png,Common,0.060000,0.100000,Pokémon
rsv10pt5-12,Pignite,https://images.pokemontcg.io/rsv10pt5/12_hires.png,Common,0.060000,0.140000,Pokémon
rsv10pt5-13,Emboar,https://images.pokemontcg.io/rsv10pt5/13_hires.png,Rare,0.190000,0.170000,Pokémon
rsv10pt5-14,Pansear,https://images.pokemontcg.io/rsv10pt5/14_hires.png,Common,0.040000,0.080000,Pokémon
rsv10pt5-15,Simisear,https://images.pokemontcg.io/rsv10pt5/15_hires.png,Uncommon,0.040000,0.070000,Pokémon
rsv10pt5-16,Litwick,https://images.pokemontcg.io/rsv10pt5/16_hires.png,Common,0.040000,0.080000,Pokémon
rsv10pt5-17,Lampent,https://images.pokemontcg.io/rsv10pt5/17_hires.png,Common,0.050000,0.100000,Pokémon
rsv10pt5-18,Chandelure,https://images.pokemontcg.io/rsv10pt5/18_hires.png,Rare,0.110000,0.130000,Pokémon
rsv10pt5-19,Heatmor,https://images.pokemontcg.io/rsv10pt5/19_hires.png,Uncommon,0.040000,0.090000,Pokémon
rsv10pt5-20,Reshiram ex,https://images.pokemontcg.io/rsv10pt5/20_hires.png,Double Rare,0.950000,0.600000,Pokémon
rsv10pt5-21,Oshawott,https://images.pokemontcg.io/rsv10pt5/21_hires.png,Common,0.100000,0.090000,Pokémon
rsv10pt5-22,Dewott,https://images.pokemontcg.io/rsv10pt5/22_hires.png,Common,0.050000,0.100000,Pokémon
rsv10pt5-23,Samurott,https://images.pokemontcg.io/rsv10pt5/23_hires.png,Rare,0.120000,0.150000,Pokémon
rsv10pt5-24,Basculin,https://images.pokemontcg.io/rsv10pt5/24_hires.png,Common,0.040000,0.070000,Pokémon
rsv10pt5-25,Ducklett,https://images.pokemontcg.io/rsv10pt5/25_hires.png,Common,0.040000,0.080000,Pokémon
rsv10pt5-26,Swanna,https://images.pokemontcg.io/rsv10pt5/26_hires.png,Uncommon,0.040000,0.070000,Pokémon
rsv10pt5-27,Vanillite,https://images.pokemontcg.io/rsv10pt5/27_hires.png,Common,0.040000,0.070000,Pokémon
rsv10pt5-28,Vanillish,https://images.pokemontcg.io/rsv10pt5/28_hires.png,Common,0.040000,0.060000,Pokémon
rsv10pt5-29,Vanilluxe,https://images.pokemontcg.io/rsv10pt5/29_hires.png,Uncommon,0.040000,0.100000,Pokémon
rsv10pt5-30,Keldeo ex,https://images.pokemontcg.io/rsv10pt5/30_hires.png,Double Rare,0.440000,0.410000,Pokémon
rsv10pt5-31,Blitzle,https://images.pokemontcg.io/rsv10pt5/31_hires.png,Common,0.040000,0.090000,Pokémon
rsv10pt5-32,Zebstrika,https://images.pokemontcg.io/rsv10pt5/32_hires.png,Uncommon,0.040000,0.080000,Pokémon
rsv10pt5-33,Joltik,https://images.pokemontcg.io/rsv10pt5/33_hires.png,Common,0.040000,0.060000,Pokémon
rsv10pt5-34,Galvantula,https://images.pokemontcg.io/rsv10pt5/34_hires.png,Uncommon,0.050000,0.080000,Pokémon
rsv10pt5-35,Stunfisk,https://images.pokemontcg.io/rsv10pt5/35_hires.png,Uncommon,0.040000,0.050000,Pokémon
rsv10pt5-36,Woobat,https://images.pokemontcg.io/rsv10pt5/36_hires.png,Common,0.040000,0.060000,Pokémon
rsv10pt5-37,Swoobat,https://images.pokemontcg.io/rsv10pt5/37_hires.png,Uncommon,0.040000,0.070000,Pokémon
rsv10pt5-38,Sigilyph,https://images.pokemontcg.io/rsv10pt5/38_hires.png,Uncommon,0.050000,0.070000,Pokémon
rsv10pt5-39,Yamask,https://images.pokemontcg.io/rsv10pt5/39_hires.png,Common,0.050000,0.080000,Pokémon
