id,name,image,rarity,card_market_price,tcg_market_price,supertype
xyp-XY01,Chespin,https://images.pokemontcg.io/xyp/XY01_hires.png,Promo,0,3.450000,Pokémon
xyp-XY02,Fennekin,https://images.pokemontcg.io/xyp/XY02_hires.png,Promo,18,3.620000,Pokémon
xyp-XY03,Froakie,https://images.pokemontcg.io/xyp/XY03_hires.png,Promo,27,6.290000,Pokémon
xyp-XY04,Sylveon,https://images.pokemontcg.io/xyp/XY04_hires.png,Promo,5.800000,17.890000,Pokémon
xyp-XY05,Xerneas,https://images.pokemontcg.io/xyp/XY05_hires.png,Promo,2,6.230000,Pokémon
xyp-XY06,Yveltal,https://images.pokemontcg.io/xyp/XY06_hires.png,Promo,3.820000,6.060000,Pokémon
xyp-XY07,Xerneas-EX,https://images.pokemontcg.io/xyp/XY07_hires.png,Promo,3.630000,4.890000,Pokémon
xyp-XY08,Yveltal-EX,https://images.pokemontcg.io/xyp/XY08_hires.png,Promo,4.340000,5.800000,Pokémon
xyp-XY09,Garchomp-EX,https://images.pokemontcg.io/xyp/XY09_hires.png,Promo,6.080000,6.360000,Pokémon
xyp-XY10,Dragalge,https://images.pokemontcg.io/xyp/XY10_hires.png,Promo,6.500000,9.730000,Pokémon
xyp-XY11,Skiddo,https://images.pokemontcg.io/xyp/XY11_hires.png,Promo,9.750000,1.260000,Pokémon
xyp-XY12,Honedge,https://images.pokemontcg.io/xyp/XY12_hires.png,Promo,0,1.860000,Pokémon
xyp-XY13,Machamp,https://images.pokemontcg.io/xyp/XY13_hires.png,Promo,9.500000,7.590000,Pokémon
xyp-XY14,Trevenant,https://images.pokemontcg.io/xyp/XY14_hires.png,Promo,1.200000,0.600000,Pokémon
xyp-XY15,Slurpuff,https://images.pokemontcg.io/xyp/XY15_hires.png,Promo,0.620000,0.710000,Pokémon
xyp-XY16,Gogoat,https://images.pokemontcg.io/xyp/XY16_hires.png,Promo,5.980000,1.910000,Pokémon
xyp-XY17,Charizard-EX,https://images.pokemontcg.io/xyp/XY17_hires.png,Promo,16.070000,22.720000,Pokémon
xyp-XY18,Chesnaught-EX,https://images.pokemontcg.io/xyp/XY18_hires.png,Promo,2.520000,3.710000,Pokémon
xyp-XY19,Delphox-EX,https://images.pokemontcg.io/xyp/XY19_hires.png,Promo,3.560000,4.330000,Pokémon
xyp-XY20,Greninja-EX,https://images.pokemontcg.io/xyp/XY20_hires.png,Promo,6.080000,14.140000,Pokémon
xyp-XY21,Bronzong,https://images.pokemontcg.io/xyp/XY21_hires.png,Promo,5.300000,8.590000,Pokémon
xyp-XY22,Darkrai,https://images.pokemontcg.io/xyp/XY22_hires.png,Promo,4.300000,2.870000,Pokémon
xyp-XY23,Shiftry,https://images.pokemontcg.io/xyp/XY23_hires.png,Promo,0,0.340000,Pokémon
xyp-XY24,Greninja,https://images.pokemontcg.io/xyp/XY24_hires.png,Promo,31.830000,22.170000,Pokémon
xyp-XY25,Krookodile-EX,https://images.pokemontcg.io/xyp/XY25_hires.png,Promo,5.500000,8.940000,Pokémon
xyp-XY26,Pyroar,https://images.pokemontcg.io/xyp/XY26_hires.png,Promo,0.750000,0.380000,Pokémon
xyp-XY27,Champions Festival,https://images.pokemontcg.io/xyp/XY27_hires.png,Promo,80,0,Trainer
xyp-XY28,Venusaur-EX,https://images.pokemontcg.io/xyp/XY28_hires.png,Promo,6.260000,3.700000,Pokémon
xyp-XY29,Charizard-EX,https://images.pokemontcg.io/xyp/XY29_hires.png,Promo,31.020000,12.890000,Pokémon
xyp-XY30,Blastoise-EX,https://images.pokemontcg.io/xyp/XY30_hires.png,Promo,5.140000,5.010000,Pokémon
xyp-XY31,Xerneas,https://images.pokemontcg.io/xyp/XY31_hires.png,Promo,2.430000,0.970000,Pokémon
xyp-XY32,Yveltal,https://images.pokemontcg.io/xyp/XY32_hires.png,Promo,4.480000,1.080000,Pokémon
xyp-XY33,Trevor,https://images.pokemontcg.io/xyp/XY33_hires.png,Promo,4.500000,1.470000,Trainer
xyp-XY34,Metagross-EX,https://images.pokemontcg.io/xyp/XY34_hires.png,Promo,15.750000,20.940000,Pokémon
xyp-XY35,M Metagross-EX,https://images.pokemontcg.io/xyp/XY35_hires.png,Promo,40.710000,56.670000,Pokémon
xyp-XY36,Treecko,https://images.pokemontcg.io/xyp/XY36_hires.png,Promo,2.060000,2.050000,Pokémon
xyp-XY37,Torchic,https://images.pokemontcg.io/xyp/XY37_hires.png,Promo,0,1.110000,Pokémon
xyp-XY38,Mudkip,https://images.pokemontcg.io/xyp/XY38_hires.png,Promo,4.930000,1.850000,Pokémon
xyp-XY39,Kingdra,https://images.pokemontcg.io/xyp/XY39_hires.png,Promo,20.120000,15.800000,Pokémon
xyp-XY40,Ditto,https://images.pokemontcg.io/xyp/XY40_hires.png,Promo,14.200000,25.230000,Pokémon
xyp-XY41,Kyogre-EX,https://images.pokemontcg.io/xyp/XY41_hires.png,Promo,3.680000,7.610000,Pokémon
xyp-XY42,Groudon-EX,https://images.pokemontcg.io/xyp/XY42_hires.png,Promo,3.920000,10.820000,Pokémon
xyp-XY43,Diancie-EX,https://images.pokemontcg.io/xyp/XY43_hires.png,Promo,5.880000,10.780000,Pokémon
xyp-XY44,M Diancie-EX,https://images.pokemontcg.io/xyp/XY44_hires.png,Promo,15.480000,32.850000,Pokémon
xyp-XY45,Gallade-EX,https://images.pokemontcg.io/xyp/XY45_hires.png,Promo,1.600000,2.150000,Pokémon
xyp-XY46,Altaria,https://images.pokemontcg.io/xyp/XY46_hires.png,Promo,14.530000,15.410000,Pokémon
xyp-XY47,Heliolisk,https://images.pokemontcg.io/xyp/XY47_hires.png,Promo,3.980000,0.960000,Pokémon
xyp-XY48,Meowstic,https://images.pokemontcg.io/xyp/XY48_hires.png,Promo,5,2.160000,Pokémon
xyp-XY49,Regirock,https://images.pokemontcg.io/xyp/XY49_hires.png,Promo,3.060000,4.080000,Pokémon
xyp-XY50,Pangoro,https://images.pokemontcg.io/xyp/XY50_hires.png,Promo,1.210000,1.150000,Pokémon
xyp-XY51,Kyogre,https://images.pokemontcg.io/xyp/XY51_hires.png,Promo,6.500000,4.600000,Pokémon
xyp-XY52,Groudon,https://images.pokemontcg.io/xyp/XY52_hires.png,Promo,4.140000,3.300000,Pokémon
xyp-XY53,Sceptile-EX,https://images.pokemontcg.io/xyp/XY53_hires.png,Promo,5.440000,5.170000,Pokémon
xyp-XY54,Blaziken-EX,https://images.pokemontcg.io/xyp/XY54_hires.png,Promo,4.180000,6.560000,Pokémon
xyp-XY55,Swampert-EX,https://images.pokemontcg.io/xyp/XY55_hires.png,Promo,4.160000,4.880000,Pokémon
xyp-XY56,Blissey,https://images.pokemontcg.io/xyp/XY56_hires.png,Promo,5.990000,1.970000,Pokémon
xyp-XY57,Fearow,https://images.pokemontcg.io/xyp/XY57_hires.png,Promo,27.500000,17.830000,Pokémon
xyp-XY58,Malamar,https://images.pokemontcg.io/xyp/XY58_hires.png,Promo,4.400000,2.630000,Pokémon
xyp-XY59,Salamence,https://images.pokemontcg.io/xyp/XY59_hires.png,Promo,15.280000,23.060000,Pokémon
xyp-XY60,Gyarados,https://images.pokemontcg.io/xyp/XY60_hires.png,Promo,88.890000,96.560000,Pokémon
xyp-XY61,Flygon-EX,https://images.pokemontcg.io/xyp/XY61_hires.png,Promo,4.240000,4.050000,Pokémon
xyp-XY62,Absol-EX,https://images.pokemontcg.io/xyp/XY62_hires.png,Promo,11.020000,9.070000,Pokémon
xyp-XY63,M Absol-EX,https://images.pokemontcg.io/xyp/XY63_hires.png,Promo,64.990000,28.480000,Pokémon
xyp-XY64,Rayquaza,https://images.pokemontcg.io/xyp/XY64_hires.png,Promo,20.080000,16.310000,Pokémon
xyp-XY65,Latios,https://images.pokemontcg.io/xyp/XY65_hires.png,Promo,5.040000,5.060000,Pokémon
xyp-XY66,Rayquaza-EX,https://images.pokemontcg.io/xyp/XY66_hires.png,Promo,8.360000,15.730000,Pokémon
xyp-XY67,Jirachi,https://images.pokemontcg.io/xyp/XY67_hires.png,Promo,6.880000,5.260000,Pokémon
xyp-XY67a,Jirachi,https://images.pokemontcg.io/xyp/XY67a_hires.png,Promo,110.990000,0,Pokémon
xyp-XY68,Chesnaught,https://images.pokemontcg.io/xyp/XY68_hires.png,Promo,1.490000,3.250000,Pokémon
xyp-XY69,Rayquaza-EX,https://images.pokemontcg.io/xyp/XY69_hires.png,Promo,30.350000,64.420000,Pokémon
xyp-XY70,Tyrantrum-EX,https://images.pokemontcg.io/xyp/XY70_hires.png,Promo,15,16.650000,Pokémon
xyp-XY71,Hoopa-EX,https://images.pokemontcg.io/xyp/XY71_hires.png,Promo,4.020000,2.160000,Pokémon
xyp-XY72,Latios-EX,https://images.pokemontcg.io/xyp/XY72_hires.png,Promo,7.180000,5.850000,Pokémon
xyp-XY73,Rayquaza-EX,https://images.pokemontcg.io/xyp/XY73_hires.png,Promo,14.970000,12.090000,Pokémon
xyp-XY74,Reshiram,https://images.pokemontcg.io/xyp/XY74_hires.png,Promo,30.920000,36.690000,Pokémon
