id,name,image,rarity,card_market_price,tcg_market_price,supertype
xy1-1,Venusaur-EX,https://images.pokemontcg.io/xy1/1_hires.png,Rare Holo EX,7.910000,4.600000,Pokémon
xy1-2,M Venusaur-EX,https://images.pokemontcg.io/xy1/2_hires.png,Rare Holo EX,11.540000,19.980000,Pokémon
xy1-3,Weedle,https://images.pokemontcg.io/xy1/3_hires.png,Common,0.160000,0.210000,Pokémon
xy1-4,Kakuna,https://images.pokemontcg.io/xy1/4_hires.png,Uncommon,0.290000,0.230000,Pokémon
xy1-5,Beedrill,https://images.pokemontcg.io/xy1/5_hires.png,Rare,0.630000,0.620000,Pokémon
xy1-6,Ledyba,https://images.pokemontcg.io/xy1/6_hires.png,Common,0.080000,0.190000,Pokémon
xy1-7,Ledian,https://images.pokemontcg.io/xy1/7_hires.png,Uncommon,0.170000,0.200000,Pokémon
xy1-8,Volbeat,https://images.pokemontcg.io/xy1/8_hires.png,Uncommon,0.130000,0.230000,Pokémon
xy1-9,Illumise,https://images.pokemontcg.io/xy1/9_hires.png,Uncommon,0.250000,0.230000,Pokémon
xy1-10,Pansage,https://images.pokemontcg.io/xy1/10_hires.png,Common,0.190000,0.170000,Pokémon
xy1-11,Simisage,https://images.pokemontcg.io/xy1/11_hires.png,Rare,0.550000,0.410000,Pokémon
xy1-12,Chespin,https://images.pokemontcg.io/xy1/12_hires.png,Common,0.150000,0.400000,Pokémon
xy1-13,Quilladin,https://images.pokemontcg.io/xy1/13_hires.png,Uncommon,0.990000,0.980000,Pokémon
xy1-14,Chesnaught,https://images.pokemontcg.io/xy1/14_hires.png,Rare Holo,1.340000,2.090000,Pokémon
xy1-15,Scatterbug,https://images.pokemontcg.io/xy1/15_hires.png,Common,0.200000,0.170000,Pokémon
xy1-16,Spewpa,https://images.pokemontcg.io/xy1/16_hires.png,Uncommon,0.060000,0.240000,Pokémon
xy1-17,Vivillon,https://images.pokemontcg.io/xy1/17_hires.png,Rare Holo,1.750000,2.260000,Pokémon
xy1-18,Skiddo,https://images.pokemontcg.io/xy1/18_hires.png,Common,0.130000,0.180000,Pokémon
xy1-19,Gogoat,https://images.pokemontcg.io/xy1/19_hires.png,Rare Holo,0.710000,0.750000,Pokémon
xy1-20,Slugma,https://images.pokemontcg.io/xy1/20_hires.png,Common,0.130000,0.180000,Pokémon
xy1-21,Magcargo,https://images.pokemontcg.io/xy1/21_hires.png,Rare,0.300000,0.450000,Pokémon
xy1-22,Pansear,https://images.pokemontcg.io/xy1/22_hires.png,Common,0.160000,0.240000,Pokémon
xy1-23,Simisear,https://images.pokemontcg.io/xy1/23_hires.png,Rare,0.410000,0.440000,Pokémon
xy1-24,Fennekin,https://images.pokemontcg.io/xy1/24_hires.png,Common,0.150000,0.300000,Pokémon
xy1-25,Braixen,https://images.pokemontcg.io/xy1/25_hires.png,Uncommon,0.150000,0.230000,Pokémon
xy1-26,Delphox,https://images.pokemontcg.io/xy1/26_hires.png,Rare Holo,1.830000,1.540000,Pokémon
xy1-27,Fletchinder,https://images.pokemontcg.io/xy1/27_hires.png,Uncommon,0.130000,0.240000,Pokémon
xy1-28,Talonflame,https://images.pokemontcg.io/xy1/28_hires.png,Rare Holo,0.880000,1.130000,Pokémon
